#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
1,BGP_LOCAL_AS_NUMERIC_p6,L1,bgp_local_as_numeric,number,p6 장비의 BGP Local-AS 번호는 무엇입니까? [답변 형식: integer],0,,,,,
2,BGP_NEIGHBOR_COUNT_leaf8,L1,bgp_neighbor_count,number,leaf8 장비의 BGP 피어(이웃)는 총 몇 개입니까? [답변 형식: integer],0,,,,,
3,NEIGHBOR_LIST_IBGP_leaf5,L1,neighbor_list_ibgp,set_str,leaf5 장비와 iBGP로 연결된 피어들의 IP 주소 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
4,SNMP_COMMUNITY_LIST_leaf6,L1,snmp_community_list,set_str,leaf6 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
5,SUBINTERFACE_COUNT_leaf7,L1,subinterface_count,number,leaf7 장비에 설정된 서브인터페이스는 총 몇 개입니까? [답변 형식: integer],0,,,,,
6,AAA_ENABLED_DEVICES,L2,aaa_enabled_devices,set_str,AAA 기능이 활성화된 장비 목록을 알려주세요. [답변 형식: JSON array],"[""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
7,AAA_MISSING_DEVICES,L2,aaa_missing_devices,set_str,AAA 기능이 비활성화된 장비 목록을 알려주세요. [답변 형식: JSON array],"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""p1"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8""]",,,,,
8,DEVICES_WITH_SAME_VRF_VRF_GOV,L2,devices_with_same_vrf,set_str,VRF_GOV VRF를 사용하는 장비 목록을 알려주세요. [답변 형식: JSON array],"[""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
9,L2VPN_PAIRS,L2,l2vpn_pairs,set_str,"구성된 L2VPN pseudowire 회선(장비쌍) 목록을 알려주세요. [답변 형식: ['A<->B', ...]]",[],,,,,
10,OSPF_AREA0_ROUTERS,L2,ospf_area0_routers,text,"OSPF Backbone Area(Area 0)에 속한 라우터 목록은 무엇입니까? [답변 형식: JSON array of router names (e.g., [""spine1"", ""spine2"", ""p1""])]",null,,,,,
