id,id_v2,metric,scope,category,level,question_type,question,answer_status,answer_type,answer,eval_answer,unknown_reason,evidence,scenario,query_contract,verification_contract,oracle_source,verification_status,quarantine_reason,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_leaf14,system_hostname_text:1b105199e1,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf14""}",System_Inventory,L1,unknown,leaf14 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""leaf14""",leaf14,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf14""}}",,,,parser,pending,,e96a0b16,['leaf14.cfg']
SYSTEM_HOSTNAME_TEXT_fw2,system_hostname_text:f8aaadadd9,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""fw2""}",System_Inventory,L1,unknown,fw2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""fw2""",fw2,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""fw2""}}",,,,parser,pending,,e96a0b16,['fw2.cfg']
SYSTEM_HOSTNAME_TEXT_leaf15,system_hostname_text:f52655ad5e,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf15""}",System_Inventory,L1,unknown,leaf15 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""leaf15""",leaf15,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf15""}}",,,,parser,pending,,e96a0b16,['leaf15.cfg']
SYSTEM_HOSTNAME_TEXT_pe5,system_hostname_text:cf50209904,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe5""}",System_Inventory,L1,unknown,pe5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""pe5""",pe5,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe5""}}",,,,parser,pending,,e96a0b16,['pe5.cfg']
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p3""}",System_Inventory,L1,unknown,p3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p3""",p3,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",,,,parser,pending,,e96a0b16,['p3.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p2""}",System_Inventory,L1,unknown,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p2""",p2,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",,,,parser,pending,,e96a0b16,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p8""}",System_Inventory,L1,unknown,p8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p8""",p8,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,parser,pending,,e96a0b16,['p8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf16,system_hostname_text:306bca46fe,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf16""}",System_Inventory,L1,unknown,leaf16 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""leaf16""",leaf16,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf16""}}",,,,parser,pending,,e96a0b16,['leaf16.cfg']
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf1""}",System_Inventory,L1,unknown,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""leaf1""",leaf1,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",,,,parser,pending,,e96a0b16,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe1""}",System_Inventory,L1,unknown,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""pe1""",pe1,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,parser,pending,,e96a0b16,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT_p10,system_hostname_text:34f07ac92d,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p10""}",System_Inventory,L1,unknown,p10 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p10""",p10,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p10""}}",,,,parser,pending,,e96a0b16,['p10.cfg']
SYSTEM_HOSTNAME_TEXT_p6,system_hostname_text:e05ff65dc3,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p6""}",System_Inventory,L1,unknown,p6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p6""",p6,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",,,,parser,pending,,e96a0b16,['p6.cfg']
SYSTEM_HOSTNAME_TEXT_p12,system_hostname_text:44a0a3a308,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p12""}",System_Inventory,L1,unknown,p12 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p12""",p12,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p12""}}",,,,parser,pending,,e96a0b16,['p12.cfg']
SYSTEM_HOSTNAME_TEXT_leaf8,system_hostname_text:a81bf37e92,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf8""}",System_Inventory,L1,unknown,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""leaf8""",leaf8,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf8""}}",,,,parser,pending,,e96a0b16,['leaf8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf2""}",System_Inventory,L1,unknown,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""leaf2""",leaf2,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,parser,pending,,e96a0b16,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe3""}",System_Inventory,L1,unknown,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""pe3""",pe3,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe3""}}",,,,parser,pending,,e96a0b16,['pe3.cfg']
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe4""}",System_Inventory,L1,unknown,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""pe4""",pe4,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,parser,pending,,e96a0b16,['pe4.cfg']
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p4""}",System_Inventory,L1,unknown,p4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p4""",p4,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",,,,parser,pending,,e96a0b16,['p4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf3""}",System_Inventory,L1,unknown,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""leaf3""",leaf3,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",,,,parser,pending,,e96a0b16,['leaf3.cfg']
