question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p4""",Leaf4,0.0,0.0,0.0,0.9935081601142883,0.0,0.0,0.0
2,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf4""",Leaf4,1.0,1.0,1.0,0.9853182435035706,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796204566955566,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe1""",PE1,1.0,1.0,1.0,0.9950793385505676,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p2""",P2,1.0,1.0,1.0,0.9925472140312195,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p3""",Leaf3,0.0,0.0,0.0,0.9956119060516357,0.0,0.0,0.0
7,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe2""",PE2,1.0,1.0,1.0,0.9976423978805542,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p1""",P1,1.0,1.0,1.0,0.9911208152770996,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968831539154053,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf2""",Leaf2,1.0,1.0,1.0,0.997169554233551,1.0,1.0,0.0
11,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,L1,System_Inventory,text,OK,p2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,L1,System_Inventory,text,OK,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,L1,System_Inventory,text,OK,p1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,L1,System_Inventory,text,OK,p4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,L1,System_Inventory,text,OK,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,L1,System_Inventory,text,OK,pe2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,L1,System_Inventory,text,NOT_CONFIGURED,p4 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,UTC,0.0,0.0,0.0,0.8373212218284607,0.0,0.0,0.0
22,L1,System_Inventory,text,NOT_CONFIGURED,p2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
23,L1,System_Inventory,text,NOT_CONFIGURED,leaf1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,UTC,0.0,0.0,0.0,0.8373212218284607,0.0,0.0,0.0
24,L1,System_Inventory,text,NOT_CONFIGURED,leaf3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
25,L1,System_Inventory,text,NOT_CONFIGURED,p1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
26,L1,System_Inventory,text,NOT_CONFIGURED,pe2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
