qa_id,metric,level,answer_type,dataset_answer,manual_answer,verdict,disagreement_type,rationale,hosts_inspected
BGP_LOCAL_AS_NUMERIC_p9,bgp_local_as_numeric,L1,number,0,0,AGREE,,No BGP configured in p9.cfg → 0,p9
BGP_NEIGHBOR_COUNT_p1,bgp_neighbor_count,L1,number,0,0,AGREE,,BGP neighbors in p1.cfg: 0,p1
INTERFACE_STATUS_MAP_leaf2,interface_status_map,L1,map,"{""GigabitEthernet0/0"": ""up"", ""GigabitEthernet0/7"": ""up""}","{""GigabitEthernet0/0"": ""up"", ""GigabitEthernet0/7"": ""up""}",AGREE,,Interface status map: 2 entries,leaf2
LOGGING_BUFFERED_SEVERITY_TEXT_leaf10,logging_buffered_severity_text,L1,text,null,4096,DISAGREE,INVESTIGATION_NEEDED,leaf10.cfg line 78: logging buffered 4096,leaf10
LOGGING_BUFFERED_SEVERITY_TEXT_leaf14,logging_buffered_severity_text,L1,text,null,4096,DISAGREE,INVESTIGATION_NEEDED,leaf14.cfg line 66: logging buffered 4096,leaf14
LOGGING_BUFFERED_SEVERITY_TEXT_leaf16,logging_buffered_severity_text,L1,text,null,4096,DISAGREE,INVESTIGATION_NEEDED,leaf16.cfg line 66: logging buffered 4096,leaf16
LOGGING_BUFFERED_SEVERITY_TEXT_leaf3,logging_buffered_severity_text,L1,text,null,4096,DISAGREE,INVESTIGATION_NEEDED,leaf3.cfg line 66: logging buffered 4096,leaf3
LOGGING_BUFFERED_SEVERITY_TEXT_leaf9,logging_buffered_severity_text,L1,text,null,4096,DISAGREE,INVESTIGATION_NEEDED,leaf9.cfg line 78: logging buffered 4096,leaf9
LOGGING_BUFFERED_SEVERITY_TEXT_p12,logging_buffered_severity_text,L1,text,null,51200,DISAGREE,INVESTIGATION_NEEDED,p12.cfg line 117: logging buffered 51200,p12
LOGGING_BUFFERED_SEVERITY_TEXT_p2,logging_buffered_severity_text,L1,text,null,51200,DISAGREE,INVESTIGATION_NEEDED,p2.cfg line 117: logging buffered 51200,p2
LOGGING_BUFFERED_SEVERITY_TEXT_p7,logging_buffered_severity_text,L1,text,null,51200,DISAGREE,INVESTIGATION_NEEDED,p7.cfg line 142: logging buffered 51200,p7
LOGGING_BUFFERED_SEVERITY_TEXT_p9,logging_buffered_severity_text,L1,text,null,51200,DISAGREE,INVESTIGATION_NEEDED,p9.cfg line 117: logging buffered 51200,p9
LOGGING_BUFFERED_SEVERITY_TEXT_pe4,logging_buffered_severity_text,L1,text,null,51200,DISAGREE,INVESTIGATION_NEEDED,pe4.cfg line 250: logging buffered 51200,pe4
NEIGHBOR_LIST_IBGP_p8,neighbor_list_ibgp,L1,set,[],[],AGREE,,neighbor_list_ibgp for p8: [] (local_as=65000),p8
SNMP_COMMUNITY_LIST_p11,snmp_community_list,L1,set,[],"[""NCN-RO""]",DISAGREE,INVESTIGATION_NEEDED,p11.cfg line 120: snmp community NCN-RO,p11
SUBINTERFACE_COUNT_p9,subinterface_count,L1,number,0,0,AGREE,,[Method1-crossref] subinterface_count(p9) = 0,p9
SYSTEM_TIMEZONE_TEXT_asbr1,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,asbr1.cfg line 248: 'clock timezone clock timezone KST 9' → 'KST +9',asbr1
SYSTEM_TIMEZONE_TEXT_leaf1,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,leaf1.cfg line 83: 'clock timezone clock timezone KST 9' → 'KST +9',leaf1
SYSTEM_TIMEZONE_TEXT_leaf10,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,leaf10.cfg line 95: 'clock timezone clock timezone KST 9' → 'KST +9',leaf10
SYSTEM_TIMEZONE_TEXT_leaf14,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,leaf14.cfg line 83: 'clock timezone clock timezone KST 9' → 'KST +9',leaf14
SYSTEM_TIMEZONE_TEXT_leaf16,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,leaf16.cfg line 83: 'clock timezone clock timezone KST 9' → 'KST +9',leaf16
SYSTEM_TIMEZONE_TEXT_leaf3,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,leaf3.cfg line 83: 'clock timezone clock timezone KST 9' → 'KST +9',leaf3
SYSTEM_TIMEZONE_TEXT_leaf6,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,leaf6.cfg line 83: 'clock timezone clock timezone KST 9' → 'KST +9',leaf6
SYSTEM_TIMEZONE_TEXT_leaf9,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,leaf9.cfg line 95: 'clock timezone clock timezone KST 9' → 'KST +9',leaf9
SYSTEM_TIMEZONE_TEXT_p10,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,p10.cfg line 130: 'clock timezone clock timezone KST 9' → 'KST +9',p10
SYSTEM_TIMEZONE_TEXT_p11,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,p11.cfg line 130: 'clock timezone clock timezone KST 9' → 'KST +9',p11
SYSTEM_TIMEZONE_TEXT_p12,system_timezone_text,L1,text,"""KST 9""",KST +9,DISAGREE,INVESTIGATION_NEEDED,p12.cfg line 130: 'clock timezone clock timezone KST 9' → 'KST +9',p12
