question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
0,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p2""",<p2>,0.0,0.0,0.0,0.8491672277450562,1.0,1.0,0.0
1,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe2""",pe2,1.0,1.0,1.0,0.9999998211860657,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p3""",<p3>,0.0,0.0,0.0,0.8381978273391724,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p4""",<p4>,0.0,0.0,0.0,0.8407806754112244,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf3""",leaf3,1.0,1.0,1.0,1.0000003576278687,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf1""",leaf1,1.0,1.0,1.0,0.9999998211860657,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe1""",pe1,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p1""",<p1>,0.0,0.0,0.0,0.8344781398773193,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf4""",leaf4,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf2""",leaf2,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,p2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""","We need OS version of p2. In JSON, device with hostname ""p2"" has system.version ""15.7"". So answer: 15.7.assistantcommentary to=final json15.7",0.0,0.0,0.0,0.8500032424926758,0.14285714285714288,0.14285714285714288,0.07692307692307693
11,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
12,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
13,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
14,L1,System_Inventory,text,OK,p1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""","We need OS version of p1. In JSON, device with hostname ""p1"" has system.version ""15.7"". So answer: 15.7.assistantcommentary to=final json15.7",0.0,0.0,0.0,0.8496699929237366,0.14285714285714288,0.14285714285714288,0.07692307692307693
15,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
16,L1,System_Inventory,text,OK,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
