question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
0,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까?,"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968829154968262,1.0,1.0,0.0
1,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까?,"""leaf2""",Leaf2,1.0,1.0,1.0,0.997169554233551,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까?,"""p4""",P4,1.0,1.0,1.0,0.9741384983062744,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까?,"""p2""",P2,1.0,1.0,1.0,0.9925472140312195,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까?,"""pe2""",PE2,1.0,1.0,1.0,0.9976428747177124,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까?,"""p3""",P3,1.0,1.0,1.0,0.9959044456481934,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까?,"""leaf4""",Leaf4,1.0,1.0,1.0,0.9853184223175049,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까?,"""pe1""",PE1,1.0,1.0,1.0,0.9950791597366333,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까?,"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796204566955566,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까?,"""p1""",P1,1.0,1.0,1.0,0.9911202192306519,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,p4 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
11,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
12,L1,System_Inventory,text,OK,pe2 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
13,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
14,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
15,L1,System_Inventory,text,OK,p2 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
16,L1,System_Inventory,text,OK,leaf1 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
17,L1,System_Inventory,text,OK,leaf3 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
18,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
19,L1,System_Inventory,text,OK,p1 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
20,L1,System_Inventory,text,NOT_CONFIGURED,p4 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
21,L1,System_Inventory,text,NOT_CONFIGURED,p2 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
22,L1,System_Inventory,text,NOT_CONFIGURED,pe2 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
23,L1,System_Inventory,text,NOT_CONFIGURED,leaf1 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
24,L1,System_Inventory,text,NOT_CONFIGURED,pe1 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
25,L1,System_Inventory,text,NOT_CONFIGURED,p3 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
26,L1,System_Inventory,text,NOT_CONFIGURED,leaf3 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
27,L1,System_Inventory,text,NOT_CONFIGURED,leaf4 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
28,L1,System_Inventory,text,NOT_CONFIGURED,p1 장비의 시간대(Timezone)는 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
29,L1,System_Inventory,text,NOT_CONFIGURED,leaf2 장비의 시간대(Timezone)는 무엇입니까?,null,false,1.0,0.0,0.0,0.8053775429725647,0,0.0,0.0
30,L1,System_Inventory,set,OK,p3 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","[""admin""]",1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,L1,System_Inventory,set,OK,leaf2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","[""admin""]",1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,L1,System_Inventory,set,OK,pe1 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","{""local_users"": [""admin""]}",0.0,0.0,0.0,0.8734626770019531,0.5,0.5,0.0
33,L1,System_Inventory,set,OK,pe2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","{""local_users"": [""admin""]}",0.0,0.0,0.0,0.8734626770019531,0.5,0.5,0.0
34,L1,System_Inventory,set,OK,leaf4 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","[""admin""]",1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,L1,System_Inventory,set,OK,leaf3 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","[""admin""]",1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,L1,System_Inventory,set,OK,p1 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","{""admin""}",0.0,0.0,0.0,0.9596615433692932,1.0,1.0,0.0
37,L1,System_Inventory,set,OK,p2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","{""local_users"": [""admin""]}",0.0,0.0,0.0,0.8734626770019531,0.5,0.5,0.0
38,L1,System_Inventory,set,OK,leaf1 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","[""admin""]",1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,L1,System_Inventory,set,OK,p4 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: 리스트],"[""admin""]","[""admin""]",1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,L1,System_Inventory,numeric,OK,p4 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,2,0.0,0.0,0.0,0.9997974634170532,0.0,0.0,0.0
41,L1,System_Inventory,numeric,OK,p3 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,4,0.0,0.0,0.0,0.99982750415802,0.0,0.0,0.0
42,L1,System_Inventory,numeric,OK,leaf4 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,4,0.0,0.0,0.0,0.99982750415802,0.0,0.0,0.0
43,L1,System_Inventory,numeric,OK,leaf3 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,2,0.0,0.0,0.0,0.9997974634170532,0.0,0.0,0.0
44,L1,System_Inventory,numeric,OK,p2 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,4,0.0,0.0,0.0,0.99982750415802,0.0,0.0,0.0
45,L1,System_Inventory,numeric,OK,leaf1 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,4,0.0,0.0,0.0,0.99982750415802,0.0,0.0,0.0
46,L1,System_Inventory,numeric,OK,p1 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,4,0.0,0.0,0.0,0.99982750415802,0.0,0.0,0.0
47,L1,System_Inventory,numeric,OK,pe1 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,2,0.0,0.0,0.0,0.9997974634170532,0.0,0.0,0.0
48,L1,System_Inventory,numeric,OK,leaf2 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,2,0.0,0.0,0.0,0.9997974634170532,0.0,0.0,0.0
49,L1,System_Inventory,numeric,OK,pe2 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: 숫자],1,2,0.0,0.0,0.0,0.9997974634170532,0.0,0.0,0.0
50,L1,System_Inventory,text,NOT_CONFIGURED,leaf4 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
51,L1,System_Inventory,text,NOT_CONFIGURED,p3 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
52,L1,System_Inventory,text,NOT_CONFIGURED,leaf1 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
53,L1,System_Inventory,text,NOT_CONFIGURED,p4 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
54,L1,System_Inventory,text,NOT_CONFIGURED,pe1 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
55,L1,System_Inventory,text,NOT_CONFIGURED,leaf2 장비에서 logging buffered의 severity-level은 무엇입니까?,null,false,1.0,0.0,0.0,0.8053775429725647,0,0.0,0.0
56,L1,System_Inventory,text,NOT_CONFIGURED,p1 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
57,L1,System_Inventory,text,NOT_CONFIGURED,p2 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
58,L1,System_Inventory,text,NOT_CONFIGURED,pe2 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
59,L1,System_Inventory,text,NOT_CONFIGURED,leaf3 장비에서 logging buffered의 severity-level은 무엇입니까?,null,,1.0,1.0,1.0,1.0,0,0.0,0.0
60,L1,System_Inventory,set,OK,pe1 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999995231628418,0,0.0,0.0
61,L1,System_Inventory,set,OK,p2 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999995231628418,0,0.0,0.0
62,L1,System_Inventory,set,OK,leaf3 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999995231628418,0,0.0,0.0
63,L1,System_Inventory,set,OK,p3 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999995231628418,0,0.0,0.0
64,L1,System_Inventory,set,OK,leaf2 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
65,L1,System_Inventory,set,OK,p4 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
66,L1,System_Inventory,set,OK,pe2 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
67,L1,System_Inventory,set,OK,leaf4 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
68,L1,System_Inventory,set,OK,p1 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
69,L1,System_Inventory,set,OK,leaf1 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
70,L1,System_Inventory,set,OK,pe1 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
71,L1,System_Inventory,set,OK,leaf4 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트],[],[],1.0,1.0,1.0,0.9999998807907104,0,0.0,0.0
