question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
,,,text,,What is the hostname of the p3 equipment? [Answer format: exact value only],p3,,1.0,1.0,1.0,0.9959042072296143,1.0,1.0,0.0
,,,text,,What is the hostname of the leaf3 device? [Answer format: exact value only],leaf3,,1.0,1.0,1.0,0.9796202182769775,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the leaf3 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
,,,text,,What is the hostname of the pe2 equipment? [Answer format: exact value only],pe2,,1.0,1.0,1.0,0.9976425170898438,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p3 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
,,,text,,What is the hostname of the leaf1 device? [Answer format: exact value only],leaf1,,1.0,1.0,1.0,0.9968829154968262,1.0,1.0,0.0
,,,text,,What is the timezone of the p3 equipment? [Response format: setting value or null],null,,0.0,0.0,0.0,0.8138331770896912,0,0.0,0.0
,,,text,,What is the operating system (OS) version of the p2 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
,,,text,,What is the operating system (OS) version of the leaf4 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
,,,text,,What is the operating system (OS) version of the leaf2 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
,,,text,,What is the hostname of the pe1 device? [Answer format: exact value only],pe1,,1.0,1.0,1.0,0.9950793981552124,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the pe2 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
,,,text,,What is the hostname of the p4 device? [Answer format: exact value only],p4,,1.0,1.0,1.0,0.974138617515564,1.0,1.0,0.0
,,,text,,What is the hostname of the leaf4 device? [Answer format: exact value only],leaf4,,1.0,1.0,1.0,0.9853183031082153,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p1 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
,,,set,,Please provide the list of local users registered on the p3 device. [Answer format: list],[admin],,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the leaf4 device? [Answer format: number],1,,0.0,0.0,0.0,0.8124042749404907,0,0.0,0.0
,,,set,,Please provide the list of local users registered on the leaf3 device. [Answer format: list],[admin],,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p4 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
