id,id_v2,level,metric,answer_type,status,reason,replay_answer,dataset_answer,match,score,detail
TRACEROUTE_asbr2_p2,traceroute_path:76ee124e6f,L4,traceroute_path,text,MATCH,,asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2,"""asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_leaf10_leaf6,traceroute_path:cac48b5fa5,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_leaf5_p5,traceroute_path:a6f89f87c0,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_p9_p8,traceroute_path:841cab4735,L4,traceroute_path,text,MATCH,,p9 -> asbr1 -> p7 -> p8,"""p9 -> asbr1 -> p7 -> p8""",True,1.0,exact
TRACEROUTE_leaf12_leaf8,traceroute_path:0cc18b859f,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_pe2_leaf5,traceroute_path:74081089b4,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_leaf10_leaf5,traceroute_path:6e36b6c357,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_p7_p5,traceroute_path:8e5b11d106,L4,traceroute_path,text,MATCH,,p7 -> p6 -> p5,"""p7 -> p6 -> p5""",True,1.0,exact
TRACEROUTE_pe1_p1,traceroute_path:00c5947fe1,L4,traceroute_path,text,MATCH,,pe1 -> p1,"""pe1 -> p1""",True,1.0,exact
TRACEROUTE_leaf12_p4,traceroute_path:1783512dd4,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_pe2_leaf10,traceroute_path:f4f9ac834e,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_p5_pe5,traceroute_path:e65ae775b3,L4,traceroute_path,text,MATCH,,p5 -> p6 -> p7 -> asbr1 -> pe5,"""p5 -> p6 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_leaf2_pe5,traceroute_path:cc34663cf2,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_p10_p4,traceroute_path:2e685a69be,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p4,"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p4""",True,1.0,exact
TRACEROUTE_p9_p2,traceroute_path:8b8567af85,L4,traceroute_path,text,MATCH,,p9 -> asbr1 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2,"""p9 -> asbr1 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_p10_leaf6,traceroute_path:a65f5da518,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_leaf10_p3,traceroute_path:de8e73c908,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_p3_leaf2,traceroute_path:4dc3e62468,L4,traceroute_path,text,MATCH,,p3,"""p3""",True,1.0,exact
TRACEROUTE_p10_p7,traceroute_path:dd69953dbb,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7,"""p10 -> asbr2 -> p8 -> p7""",True,1.0,exact
TRACEROUTE_pe2_leaf4,traceroute_path:454b1a5c03,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_asbr1_leaf8,traceroute_path:39c885ee03,L4,traceroute_path,text,MATCH,,asbr1,"""asbr1""",True,1.0,exact
TRACEROUTE_leaf12_leaf4,traceroute_path:34f91e253f,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_pe2_p5,traceroute_path:a41361499e,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5,"""pe2 -> p4 -> p3 -> p5""",True,1.0,exact
