qa_id,metric,level,answer_type,dataset_answer,manual_answer,verdict,disagreement_type,rationale,hosts_inspected
BGP_LOCAL_AS_NUMERIC_p2,bgp_local_as_numeric,L1,number,0,0,AGREE,,No BGP configured in p2.cfg → 0,p2
CONFIGURED_BGP_AS_NUMBERS_leaf2,configured_bgp_as_numbers,L1,text,"""Not Configured""",[],DISAGREE,DATA_ERROR,[Method1-crossref] configured_bgp_as_numbers(leaf2) = [],leaf2
CONFIGURED_BGP_AS_NUMBERS_p2,configured_bgp_as_numbers,L1,text,"""Not Configured""",[],DISAGREE,DATA_ERROR,[Method1-crossref] configured_bgp_as_numbers(p2) = [],p2
INTERFACE_STATUS_MAP_p1,interface_status_map,L1,map,"{""GigabitEthernet0/0"": ""up"", ""GigabitEthernet0/1"": ""up"", ""GigabitEthernet0/2"": ""up"", ""GigabitEthernet0/3"": ""down"", ""Loopback0"": ""up""}","{""GigabitEthernet0/0"": ""up"", ""GigabitEthernet0/1"": ""up"", ""GigabitEthernet0/2"": ""up"", ""GigabitEthernet0/3"": ""down"", ""Loopback0"": ""up""}",AGREE,,Interface status map: 5 entries,p1
MPLS_LDP_ROUTER_ID_leaf1,mpls_ldp_router_id,L1,text,"""NOT_CONFIGURED""",미설정,DISAGREE,INVESTIGATION_NEEDED,No 'mpls ldp router-id' in leaf1.cfg → 미설정,leaf1
MPLS_LDP_ROUTER_ID_leaf2,mpls_ldp_router_id,L1,text,"""NOT_CONFIGURED""",미설정,DISAGREE,INVESTIGATION_NEEDED,No 'mpls ldp router-id' in leaf2.cfg → 미설정,leaf2
MPLS_LDP_ROUTER_ID_leaf3,mpls_ldp_router_id,L1,text,"""NOT_CONFIGURED""",미설정,DISAGREE,INVESTIGATION_NEEDED,No 'mpls ldp router-id' in leaf3.cfg → 미설정,leaf3
MPLS_LDP_ROUTER_ID_leaf4,mpls_ldp_router_id,L1,text,"""NOT_CONFIGURED""",미설정,DISAGREE,INVESTIGATION_NEEDED,No 'mpls ldp router-id' in leaf4.cfg → 미설정,leaf4
MPLS_LDP_ROUTER_ID_p4,mpls_ldp_router_id,L1,text,"""NOT_CONFIGURED""",미설정,DISAGREE,INVESTIGATION_NEEDED,No 'mpls ldp router-id' in p4.cfg → 미설정,p4
MPLS_LDP_ROUTER_ID_pe1,mpls_ldp_router_id,L1,text,"""NOT_CONFIGURED""",미설정,DISAGREE,INVESTIGATION_NEEDED,No 'mpls ldp router-id' in pe1.cfg → 미설정,pe1
MPLS_LDP_ROUTER_ID_pe2,mpls_ldp_router_id,L1,text,"""NOT_CONFIGURED""",미설정,DISAGREE,INVESTIGATION_NEEDED,No 'mpls ldp router-id' in pe2.cfg → 미설정,pe2
NTP_SERVER_LIST_p2,ntp_server_list,L1,set,[],[],AGREE,,No NTP servers in p2.cfg → [],p2
SNMP_COMMUNITY_LIST_leaf1,snmp_community_list,L1,set,[],[],AGREE,,No SNMP communities in leaf1.cfg → [],leaf1
SUBINTERFACE_COUNT_p1,subinterface_count,L1,number,0,0,AGREE,,[Method1-crossref] subinterface_count(p1) = 0,p1
SYSLOG_SERVER_LIST_p3,syslog_server_list,L1,set,[],[],AGREE,,No syslog servers in p3.cfg → [],p3
AAA_ENABLED_DEVICES,aaa_enabled_devices,L2,set,[],[],AGREE,,AAA enabled devices: [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
AAA_MISSING_DEVICES,aaa_missing_devices,L2,set,"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]","[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",AGREE,,"AAA missing devices: ['leaf1', 'leaf2', 'leaf3', 'leaf4', 'p1', 'p2', 'p3', 'p4', 'pe1', 'pe2']","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
DEVICES_WITH_SAME_VRF_VRF_BIO,devices_with_same_vrf,L2,set,"[""pe1"", ""pe2""]","[""pe1"", ""pe2""]",AGREE,,"Devices with VRF 'VRF_BIO': ['pe1', 'pe2']","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
L2VPN_PAIRS,l2vpn_pairs,L2,set,[],[],AGREE,,[Method1-crossref] l2vpn_pairs({'type': 'GLOBAL'}) = [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
OSPF_AREA0_IF_COUNT_leaf4,ospf_area0_if_count,L2,number,0,0,AGREE,,OSPF area 0 network statements in leaf4.cfg: 0,leaf4
OSPF_AREA_MEMBERSHIP_0,ospf_area_membership,L2,set,"[""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]","[""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",AGREE,,"Devices in OSPF area 0: ['p1', 'p2', 'p3', 'p4', 'pe1', 'pe2']","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
OSPF_NEIGHBOR_COUNT_PER_AREA_0,ospf_neighbor_count_per_area,L2,number,0,0,AGREE,,"OSPF neighbor count for area 0: static config has no runtime adjacency data | [Method1-crossref] ospf_neighbor_count_per_area({'type': 'OSPF_AREA', 'area': '0'}) = 0","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
