id,id_v2,level,metric,answer_type,status,reason,parser_answer,dataset_answer,match,score,detail
SYSTEM_HOSTNAME_TEXT_leaf14,system_hostname_text:1b105199e1,L1,system_hostname_text,text,MATCH,,leaf14,"""leaf14""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_fw2,system_hostname_text:f8aaadadd9,L1,system_hostname_text,text,MATCH,,fw2,"""fw2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf15,system_hostname_text:f52655ad5e,L1,system_hostname_text,text,MATCH,,leaf15,"""leaf15""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe5,system_hostname_text:cf50209904,L1,system_hostname_text,text,MATCH,,pe5,"""pe5""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,L1,system_hostname_text,text,MATCH,,p3,"""p3""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,L1,system_hostname_text,text,MATCH,,p2,"""p2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,L1,system_hostname_text,text,MATCH,,p8,"""p8""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf16,system_hostname_text:306bca46fe,L1,system_hostname_text,text,MATCH,,leaf16,"""leaf16""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,L1,system_hostname_text,text,MATCH,,leaf1,"""leaf1""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,L1,system_hostname_text,text,MATCH,,pe1,"""pe1""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p10,system_hostname_text:34f07ac92d,L1,system_hostname_text,text,MATCH,,p10,"""p10""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p6,system_hostname_text:e05ff65dc3,L1,system_hostname_text,text,MATCH,,p6,"""p6""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p12,system_hostname_text:44a0a3a308,L1,system_hostname_text,text,MATCH,,p12,"""p12""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf8,system_hostname_text:a81bf37e92,L1,system_hostname_text,text,MATCH,,leaf8,"""leaf8""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,L1,system_hostname_text,text,MATCH,,leaf2,"""leaf2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,L1,system_hostname_text,text,MATCH,,pe3,"""pe3""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,L1,system_hostname_text,text,MATCH,,pe4,"""pe4""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,L1,system_hostname_text,text,MATCH,,p4,"""p4""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,L1,system_hostname_text,text,MATCH,,leaf3,"""leaf3""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p11,system_hostname_text:7dd092c30f,L1,system_hostname_text,text,MATCH,,p11,"""p11""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf4,system_version_text:45a2dbebe1,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf5,system_version_text:c889ccb7cb,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf3,system_version_text:6a7c231d8b,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_asbr1,system_version_text:1e9e9c7f7a,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_pe1,system_version_text:4f36bb8808,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf2,system_version_text:6e35c43dba,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p5,system_version_text:5991ac5b4f,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf13,system_version_text:f2f15f10e2,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p3,system_version_text:40d255b5d8,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p8,system_version_text:d61ee73c24,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p9,system_version_text:4636d19a52,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf15,system_version_text:f52655ad5e,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_pe6,system_version_text:7041bfb7a3,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf1,system_version_text:f3e677391b,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p12,system_version_text:44a0a3a308,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_fw2,system_version_text:f8aaadadd9,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p6,system_version_text:e05ff65dc3,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p10,system_version_text:34f07ac92d,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_pe4,system_version_text:a2fc790735,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_pe2,system_version_text:3603999311,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_TIMEZONE_TEXT_p8,system_timezone_text:d61ee73c24,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf10,system_timezone_text:6c269c1b4e,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_asbr1,system_timezone_text:1e9e9c7f7a,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_p6,system_timezone_text:e05ff65dc3,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf3,system_timezone_text:6a7c231d8b,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe8,system_timezone_text:aa85c6d59c,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf14,system_timezone_text:1b105199e1,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf9,system_timezone_text:a49fad1930,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf6,system_timezone_text:0f4017add8,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe1,system_timezone_text:4f36bb8808,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe4,system_timezone_text:a2fc790735,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf16,system_timezone_text:306bca46fe,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
