question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,leaf14 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf14""",Leaf14,1.0,1.0,1.0,0.9969001412391663,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,fw2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""fw2""",FW2,1.0,1.0,1.0,0.8953838348388672,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,leaf15 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf15""",Leaf15,1.0,1.0,1.0,0.9985463619232178,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe5""",PE5,1.0,1.0,1.0,0.9957302808761597,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p3""",P3,1.0,1.0,1.0,0.9959039092063904,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p2""",P2,1.0,1.0,1.0,0.9925472736358643,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,p8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p8""",P8,1.0,1.0,1.0,0.9873653650283813,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,leaf16 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf16""",Leaf16,1.0,1.0,1.0,0.9989196062088013,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968832731246948,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe1""",PE1,1.0,1.0,1.0,0.9950792789459229,1.0,1.0,0.0
11,L1,System_Inventory,text,OK,p10 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p10""",P10,1.0,1.0,1.0,0.9940625429153442,1.0,1.0,0.0
12,L1,System_Inventory,text,OK,p6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p6""",P6,1.0,1.0,1.0,0.9882622361183167,1.0,1.0,0.0
13,L1,System_Inventory,text,OK,p12 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p12""",P12,1.0,1.0,1.0,0.990523099899292,1.0,1.0,0.0
14,L1,System_Inventory,text,OK,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf8""",Leaf8,1.0,1.0,1.0,0.9961614608764648,1.0,1.0,0.0
15,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf2""",Leaf2,1.0,1.0,1.0,0.9971699118614197,1.0,1.0,0.0
16,L1,System_Inventory,text,OK,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe3""",PE3,1.0,1.0,1.0,0.9952377676963806,1.0,1.0,0.0
17,L1,System_Inventory,text,OK,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe4""",PE4,1.0,1.0,1.0,0.9959758520126343,1.0,1.0,0.0
18,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p4""",P4,1.0,1.0,1.0,0.9741388559341431,1.0,1.0,0.0
19,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796203374862671,1.0,1.0,0.0
20,L1,System_Inventory,text,OK,p11 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p11""",P11,1.0,1.0,1.0,0.9971421957015991,1.0,1.0,0.0
21,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
22,L1,System_Inventory,text,OK,leaf5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
23,L1,System_Inventory,text,OK,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
24,L1,System_Inventory,text,OK,asbr1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",The user wants to know the operating system version of the device ASBR1 based on the provided configuration.,0.0,0.0,0.0,0.849955141544342,0.0,0.0,0.0
25,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
26,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
27,L1,System_Inventory,text,OK,p5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
28,L1,System_Inventory,text,OK,leaf13 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
29,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
30,L1,System_Inventory,text,OK,p8 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
31,L1,System_Inventory,text,OK,p9 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
32,L1,System_Inventory,text,OK,leaf15 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
33,L1,System_Inventory,text,OK,pe6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
34,L1,System_Inventory,text,OK,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
35,L1,System_Inventory,text,OK,p12 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
36,L1,System_Inventory,text,OK,fw2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
37,L1,System_Inventory,text,OK,p6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
38,L1,System_Inventory,text,OK,p10 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
39,L1,System_Inventory,text,OK,pe4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
40,L1,System_Inventory,text,OK,pe2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
41,L1,System_Inventory,text,OK,p8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
42,L1,System_Inventory,text,OK,leaf10 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
43,L1,System_Inventory,text,OK,asbr1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
44,L1,System_Inventory,text,OK,p6 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
45,L1,System_Inventory,text,OK,leaf3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
46,L1,System_Inventory,text,OK,pe8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
47,L1,System_Inventory,text,OK,leaf14 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
48,L1,System_Inventory,text,OK,leaf9 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
49,L1,System_Inventory,text,OK,leaf6 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
50,L1,System_Inventory,text,OK,pe1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
51,L1,System_Inventory,text,OK,pe4 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",The user wants to know the timezone of the device named PE4 based on the provided network configurations.,0.0,0.0,0.0,0.791118860244751,0.0,0.0,0.0
52,L1,System_Inventory,text,OK,leaf16 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
53,L1,System_Inventory,text,OK,p9 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
54,L1,System_Inventory,text,OK,p12 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
55,L1,System_Inventory,text,OK,p10 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
56,L1,System_Inventory,text,OK,leaf1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
57,L1,System_Inventory,text,OK,pe2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",,0.0,0.0,0.0,0.784656286239624,0,0.0,0.0
58,L1,System_Inventory,text,OK,p5 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
59,L1,System_Inventory,text,OK,pe7 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",,0.0,0.0,0.0,0.784656286239624,0,0.0,0.0
60,L1,System_Inventory,text,OK,p11 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST,0.0,0.0,0.6666666666666666,0.9383456707000732,0.6666666666666666,0.6666666666666666,0.0
61,L1,System_Inventory,set,OK,leaf8 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
62,L1,System_Inventory,set,OK,p1 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
63,L1,System_Inventory,set,OK,leaf2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
64,L1,System_Inventory,set,OK,leaf5 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
65,L1,System_Inventory,set,OK,p6 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
66,L1,System_Inventory,set,OK,pe8 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
67,L1,System_Inventory,set,OK,leaf11 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
68,L1,System_Inventory,set,OK,asbr2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
69,L1,System_Inventory,set,OK,p7 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
70,L1,System_Inventory,set,OK,p8 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","The user wants to know the list of local users registered on the device named ""P8"".",0.0,0.0,0.0,0.8023824691772461,0.0,0.0,0.0
71,L1,System_Inventory,set,OK,pe2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
72,L1,System_Inventory,set,OK,leaf16 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
73,L1,System_Inventory,set,OK,p3 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
74,L1,System_Inventory,set,OK,pe6 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
