"category","question","answer_status","answer"
"System_Inventory","p3 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf3 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf1 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p2 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf4 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","pe1 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","pe2 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p4 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf2 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p1 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","pe2 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p1 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf1 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p3 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","pe1 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p4 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf3 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf4 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p2 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf2 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p1 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p2 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p3 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf3 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","p4 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf4 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf1 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","leaf2 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","pe2 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"System_Inventory","pe1 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트]","OK","[]"
"Configuration_Check","'{node}' 장비에 설정된 NTP 서버 목록은? [답변 형식: IP 리스트]","OK","[]"
"Configuration_Check","'{node}' 장비에 설정된 Syslog 서버 목록은? [답변 형식: IP 리스트]","OK","[]"
"Configuration_Check","'{node}' 장비에 설정된 SNMP Community 목록은? [답변 형식: 문자열 리스트]","OK","[]"
"Configuration_Check","'{node}' 장비에 설정된 HSRP/VRRP 그룹 ID 목록은? [답변 형식: ID 리스트]","NOT_CONFIGURED","null"
