question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
0,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까?,"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968829154968262,1.0,1.0,0.0
1,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까?,"""leaf2""",Leaf2,1.0,1.0,1.0,0.9971696138381958,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까?,"""p4""",P4,1.0,1.0,1.0,0.9741384983062744,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까?,"""p2""",P2,1.0,1.0,1.0,0.9925472140312195,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까?,"""pe2""",PE2,1.0,1.0,1.0,0.9976428747177124,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까?,"""p3""",P3,1.0,1.0,1.0,0.9959044456481934,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까?,"""leaf4""",Leaf4,1.0,1.0,1.0,0.9853183627128601,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까?,"""pe1""",PE1,1.0,1.0,1.0,0.9950791597366333,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까?,"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796204566955566,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까?,"""p1""",P1,1.0,1.0,1.0,0.9911203384399414,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,p4 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
11,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
12,L1,System_Inventory,text,OK,pe2 장비의 운영체제(OS) 버전은 무엇입니까?,"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
