#,qa_id,level,metric,answer_type,question,dataset_answer,my_result,verdict,memo
1,ACL_BLOCKING_leaf4_leaf3,L4,acl_blocking_point,text,172.16.4.2에서 172.16.3.2로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 지점 장비명 또는 '허용'],"""허용됨""",,,
2,ACL_BLOCKING_leaf4_p2,L4,acl_blocking_point,text,172.16.4.2에서 10.0.0.1로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 지점 장비명 또는 '허용'],"""허용됨""",,,
3,ACL_BLOCKING_leaf4_pe2,L4,acl_blocking_point,text,172.16.4.2에서 10.0.1.3로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 지점 장비명 또는 '허용'],"""허용됨""",,,
4,ASYMMETRIC_leaf1_p1,L4,asymmetric_path_comparison,text,"leaf1과 p1 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: leaf1 → pe1, Reverse: p1""",,,
5,ASYMMETRIC_pe2_leaf3,L4,asymmetric_path_comparison,text,"pe2과 leaf3 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: pe2, Reverse: leaf3 → pe2""",,,
6,ASYMMETRIC_pe2_pe1,L4,asymmetric_path_comparison,text,"pe2과 pe1 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: pe2 → p3 → p2 → pe1, Reverse: pe1 → p2 → p3 → pe2""",,,
7,BLACKHOLE_DETECTION_GLOBAL,L4,blackhole_destination_list,set,"네트워크에서 블랙홀이 발생하는 목적지 prefix 목록을 알려주세요. [답변 형식: prefix 목록 (예: [""10.0.0.0/8"", ""192.168.1.0/24""]) 또는 빈 목록 []]",[],,,
8,BOUNDED_PATH_leaf2_leaf4,L4,bounded_path_length,number,leaf2에서 172.16.4.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],2,,,
9,BOUNDED_PATH_leaf4_p4,L4,bounded_path_length,number,leaf4에서 10.0.0.5로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],2,,,
10,BOUNDED_PATH_p1_p3,L4,bounded_path_length,number,p1에서 10.0.0.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],3,,,
11,ISOLATION_VRF_HPC_VRF_AI,L4,leaked_prefixes_list,set,"VRF_HPC과 VRF_AI 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
12,ISOLATION_VRF_HPC_VRF_BIO,L4,leaked_prefixes_list,set,"VRF_HPC과 VRF_BIO 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
