question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p4""",P4,1.0,1.0,1.0,0.9741389751434326,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf4""",Leaf4,1.0,1.0,1.0,0.9853183031082153,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796203374862671,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe1""",PE1,1.0,1.0,1.0,0.9950792789459229,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p2""",P2,1.0,1.0,1.0,0.9925471544265747,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p3""",P3,1.0,1.0,1.0,0.9959039092063904,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe2""",PE2,1.0,1.0,1.0,0.997642457485199,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p1""",P1,1.0,1.0,1.0,0.9911206960678101,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968831539154053,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf2""",Leaf2,1.0,1.0,1.0,0.9971699118614197,1.0,1.0,0.0
11,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,L1,System_Inventory,text,OK,p2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,L1,System_Inventory,text,OK,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,L1,System_Inventory,text,OK,p1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,L1,System_Inventory,text,OK,p4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,L1,System_Inventory,text,OK,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,L1,System_Inventory,text,OK,pe2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,L1,System_Inventory,text,NOT_CONFIGURED,p4 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
22,L1,System_Inventory,text,NOT_CONFIGURED,p2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
23,L1,System_Inventory,text,NOT_CONFIGURED,leaf1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,,0.0,0.0,0.0,0.7955620884895325,0,0.0,0.0
24,L1,System_Inventory,text,NOT_CONFIGURED,leaf3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,The user is asking about the timezone of Leaf3 based on the provided network configurations.,0.0,0.0,0.0,0.8072468042373657,0.11764705882352941,0.11764705882352941,0.0
25,L1,System_Inventory,text,NOT_CONFIGURED,p1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
26,L1,System_Inventory,text,NOT_CONFIGURED,pe2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
27,L1,System_Inventory,text,NOT_CONFIGURED,leaf2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
28,L1,System_Inventory,text,NOT_CONFIGURED,p3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
29,L1,System_Inventory,text,NOT_CONFIGURED,leaf4 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
30,L1,System_Inventory,text,NOT_CONFIGURED,pe1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],null,NOT_CONFIGURED,1.0,1.0,1.0,0.9999996423721313,1.0,1.0,1.0
31,L1,System_Inventory,set,OK,p4 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
32,L1,System_Inventory,set,OK,pe1 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
33,L1,System_Inventory,set,OK,leaf4 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
34,L1,System_Inventory,set,OK,leaf1 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
35,L1,System_Inventory,set,OK,leaf3 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]",The user wants to know the list of local users registered on the Leaf3 device.,0.0,0.0,0.0,0.7998263835906982,0.0,0.0,0.0
36,L1,System_Inventory,set,OK,pe2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]",The user wants to know the list of local users registered on the PE2 device.,0.0,0.0,0.0,0.8002731204032898,0.0,0.0,0.0
37,L1,System_Inventory,set,OK,leaf2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
38,L1,System_Inventory,set,OK,p1 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
39,L1,System_Inventory,set,OK,p2 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]",The user wants to know the list of local users registered on the P2 device.,0.0,0.0,0.0,0.8000637888908386,0.0,0.0,0.0
40,L1,System_Inventory,set,OK,p3 장비에 등록된 로컬 사용자 목록을 알려주세요. [답변 형식: JSON array],"[""admin""]","[""admin""]",1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.0
41,L1,System_Inventory,number,OK,pe2 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: integer],1,1,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
42,L1,System_Inventory,number,OK,p3 장비에 등록된 로컬 사용자는 총 몇 명입니까? [답변 형식: integer],1,1,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
