id,id_v2,level,metric,answer_type,status,reason,replay_answer,dataset_answer,match,score,detail
TRACEROUTE_leaf6_p3,traceroute_path:52bdef7e3c,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_p3_p6,traceroute_path:b3d3071467,L4,traceroute_path,text,MATCH,,p3 -> p5 -> p6,"""p3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_leaf6_pe1,traceroute_path:49bef6c809,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf1_p4,traceroute_path:7286e34e9e,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_leaf2_leaf3,traceroute_path:b0c09408f5,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_leaf5_p7,traceroute_path:80540ab44b,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_p6_p7,traceroute_path:defe4fb7f4,L4,traceroute_path,text,MATCH,,p6 -> p7,"""p6 -> p7""",True,1.0,exact
TRACEROUTE_leaf1_p7,traceroute_path:ab64bce918,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_p8_leaf8,traceroute_path:a093a7d3e2,L4,traceroute_path,text,MATCH,,p8,"""p8""",True,1.0,exact
TRACEROUTE_leaf6_p6,traceroute_path:654e796ff0,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf3_p1,traceroute_path:af414e59b4,L4,traceroute_path,text,MATCH,,leaf3 -> pe2,"""leaf3 -> pe2""",True,1.0,exact
TRACEROUTE_leaf6_leaf1,traceroute_path:fdf2a1c8c7,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_pe1_pe2,traceroute_path:011107df04,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p2 -> pe2,"""pe1 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_p2_p7,traceroute_path:52a92f8f29,L4,traceroute_path,text,MATCH,,p2 -> p1 -> p3 -> p5 -> p6 -> p7,"""p2 -> p1 -> p3 -> p5 -> p6 -> p7""",True,1.0,exact
TRACEROUTE_pe1_leaf1,traceroute_path:1435203c63,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_p2_leaf4,traceroute_path:b1dd2e8733,L4,traceroute_path,text,MATCH,,p2,"""p2""",True,1.0,exact
TRACEROUTE_leaf3_p7,traceroute_path:07a6977cb7,L4,traceroute_path,text,MATCH,,leaf3 -> pe2,"""leaf3 -> pe2""",True,1.0,exact
TRACEROUTE_p2_leaf8,traceroute_path:688b324643,L4,traceroute_path,text,MATCH,,p2,"""p2""",True,1.0,exact
TRACEROUTE_leaf6_p5,traceroute_path:50c76a84f7,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_pe3_leaf8,traceroute_path:2316931578,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_p4_p7,traceroute_path:ff6bf55919,L4,traceroute_path,text,MATCH,,p4 -> p3 -> p5 -> p6 -> p7,"""p4 -> p3 -> p5 -> p6 -> p7""",True,1.0,exact
TRACEROUTE_leaf7_pe1,traceroute_path:501a11eaa1,L4,traceroute_path,text,MATCH,,leaf7 -> pe4,"""leaf7 -> pe4""",True,1.0,exact
TRACEROUTE_leaf4_leaf3,traceroute_path:85cf0a193c,L4,traceroute_path,text,MATCH,,leaf4 -> pe2,"""leaf4 -> pe2""",True,1.0,exact
TRACEROUTE_leaf5_pe1,traceroute_path:fb2eeb088c,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_pe3_pe2,traceroute_path:3386a89652,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p3 -> p1 -> p2 -> pe2,"""pe3 -> p5 -> p3 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_pe3_leaf7,traceroute_path:379acdabcc,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_leaf8_leaf7,traceroute_path:af0f40c009,L4,traceroute_path,text,MATCH,,leaf8 -> pe4,"""leaf8 -> pe4""",True,1.0,exact
