id,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] leaf3 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf3""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] leaf1 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] pe2 장비의 호스트네임은 무엇입니까?,OK,text,"""pe2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] p4 장비의 호스트네임은 무엇입니까?,OK,text,"""p4""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['p4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] leaf4 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf4""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['leaf4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] pe1 장비의 호스트네임은 무엇입니까?,OK,text,"""pe1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] p2 장비의 호스트네임은 무엇입니까?,OK,text,"""p2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['p2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] leaf2 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] p3 장비의 호스트네임은 무엇입니까?,OK,text,"""p3""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['p3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] p1 장비의 호스트네임은 무엇입니까?,OK,text,"""p1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",02167d6,['p1.cfg']
