question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p4""",P4,1.0,1.0,1.0,0.9747598767280579,0.0,0.0,0.0
2,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf4""",Leaf4,1.0,1.0,1.0,0.914082407951355,0.0,0.0,0.0
3,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf3""",Leaf3,1.0,1.0,1.0,0.9126588106155396,0.0,0.0,0.0
4,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe1""",PE1,1.0,1.0,1.0,0.9613978266716003,0.0,0.0,0.0
5,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p2""",P2,1.0,1.0,1.0,0.976568877696991,0.0,0.0,0.0
6,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p3""",P3,1.0,1.0,1.0,0.9644357562065125,0.0,0.0,0.0
7,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe2""",PE2,1.0,1.0,1.0,0.9514011740684509,0.0,0.0,0.0
8,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p1""",P1,1.0,1.0,1.0,0.9761629104614258,0.0,0.0,0.0
9,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf1""",Leaf1,1.0,1.0,1.0,0.8935976028442383,0.0,0.0,0.0
10,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf2""",Leaf2,1.0,1.0,1.0,0.9003494381904602,0.0,0.0,0.0
11,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12,L1,System_Inventory,text,OK,p2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13,L1,System_Inventory,text,OK,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
14,L1,System_Inventory,text,OK,p1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
15,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17,L1,System_Inventory,text,OK,p4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
18,L1,System_Inventory,text,OK,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
19,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
20,L1,System_Inventory,text,OK,pe2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
21,L1,System_Inventory,text,NOT_CONFIGURED,p4 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],null,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
22,L1,System_Inventory,text,NOT_CONFIGURED,p2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],null,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23,L1,System_Inventory,text,NOT_CONFIGURED,leaf1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],null,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
24,L1,System_Inventory,text,NOT_CONFIGURED,leaf3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],null,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
