question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
0,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p2""",P2,1.0,1.0,1.0,0.992547333240509,1.0,1.0,0.0
1,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe2""",PE2,1.0,1.0,1.0,0.9976428151130676,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p3""",P3,1.0,1.0,1.0,0.9959046840667725,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p4""",P4,1.0,1.0,1.0,0.9741384983062744,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796203970909119,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968827962875366,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe1""",PE1,1.0,1.0,1.0,0.9950790405273438,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p1""",P1,1.0,1.0,1.0,0.9911203384399414,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf4""",Leaf4,1.0,1.0,1.0,0.9853181838989258,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf2""",Leaf2,1.0,1.0,1.0,0.9971694946289062,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,p2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
11,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
12,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",version 15.7,0.6666666666666666,0.0,0.6666666666666666,0.9489032626152039,0.8,0.8,0.6666666666666666
