id,id_v2,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_p5,system_hostname_text:5991ac5b4f,System_Inventory,L1,p5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p5""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",bd1a393,['p5.cfg']
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,System_Inventory,L1,p1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p1""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",bd1a393,['p1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf6,system_hostname_text:0f4017add8,System_Inventory,L1,leaf6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf6""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf6""}}",bd1a393,['leaf6.cfg']
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,System_Inventory,L1,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe3""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe3""}}",bd1a393,['pe3.cfg']
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,System_Inventory,L1,p8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p8""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",bd1a393,['p8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,System_Inventory,L1,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf2""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",bd1a393,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT_leaf12,system_hostname_text:5e0abb2272,System_Inventory,L1,leaf12 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf12""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf12""}}",bd1a393,['leaf12.cfg']
SYSTEM_HOSTNAME_TEXT_leaf8,system_hostname_text:a81bf37e92,System_Inventory,L1,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf8""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf8""}}",bd1a393,['leaf8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf7,system_hostname_text:66e16ac9ac,System_Inventory,L1,leaf7 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf7""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf7""}}",bd1a393,['leaf7.cfg']
SYSTEM_HOSTNAME_TEXT_p10,system_hostname_text:34f07ac92d,System_Inventory,L1,p10 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p10""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p10""}}",bd1a393,['p10.cfg']
SYSTEM_HOSTNAME_TEXT_leaf5,system_hostname_text:c889ccb7cb,System_Inventory,L1,leaf5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf5""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf5""}}",bd1a393,['leaf5.cfg']
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,System_Inventory,L1,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe2""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",bd1a393,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT_pe6,system_hostname_text:7041bfb7a3,System_Inventory,L1,pe6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe6""",,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe6""}}",bd1a393,['pe6.cfg']
