#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
1,BGP_LOCAL_AS_NUMERIC_p2,L1,bgp_local_as_numeric,number,p2 장비의 BGP Local-AS 번호는 무엇입니까? [답변 형식: 숫자],0,,,,,
2,INTERFACE_STATUS_MAP_p1,L1,interface_status_map,map,p1 장비의 각 인터페이스 상태를 알려주세요. [답변 형식: {{'인터페이스명': '상태'}}],"{""GigabitEthernet0/0"": ""up"", ""GigabitEthernet0/1"": ""up"", ""GigabitEthernet0/2"": ""up"", ""GigabitEthernet0/3"": ""down"", ""Loopback0"": ""up""}",,,,,
3,NTP_SERVER_LIST_p2,L1,ntp_server_list,set,p2 장비에 설정된 NTP 서버 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
4,SNMP_COMMUNITY_LIST_leaf1,L1,snmp_community_list,set,leaf1 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
5,SUBINTERFACE_COUNT_p1,L1,subinterface_count,number,p1 장비에 설정된 서브인터페이스는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
6,SYSLOG_SERVER_LIST_p3,L1,syslog_server_list,set,p3 장비에 설정된 Syslog 서버 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
7,AAA_ENABLED_DEVICES,L2,aaa_enabled_devices,set,AAA 기능이 활성화된 장비 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
8,AAA_MISSING_DEVICES,L2,aaa_missing_devices,set,AAA 기능이 비활성화된 장비 목록을 알려주세요. [답변 형식: 리스트],"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",,,,,
9,DEVICES_WITH_SAME_VRF_VRF_BIO,L2,devices_with_same_vrf,set,VRF_BIO VRF를 사용하는 장비 목록을 알려주세요. [답변 형식: 리스트],"[""pe1"", ""pe2""]",,,,,
10,L2VPN_PAIRS,L2,l2vpn_pairs,set,"구성된 L2VPN pseudowire 회선(장비쌍) 목록을 알려주세요. [답변 형식: ['A<->B', ...]]",[],,,,,
11,OSPF_AREA0_IF_COUNT_leaf4,L2,ospf_area0_if_count,number,leaf4 장비의 OSPF Area 0에 연결된 인터페이스는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
12,OSPF_AREA_MEMBERSHIP_0,L2,ospf_area_membership,set,OSPF Area 0에 속한 장비 목록을 알려주세요. [답변 형식: 리스트],"[""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",,,,,
13,OSPF_NEIGHBOR_COUNT_PER_AREA_0,L2,ospf_neighbor_count_per_area,number,OSPF Area 0의 이웃 관계는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
14,SSH_ENABLED_DEVICES,L2,ssh_enabled_devices,set,SSH 접속이 가능한 장비 목록을 알려주세요. [답변 형식: 리스트],"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",,,,,
15,SSH_MISSING_COUNT,L2,ssh_missing_count,number,SSH 접속이 불가능한 장비는 총 몇 대입니까? [답변 형식: 숫자],0,,,,,
16,SSH_MISSING_DEVICES,L2,ssh_missing_devices,set,SSH 접속이 불가능한 장비 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
17,ALL_DEVICES_SAME_AS,L3,all_devices_same_as,text,"모든 장비의 BGP AS 번호를 나열해주세요. BGP가 미설정된 장비는 'AS None'으로 표시하세요. [답변 형식: '장비1: AS X, 장비2: AS None, ...']","""leaf1: AS N/A, leaf2: AS N/A, leaf3: AS N/A, leaf4: AS N/A, p1: AS N/A, p2: AS N/A, p3: AS N/A, p4: AS N/A, pe1: AS 65000, pe2: AS 65000""",,,,,
