id,id_v2,level,metric,answer_type,status,reason,parser_answer,dataset_answer,match,score,detail
SYSTEM_HOSTNAME_TEXT_p5,system_hostname_text:5991ac5b4f,L1,system_hostname_text,text,MATCH,,p5,"""p5""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,L1,system_hostname_text,text,MATCH,,p1,"""p1""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf6,system_hostname_text:0f4017add8,L1,system_hostname_text,text,MATCH,,leaf6,"""leaf6""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,L1,system_hostname_text,text,MATCH,,pe3,"""pe3""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,L1,system_hostname_text,text,MATCH,,p8,"""p8""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,L1,system_hostname_text,text,MATCH,,leaf2,"""leaf2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf12,system_hostname_text:5e0abb2272,L1,system_hostname_text,text,MATCH,,leaf12,"""leaf12""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf8,system_hostname_text:a81bf37e92,L1,system_hostname_text,text,MATCH,,leaf8,"""leaf8""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf7,system_hostname_text:66e16ac9ac,L1,system_hostname_text,text,MATCH,,leaf7,"""leaf7""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p10,system_hostname_text:34f07ac92d,L1,system_hostname_text,text,MATCH,,p10,"""p10""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf5,system_hostname_text:c889ccb7cb,L1,system_hostname_text,text,MATCH,,leaf5,"""leaf5""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,L1,system_hostname_text,text,MATCH,,pe2,"""pe2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe6,system_hostname_text:7041bfb7a3,L1,system_hostname_text,text,MATCH,,pe6,"""pe6""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p7,system_hostname_text:51589f45e8,L1,system_hostname_text,text,MATCH,,p7,"""p7""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,L1,system_hostname_text,text,MATCH,,p2,"""p2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,L1,system_hostname_text,text,MATCH,,pe4,"""pe4""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_asbr2,system_hostname_text:43e487a8cc,L1,system_hostname_text,text,MATCH,,asbr2,"""asbr2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf9,system_hostname_text:a49fad1930,L1,system_hostname_text,text,MATCH,,leaf9,"""leaf9""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,L1,system_hostname_text,text,MATCH,,p4,"""p4""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,L1,system_hostname_text,text,MATCH,,leaf1,"""leaf1""",True,1.0,exact
SYSTEM_VERSION_TEXT_p1,system_version_text:980d4425bd,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p9,system_version_text:4636d19a52,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p10,system_version_text:34f07ac92d,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf7,system_version_text:66e16ac9ac,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p2,system_version_text:f84ad4329a,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p6,system_version_text:e05ff65dc3,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p3,system_version_text:40d255b5d8,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf3,system_version_text:6a7c231d8b,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_pe3,system_version_text:6ad90347c4,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p5,system_version_text:5991ac5b4f,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf5,system_version_text:c889ccb7cb,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf8,system_version_text:a81bf37e92,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_pe4,system_version_text:a2fc790735,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_asbr2,system_version_text:43e487a8cc,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_pe6,system_version_text:7041bfb7a3,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf1,system_version_text:f3e677391b,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf10,system_version_text:6c269c1b4e,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_p7,system_version_text:51589f45e8,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf2,system_version_text:6e35c43dba,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf11,system_version_text:1bde0c35ac,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_TIMEZONE_TEXT_leaf9,system_timezone_text:a49fad1930,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_p1,system_timezone_text:980d4425bd,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe1,system_timezone_text:4f36bb8808,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_p7,system_timezone_text:51589f45e8,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_asbr1,system_timezone_text:1e9e9c7f7a,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_p10,system_timezone_text:34f07ac92d,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf4,system_timezone_text:45a2dbebe1,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_p2,system_timezone_text:f84ad4329a,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe4,system_timezone_text:a2fc790735,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe6,system_timezone_text:7041bfb7a3,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe2,system_timezone_text:3603999311,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf12,system_timezone_text:5e0abb2272,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf6,system_timezone_text:0f4017add8,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_p3,system_timezone_text:40d255b5d8,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf11,system_timezone_text:1bde0c35ac,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf8,system_timezone_text:a81bf37e92,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf10,system_timezone_text:6c269c1b4e,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_pe5,system_timezone_text:cf50209904,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_p9,system_timezone_text:4636d19a52,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_TIMEZONE_TEXT_leaf5,system_timezone_text:c889ccb7cb,L1,system_timezone_text,text,MATCH,,KST +9 0,"""KST 9""",True,1.0,timezone_normalized
SYSTEM_USER_LIST_pe5,system_user_list:cf50209904,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_pe3,system_user_list:6ad90347c4,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_asbr1,system_user_list:1e9e9c7f7a,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_leaf1,system_user_list:f3e677391b,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_leaf9,system_user_list:a49fad1930,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_leaf7,system_user_list:66e16ac9ac,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_p2,system_user_list:f84ad4329a,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_leaf2,system_user_list:6e35c43dba,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_p4,system_user_list:8eb660897d,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_p10,system_user_list:34f07ac92d,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_pe6,system_user_list:7041bfb7a3,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_leaf5,system_user_list:c889ccb7cb,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_leaf10,system_user_list:6c269c1b4e,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_p9,system_user_list:4636d19a52,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_leaf11,system_user_list:1bde0c35ac,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_pe4,system_user_list:a2fc790735,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_pe2,system_user_list:3603999311,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_p5,system_user_list:5991ac5b4f,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_pe1,system_user_list:4f36bb8808,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_LIST_asbr2,system_user_list:43e487a8cc,L1,system_user_list,set_str,MATCH,,"[""admin""]","[""admin""]",True,1.0,exact
SYSTEM_USER_COUNT_pe2,system_user_count:3603999311,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_p5,system_user_count:5991ac5b4f,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf5,system_user_count:c889ccb7cb,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf12,system_user_count:5e0abb2272,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_p8,system_user_count:d61ee73c24,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_pe3,system_user_count:6ad90347c4,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf10,system_user_count:6c269c1b4e,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_p1,system_user_count:980d4425bd,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf2,system_user_count:6e35c43dba,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_p6,system_user_count:e05ff65dc3,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf6,system_user_count:0f4017add8,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_pe4,system_user_count:a2fc790735,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_asbr2,system_user_count:43e487a8cc,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_asbr1,system_user_count:1e9e9c7f7a,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_p7,system_user_count:51589f45e8,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf1,system_user_count:f3e677391b,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_p10,system_user_count:34f07ac92d,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_p2,system_user_count:f84ad4329a,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf11,system_user_count:1bde0c35ac,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
SYSTEM_USER_COUNT_leaf3,system_user_count:6a7c231d8b,L1,system_user_count,number,MATCH,,1,1,True,1.0,"parser=1.0, gold=1.0"
LOGGING_BUFFERED_SEVERITY_TEXT_p5,logging_buffered_severity_text:5991ac5b4f,L1,logging_buffered_severity_text,text,MATCH,,warnings,"""warnings""",True,1.0,exact
LOGGING_BUFFERED_SEVERITY_TEXT_p4,logging_buffered_severity_text:8eb660897d,L1,logging_buffered_severity_text,text,MATCH,,warnings,"""warnings""",True,1.0,exact
LOGGING_BUFFERED_SEVERITY_TEXT_p2,logging_buffered_severity_text:f84ad4329a,L1,logging_buffered_severity_text,text,MATCH,,warnings,"""warnings""",True,1.0,exact
