row_num,row_id,level,category,metric,answer_type,status,reason,expected,actual,question
272,VRF_COUNT,L1,Services_Inventory,vrf_count,numeric,FAIL,mismatch,6,3,pe2 장비에 설정된 VRF는 총 몇 개입니까? [답변 형식: 숫자]
280,VRF_COUNT,L1,Services_Inventory,vrf_count,numeric,FAIL,mismatch,6,3,pe1 장비에 설정된 VRF는 총 몇 개입니까? [답변 형식: 숫자]
515,TRACEROUTE_pe2_pe1,L4,Reachability_Analysis,traceroute_path,text,FAIL,verified,pe2 → p3 → p2 → pe1,경로 없음,pe2에서 10.0.1.1까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)]
519,TRACEROUTE_pe2_leaf3,L4,Reachability_Analysis,traceroute_path,text,FAIL,verified,pe2,경로 없음,pe2에서 172.16.3.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)]
521,TRACEROUTE_pe1_p2,L4,Reachability_Analysis,traceroute_path,text,FAIL,verified,pe1 → p2,경로 없음,pe1에서 10.0.0.1까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)]
532,TRACEROUTE_pe2_p3,L4,Reachability_Analysis,traceroute_path,text,FAIL,verified,pe2 → p3,경로 없음,pe2에서 10.0.0.3까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)]
533,TRACEROUTE_pe2_p2,L4,Reachability_Analysis,traceroute_path,text,FAIL,verified,pe2 → p3 → p2,경로 없음,pe2에서 10.0.0.1까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)]
543,TRACEROUTE_pe1_p3,L4,Reachability_Analysis,traceroute_path,text,FAIL,verified,pe1 → p2 → p3,경로 없음,pe1에서 10.0.0.3까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)]
558,TRACEROUTE_pe1_leaf3,L4,Reachability_Analysis,traceroute_path,text,FAIL,verified,pe1,경로 없음,pe1에서 172.16.3.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)]
591,BOUNDED_PATH_leaf1_leaf2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 172.16.2.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
593,BOUNDED_PATH_leaf4_leaf3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf4에서 172.16.3.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
594,BOUNDED_PATH_pe2_leaf3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,1,0,pe2에서 172.16.3.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
595,BOUNDED_PATH_pe2_p3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,pe2에서 10.0.0.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
596,BOUNDED_PATH_leaf2_p4,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 10.0.0.5로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
597,BOUNDED_PATH_leaf4_p1,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf4에서 10.0.0.0로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
600,BOUNDED_PATH_leaf2_p3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 10.0.0.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
602,BOUNDED_PATH_leaf2_p1,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 10.0.0.0로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
603,BOUNDED_PATH_pe1_leaf3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,1,0,pe1에서 172.16.3.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
604,BOUNDED_PATH_leaf1_p2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 10.0.0.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
605,BOUNDED_PATH_leaf2_pe2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 10.0.1.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
606,BOUNDED_PATH_leaf4_p3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf4에서 10.0.0.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
607,BOUNDED_PATH_pe1_p3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,3,0,pe1에서 10.0.0.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
609,BOUNDED_PATH_leaf3_p3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf3에서 10.0.0.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
611,BOUNDED_PATH_leaf1_p3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 10.0.0.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
613,BOUNDED_PATH_leaf1_pe2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 10.0.1.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
614,BOUNDED_PATH_pe1_p2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,pe1에서 10.0.0.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
615,BOUNDED_PATH_leaf2_p2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 10.0.0.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
616,BOUNDED_PATH_leaf2_leaf3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 172.16.3.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
617,BOUNDED_PATH_leaf1_p4,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 10.0.0.5로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
618,BOUNDED_PATH_leaf1_p1,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 10.0.0.0로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
619,BOUNDED_PATH_leaf2_pe1,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 10.0.1.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
620,BOUNDED_PATH_leaf4_p4,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf4에서 10.0.0.5로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
622,BOUNDED_PATH_leaf1_pe1,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 10.0.1.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
623,BOUNDED_PATH_leaf1_leaf4,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 172.16.4.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
624,BOUNDED_PATH_leaf2_leaf4,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf2에서 172.16.4.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
625,BOUNDED_PATH_pe2_pe1,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,4,0,pe2에서 10.0.1.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
626,BOUNDED_PATH_leaf3_p2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf3에서 10.0.0.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
628,BOUNDED_PATH_leaf4_pe2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf4에서 10.0.1.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
629,BOUNDED_PATH_leaf4_pe1,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf4에서 10.0.1.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
630,BOUNDED_PATH_leaf1_leaf3,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf1에서 172.16.3.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
631,BOUNDED_PATH_leaf4_p2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,2,0,leaf4에서 10.0.0.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
633,BOUNDED_PATH_pe2_p2,L4,Reachability_Analysis,bounded_path_length,number,FAIL,no_route,3,0,pe2에서 10.0.0.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자]
