question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
,,,text,,What does the IS-IS error 'Max area addresses mismatch' indicate about the configuration preventing an L1 adjacency?,This indicates that the routers disagree on the configured maximum number of area addresses (`max-area-addresses` or similar command) supported within the IS-IS area. This parameter must match between neighbors for an L1 adjacency to form successfully within that area.,,0.5,0.0,0.49230769230769234,0.8908413052558899,0.34090909090909094,0.5681818181818181,0.27906976744186046
,,,text,,What common BGP filtering technique is used on AS65000's routers to prevent advertising routes learned from ISP_A to ISP_B?,"A common technique is using an AS_PATH filter list or route map. On the outbound policy towards ISP_B, implement a filter that denies any route whose AS_PATH contains the ASN of ISP_A. This prevents AS65000 from becoming a transit AS between ISP_A and ISP_B.",,0.27272727272727276,0.0,0.2686567164179104,0.880050778388977,0.2666666666666666,0.4444444444444445,0.13636363636363635
,,,text,,"Which BGP path (A or B) will the router prefer by default for prefix 10.1.0.0/16, and why?","Path A will be preferred. BGP path selection prioritizes the path with the highest Local Preference *before* considering AS_PATH length. Even though Path B has a shorter AS_PATH, Path A's higher Local Preference makes it more desirable according to the standard BGP best path selection algorithm.",,0.37037037037037035,0.0,0.3636363636363637,0.9046946167945862,0.47368421052631576,0.5,0.29729729729729726
,,,text,,"What BGP design feature specifically helps reduce iBGP convergence time compared to a full mesh, especially in large networks?","BGP Route Reflectors (RRs) help reduce iBGP convergence time. By significantly reducing the number of required iBGP sessions (from N*(N-1)/2 to N sessions to RRs), RRs decrease the amount of BGP update processing and flooding required during convergence events, leading to faster stabilization.",,0.3561643835616438,0.0,0.34210526315789475,0.8741272687911987,0.3333333333333333,0.41666666666666663,0.2127659574468085
,,,text,,"Assuming default behavior for inter-AS MED comparison, which peer's route (A or B) would likely be preferred based *only* on the MED attribute?","Peer A's route (MED 50) would be preferred. By default, when comparing routes from different peers within the *same* neighboring autonomous system, BGP prefers the path with the lower MED value (lower is better). Since Peer A has MED 50 and Peer B has MED 100, Path A is considered better based on MED.",,0.463768115942029,0.0,0.5405405405405405,0.9079963564872742,0.46808510638297873,0.6170212765957446,0.34782608695652173
,,,text,,What is the primary function of configuring a BGP neighbor as a `route-reflector-client` within an iBGP design?,"The primary function is to relax the iBGP split-horizon rule. Normally, routes learned from an iBGP peer are not advertised to other iBGP peers. A Route Reflector (RR) *can* advertise routes learned from one client to other clients (and non-clients), allowing scalability by avoiding a full mesh of iBGP sessions while preventing loops.",,0.4634146341463415,0.0,0.4523809523809524,0.9013280272483826,0.38983050847457623,0.6101694915254237,0.3103448275862069
,,,text,,Which OSPF path (1 or 2) will the router install in its RIB by default?,"Path 1 (Intra-area) will be installed. OSPF prefers routes based on type before cost. The preference order is Intra-area (O) > Inter-area (O IA) > External Type 1 (E1) > External Type 2 (E2). Even though Path 2 has a lower cost (30 vs 50), Path 1 is preferred because it's an Intra-area route.",,0.3055555555555555,0.0,0.3243243243243243,0.8729611039161682,0.21052631578947367,0.42105263157894735,0.12903225806451613
,,,text,,"What types of LSAs are permitted within an OSPF Totally NSSA, and how do external routes exit this area type?","Permitted LSAs: Type 1 (Router), Type 2 (Network), Type 3 (Summary - *only* a default route injected by the ABR), and Type 7 (NSSA External). External routes learned within the NSSA (as Type 7) are translated by the ABR into Type 5 LSAs for propagation into the backbone (Area 0). No other Type 3, 4, or 5 LSAs are flooded into a Totally NSSA.",,0.4,0.0,0.3950617283950617,0.8892932534217834,0.36538461538461536,0.5576923076923077,0.29411764705882354
,,,text,,"How does IS-IS's view of the network topology fundamentally differ from OSPF's view, particularly regarding Level 1 and Level 2 routing?","IS-IS views the network as having two levels: Level 1 (intra-area) and Level 2 (inter-area backbone). L1 routers only know the topology within their own area and default route to the nearest L1/L2 router. L2 routers know the L2 backbone topology and which areas connect. OSPF has a more area-centric view where all non-backbone areas must connect directly to Area 0 (the backbone), and ABRs summarize between areas.",,0.3888888888888889,0.0,0.3818181818181819,0.8862833976745605,0.29487179487179493,0.4743589743589744,0.11688311688311688
,,,text,,"Besides using IPv6 addresses and different LSA structures, what is a key difference in how OSPFv3 forms adjacencies and handles addressing on multi-access (e.g., Ethernet) segments compared to OSPFv2?","OSPFv3 uses link-local IPv6 addresses for adjacency formation and protocol communication on a link, decoupling the routing protocol from the specific IPv6 prefixes assigned to the link. OSPFv2 relies on the primary IPv4 address configured on the interface for neighbor discovery and communication.",,0.3880597014925374,0.0,0.37681159420289856,0.8972869515419006,0.30434782608695654,0.43478260869565216,0.2
,,,text,,What is a key advantage of Segment Routing (SR-MPLS) over traditional LDP/RSVP-TE based MPLS control planes?,"A key advantage of SR-MPLS is its **source routing** nature and **simplified control plane**. The path (sequence of segments/labels) is determined entirely by the ingress node and encoded in the packet header as a label stack. Intermediate nodes only need to process the top label (segment identifier) based on IGP information, eliminating the need for per-LSP state maintenance via LDP or RSVP-TE on transit routers. This significantly improves scalability and simplifies network operations.",,0.396551724137931,0.0,0.4067796610169491,0.8919615745544434,0.36986301369863017,0.5616438356164384,0.27777777777777773
