id,id_v2,level,metric,answer_type,status,reason,replay_answer,dataset_answer,match,score,detail
TRACEROUTE_leaf10_leaf7,traceroute_path:1c463ed4fb,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_p10_leaf9,traceroute_path:154b76c999,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_p12_pe6,traceroute_path:3355f2975f,L4,traceroute_path,text,MATCH,,p12 -> fw2 -> asbr2 -> pe6,"""p12 -> fw2 -> asbr2 -> pe6""",True,1.0,exact
TRACEROUTE_pe3_leaf6,traceroute_path:eed8e6a2c1,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_p12_leaf3,traceroute_path:c87048eb38,L4,traceroute_path,text,MATCH,,p12,"""p12""",True,1.0,exact
TRACEROUTE_p10_p11,traceroute_path:ae84255953,L4,traceroute_path,text,MATCH,,p10 -> p9 -> asbr1 -> fw1 -> p11,"""p10 -> p9 -> asbr1 -> fw1 -> p11""",True,1.0,exact
TRACEROUTE_p8_pe5,traceroute_path:8b8862d730,L4,traceroute_path,text,MATCH,,p8 -> p7 -> asbr1 -> pe5,"""p8 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_leaf16_asbr2,traceroute_path:b6dffb991c,L4,traceroute_path,text,MATCH,,leaf16 -> pe8,"""leaf16 -> pe8""",True,1.0,exact
TRACEROUTE_p7_leaf7,traceroute_path:bdf83d4f85,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_pe4_asbr2,traceroute_path:0e4d054020,L4,traceroute_path,text,MATCH,,pe4 -> p8 -> asbr2,"""pe4 -> p8 -> asbr2""",True,1.0,exact
TRACEROUTE_p9_leaf5,traceroute_path:4a3ea4704f,L4,traceroute_path,text,MATCH,,p9,"""p9""",True,1.0,exact
TRACEROUTE_p11_p6,traceroute_path:97bc7faa7d,L4,traceroute_path,text,MATCH,,p11 -> fw1 -> asbr1 -> p7 -> p6,"""p11 -> fw1 -> asbr1 -> p7 -> p6""",True,1.0,exact
TRACEROUTE_leaf9_p5,traceroute_path:e58da54df5,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_leaf2_pe7,traceroute_path:bb2b18751c,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_p7_fw1,traceroute_path:37127eeb33,L4,traceroute_path,text,MATCH,,p7 -> asbr1 -> fw1,"""p7 -> asbr1 -> fw1""",True,1.0,exact
TRACEROUTE_asbr2_p4,traceroute_path:cea7a14cff,L4,traceroute_path,text,MATCH,,asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p4,"""asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p4""",True,1.0,exact
TRACEROUTE_p2_p6,traceroute_path:d21a620f4e,L4,traceroute_path,text,MATCH,,p2 -> p1 -> p3 -> p5 -> p6,"""p2 -> p1 -> p3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_p7_leaf5,traceroute_path:dae18777ab,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_leaf9_pe7,traceroute_path:0c2af593b9,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_p12_leaf12,traceroute_path:241348e4b4,L4,traceroute_path,text,MATCH,,p12,"""p12""",True,1.0,exact
TRACEROUTE_p1_p3,traceroute_path:85077ea73e,L4,traceroute_path,text,MATCH,,p1 -> p3,"""p1 -> p3""",True,1.0,exact
TRACEROUTE_leaf6_p3,traceroute_path:52bdef7e3c,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf9_leaf4,traceroute_path:0ee7bad600,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_leaf16_leaf6,traceroute_path:2a5fbc3046,L4,traceroute_path,text,MATCH,,leaf16 -> pe8,"""leaf16 -> pe8""",True,1.0,exact
TRACEROUTE_leaf11_leaf7,traceroute_path:88aad56e94,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_pe6_leaf10,traceroute_path:1a51311d32,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_p11_p12,traceroute_path:73ca2dde06,L4,traceroute_path,text,MATCH,,p11 -> p12,"""p11 -> p12""",True,1.0,exact
TRACEROUTE_p7_pe2,traceroute_path:8903b8e5a0,L4,traceroute_path,text,MATCH,,p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2,"""p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_pe2_p8,traceroute_path:0b2263cc34,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> p8,"""pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> p8""",True,1.0,exact
TRACEROUTE_p12_leaf4,traceroute_path:a887ab6ca3,L4,traceroute_path,text,MATCH,,p12,"""p12""",True,1.0,exact
TRACEROUTE_leaf6_leaf4,traceroute_path:86e6dc4398,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf10_leaf2,traceroute_path:76807f87c3,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_p9_pe8,traceroute_path:26025d01cb,L4,traceroute_path,text,MATCH,,p9 -> p10 -> asbr2 -> fw2 -> pe8,"""p9 -> p10 -> asbr2 -> fw2 -> pe8""",True,1.0,exact
TRACEROUTE_asbr1_p3,traceroute_path:ee8bc45fe9,L4,traceroute_path,text,MATCH,,asbr1 -> p7 -> p6 -> p5 -> p3,"""asbr1 -> p7 -> p6 -> p5 -> p3""",True,1.0,exact
TRACEROUTE_p12_leaf6,traceroute_path:5c0d67bb38,L4,traceroute_path,text,MATCH,,p12,"""p12""",True,1.0,exact
TRACEROUTE_p12_fw2,traceroute_path:16d53264f1,L4,traceroute_path,text,MATCH,,p12 -> fw2,"""p12 -> fw2""",True,1.0,exact
TRACEROUTE_leaf12_p5,traceroute_path:0c776c4e80,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_leaf10_p9,traceroute_path:238f9d8dce,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_leaf5_leaf8,traceroute_path:4485fff6f0,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_pe2_fw1,traceroute_path:700500063c,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> fw1,"""pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> fw1""",True,1.0,exact
TRACEROUTE_pe3_leaf3,traceroute_path:b770563a94,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_p2_leaf9,traceroute_path:076d0f4cc5,L4,traceroute_path,text,MATCH,,p2,"""p2""",True,1.0,exact
TRACEROUTE_p8_leaf3,traceroute_path:281f1723e5,L4,traceroute_path,text,MATCH,,p8,"""p8""",True,1.0,exact
TRACEROUTE_leaf15_p5,traceroute_path:197035f442,L4,traceroute_path,text,MATCH,,leaf15 -> pe8,"""leaf15 -> pe8""",True,1.0,exact
TRACEROUTE_leaf9_fw1,traceroute_path:b8135446e2,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_leaf1_leaf10,traceroute_path:47295b41f2,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_leaf1_p4,traceroute_path:7286e34e9e,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_asbr1_fw2,traceroute_path:de3424ea2e,L4,traceroute_path,text,MATCH,,asbr1 -> fw1 -> p11 -> p12 -> fw2,"""asbr1 -> fw1 -> p11 -> p12 -> fw2""",True,1.0,exact
TRACEROUTE_asbr1_fw1,traceroute_path:b726f5a52c,L4,traceroute_path,text,MATCH,,asbr1 -> fw1,"""asbr1 -> fw1""",True,1.0,exact
TRACEROUTE_p3_leaf3,traceroute_path:9368949ec2,L4,traceroute_path,text,MATCH,,p3,"""p3""",True,1.0,exact
TRACEROUTE_leaf14_p12,traceroute_path:5df79890c0,L4,traceroute_path,text,MATCH,,leaf14 -> pe7,"""leaf14 -> pe7""",True,1.0,exact
TRACEROUTE_leaf4_fw1,traceroute_path:6e3b83d9a5,L4,traceroute_path,text,MATCH,,leaf4 -> pe2,"""leaf4 -> pe2""",True,1.0,exact
TRACEROUTE_leaf14_leaf9,traceroute_path:fd3fc11525,L4,traceroute_path,text,MATCH,,leaf14 -> pe7,"""leaf14 -> pe7""",True,1.0,exact
TRACEROUTE_p7_leaf1,traceroute_path:810614e3cb,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_asbr1_pe3,traceroute_path:a4fe7fbb3c,L4,traceroute_path,text,MATCH,,asbr1 -> p7 -> p6 -> p5 -> pe3,"""asbr1 -> p7 -> p6 -> p5 -> pe3""",True,1.0,exact
TRACEROUTE_p1_p5,traceroute_path:2f56c55ea4,L4,traceroute_path,text,MATCH,,p1 -> p3 -> p5,"""p1 -> p3 -> p5""",True,1.0,exact
TRACEROUTE_pe6_pe2,traceroute_path:c9382a8e5a,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2,"""pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_pe4_p9,traceroute_path:6a26382fcf,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p7 -> asbr1 -> p9,"""pe4 -> p6 -> p7 -> asbr1 -> p9""",True,1.0,exact
TRACEROUTE_leaf9_leaf3,traceroute_path:7c53fd9e47,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_leaf15_p4,traceroute_path:b39e41227a,L4,traceroute_path,text,MATCH,,leaf15 -> pe8,"""leaf15 -> pe8""",True,1.0,exact
TRACEROUTE_p11_pe7,traceroute_path:0b8f65e81c,L4,traceroute_path,text,MATCH,,p11 -> fw1 -> pe7,"""p11 -> fw1 -> pe7""",True,1.0,exact
TRACEROUTE_p11_leaf8,traceroute_path:d2a85933e9,L4,traceroute_path,text,MATCH,,p11,"""p11""",True,1.0,exact
TRACEROUTE_leaf14_fw1,traceroute_path:e01825d330,L4,traceroute_path,text,MATCH,,leaf14 -> pe7,"""leaf14 -> pe7""",True,1.0,exact
TRACEROUTE_p12_p7,traceroute_path:a309fcb1da,L4,traceroute_path,text,MATCH,,p12 -> fw2 -> asbr2 -> p8 -> p7,"""p12 -> fw2 -> asbr2 -> p8 -> p7""",True,1.0,exact
TRACEROUTE_asbr1_leaf15,traceroute_path:bb649d7472,L4,traceroute_path,text,MATCH,,asbr1,"""asbr1""",True,1.0,exact
TRACEROUTE_pe2_leaf5,traceroute_path:74081089b4,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_leaf8_pe8,traceroute_path:2cf8478ed2,L4,traceroute_path,text,MATCH,,leaf8 -> pe4,"""leaf8 -> pe4""",True,1.0,exact
TRACEROUTE_leaf5_leaf13,traceroute_path:4467f2d2a6,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_asbr1_pe1,traceroute_path:5ccdad9407,L4,traceroute_path,text,MATCH,,asbr1 -> p7 -> p6 -> p5 -> p3 -> p1 -> pe1,"""asbr1 -> p7 -> p6 -> p5 -> p3 -> p1 -> pe1""",True,1.0,exact
