question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,leaf14 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf14""",Leaf14,1.0,1.0,1.0,0.9969003200531006,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,fw2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""fw2""",FW2,1.0,1.0,1.0,0.8953838348388672,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,leaf15 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf15""",Leaf15,1.0,1.0,1.0,0.9985462427139282,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe5""",PE5,1.0,1.0,1.0,0.9957301616668701,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p3""",P3,1.0,1.0,1.0,0.9959041476249695,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p2""",P2,1.0,1.0,1.0,0.9925471544265747,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,p8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p8""",PE8,0.0,0.0,0.0,0.9958016276359558,0.0,0.0,0.0
8,L1,System_Inventory,text,OK,leaf16 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf16""",Leaf16,1.0,1.0,1.0,0.9989194869995117,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968831539154053,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe1""",PE1,1.0,1.0,1.0,0.9950793385505676,1.0,1.0,0.0
11,L1,System_Inventory,text,OK,p10 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p10""",P10,1.0,1.0,1.0,0.9940626621246338,1.0,1.0,0.0
12,L1,System_Inventory,text,OK,p6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p6""",P6,1.0,1.0,1.0,0.9882619380950928,1.0,1.0,0.0
13,L1,System_Inventory,text,OK,p12 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p12""",P12,1.0,1.0,1.0,0.9905232787132263,1.0,1.0,0.0
14,L1,System_Inventory,text,OK,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf8""",,0.0,0.0,0.0,0.8019742369651794,0,0.0,0.0
15,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf2""",Leaf2,1.0,1.0,1.0,0.997169554233551,1.0,1.0,0.0
16,L1,System_Inventory,text,OK,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe3""",PE3,1.0,1.0,1.0,0.9952377080917358,1.0,1.0,0.0
17,L1,System_Inventory,text,OK,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe4""",PE4,1.0,1.0,1.0,0.9959758520126343,1.0,1.0,0.0
