level,category,metric,goal,target,notes,academic_reference
L1,System_Inventory,system_hostname_text,extraction,DEVICE,,
L1,System_Inventory,system_version_text,extraction,DEVICE,,
L1,System_Inventory,system_timezone_text,extraction,DEVICE,,
L1,System_Inventory,system_user_list,extraction,DEVICE,,
L1,System_Inventory,system_user_count,extraction,DEVICE,,
L1,System_Inventory,logging_buffered_severity_text,extraction,DEVICE,,
L1,System_Inventory,ntp_server_list,extraction,DEVICE,NTP 서버 설정 확인,
L1,System_Inventory,snmp_community_list,extraction,DEVICE,SNMP 커뮤니티 목록,
L1,System_Inventory,syslog_server_list,extraction,DEVICE,Syslog 서버 목록,
L1,System_Inventory,interface_status_map,extraction,DEVICE,인터페이스 상태 맵,
L1,System_Inventory,routing_table_entry_count,extraction,DEVICE,라우팅 테이블 엔트리 수,
L1,Security_Inventory,ssh_present_bool,extraction,DEVICE,,
L1,Security_Inventory,ssh_version_text,extraction,DEVICE,,
L1,Security_Inventory,aaa_present_bool,extraction,DEVICE,,
L1,Security_Inventory,vty_transport_input_text,extraction,DEVICE,VTY 접속 프로토콜 확인 (SSH/Telnet),
L1,Security_Inventory,vty_login_mode_text,extraction,DEVICE,VTY 인증 방식 확인,
L1,Interface_Inventory,interface_count,extraction,DEVICE,,
L1,Interface_Inventory,interface_ip_map,extraction,DEVICE,,
L1,Interface_Inventory,subinterface_count,extraction,DEVICE,,
L1,Interface_Inventory,vrf_bind_map,extraction,DEVICE,,
L1,Routing_Inventory,bgp_local_as_numeric,extraction,DEVICE,,
L1,Routing_Inventory,bgp_neighbor_count,extraction,DEVICE,,
L1,Routing_Inventory,neighbor_list_ibgp,extraction,DEVICE,,
L1,Routing_Inventory,neighbor_list_ebgp,extraction,DEVICE,,
L1,Routing_Inventory,ospf_process_ids_set,extraction,DEVICE,,
L1,Routing_Inventory,ospf_area_set,extraction,DEVICE,,
L1,Routing_Inventory,ospf_area0_if_list,extraction,DEVICE,,
L1,Services_Inventory,vrf_names_set,extraction,DEVICE,,
L1,Services_Inventory,vrf_count,extraction,DEVICE,,
L1,Services_Inventory,vrf_rd_map,extraction,DEVICE,,
L1,Services_Inventory,rt_import_count,extraction,DEVICE,,
L1,Services_Inventory,rt_export_count,extraction,DEVICE,,
L1,Services_Inventory,mpls_ldp_present_bool,extraction,DEVICE,,
L1,Services_Inventory,l2vpn_pw_id_set,extraction,DEVICE,,
L2,Security_Policy,ssh_enabled_devices,compliance,GLOBAL,,
L2,Security_Policy,ssh_missing_devices,compliance,GLOBAL,,
L2,Security_Policy,ssh_missing_count,compliance,GLOBAL,,
L2,Security_Policy,aaa_enabled_devices,compliance,GLOBAL,,
L2,Security_Policy,aaa_missing_devices,compliance,GLOBAL,,
L2,Security_Policy,devices_with_same_vrf,compliance,GLOBAL,동일 VRF를 사용하는 장비 그룹,
L2,OSPF_Consistency,ospf_area_membership,consistency,GLOBAL,특정 OSPF Area에 속한 장비 목록,
L2,OSPF_Consistency,ospf_area0_if_count,consistency,DEVICE,,
L2,OSPF_Consistency,ospf_neighbor_count_per_area,consistency,OSPF_AREA,OSPF Area별 이웃 관계 수,
L3,BGP_Consistency,ibgp_fullmesh_ok,consistency,AS,,
L3,BGP_Consistency,ibgp_missing_pairs,consistency,AS,,
L3,BGP_Consistency,ibgp_missing_pairs_count,consistency,AS,,
L3,BGP_Consistency,ibgp_under_peered_devices,consistency,AS,,
L3,BGP_Consistency,ibgp_under_peered_count,consistency,AS,,
L3,VRF_Consistency,vrf_without_rt_pairs,consistency,GLOBAL,,
L3,VRF_Consistency,vrf_without_rt_count,consistency,GLOBAL,,
L3,VRF_Consistency,vrf_interface_bind_count,consistency,DEVICE_VRF,,
L3,VRF_Consistency,vrf_rt_list_per_device,consistency,DEVICE,,
L2,L2VPN_Consistency,l2vpn_pairs,visibility,GLOBAL,,
L3,L2VPN_Consistency,l2vpn_unidirectional_pairs,consistency,GLOBAL,,
L3,L2VPN_Consistency,l2vpn_unidir_count,consistency,GLOBAL,,
L3,L2VPN_Consistency,l2vpn_pwid_mismatch_pairs,consistency,GLOBAL,,
L3,L2VPN_Consistency,l2vpn_mismatch_count,consistency,GLOBAL,,
L3,Comparison_Analysis,compare_bgp_neighbor_count,comparison,DEVICE_PAIR,두 장비의 BGP 피어 수 차이,
L3,Comparison_Analysis,compare_interface_count,comparison,DEVICE_PAIR,두 장비의 인터페이스 수 차이,
L3,Comparison_Analysis,compare_vrf_count,comparison,DEVICE_PAIR,두 장비의 VRF 수 차이,
L3,Comparison_Analysis,compare_bgp_as,comparison,DEVICE_PAIR,두 장비가 같은 AS에 속하는지 확인,
L3,Comparison_Analysis,compare_ospf_areas,comparison,DEVICE_PAIR,두 장비의 OSPF Area 참여 비교,
L3,Comparison_Analysis,max_interface_device,aggregation,GLOBAL,인터페이스 수가 가장 많은 장비,
L3,Comparison_Analysis,max_bgp_peer_device,aggregation,GLOBAL,BGP 피어가 가장 많은 장비,
