id,id_v2,metric,scope,category,level,question,answer_status,answer_type,answer,eval_answer,unknown_reason,evidence,scenario,query_contract,verification_contract,oracle_source,verification_status,quarantine_reason,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe4'}",System_Inventory,L1,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe4""",pe4,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,builder_core,pending,,db62dec,['pe4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf6,system_hostname_text:0f4017add8,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf6'}",System_Inventory,L1,leaf6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf6""",leaf6,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf6""}}",,,,builder_core,pending,,db62dec,['leaf6.cfg']
SYSTEM_HOSTNAME_TEXT_p7,system_hostname_text:51589f45e8,system_hostname_text,"{'type': 'DEVICE', 'host': 'p7'}",System_Inventory,L1,p7 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p7""",p7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p7""}}",,,,builder_core,pending,,db62dec,['p7.cfg']
SYSTEM_HOSTNAME_TEXT_leaf5,system_hostname_text:c889ccb7cb,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf5'}",System_Inventory,L1,leaf5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf5""",leaf5,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf5""}}",,,,builder_core,pending,,db62dec,['leaf5.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,system_hostname_text,"{'type': 'DEVICE', 'host': 'p2'}",System_Inventory,L1,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p2""",p2,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",,,,builder_core,pending,,db62dec,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_p6,system_hostname_text:e05ff65dc3,system_hostname_text,"{'type': 'DEVICE', 'host': 'p6'}",System_Inventory,L1,p6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p6""",p6,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",,,,builder_core,pending,,db62dec,['p6.cfg']
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,system_hostname_text,"{'type': 'DEVICE', 'host': 'p8'}",System_Inventory,L1,p8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p8""",p8,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,builder_core,pending,,db62dec,['p8.cfg']
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe3'}",System_Inventory,L1,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe3""",pe3,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe3""}}",,,,builder_core,pending,,db62dec,['pe3.cfg']
SYSTEM_HOSTNAME_TEXT_leaf7,system_hostname_text:66e16ac9ac,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf7'}",System_Inventory,L1,leaf7 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf7""",leaf7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf7""}}",,,,builder_core,pending,,db62dec,['leaf7.cfg']
SYSTEM_HOSTNAME_TEXT_p5,system_hostname_text:5991ac5b4f,system_hostname_text,"{'type': 'DEVICE', 'host': 'p5'}",System_Inventory,L1,p5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p5""",p5,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",,,,builder_core,pending,,db62dec,['p5.cfg']
