id,id_v2,metric,scope,category,level,question,answer_status,answer_type,answer,eval_answer,unknown_reason,evidence,scenario,query_contract,verification_contract,oracle_source,verification_status,quarantine_reason,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_leaf14,system_hostname_text:1b105199e1,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf14'}",System_Inventory,L1,leaf14 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf14""",leaf14,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf14""}}",,,,builder_core,pending,,db62dec,['leaf14.cfg']
SYSTEM_HOSTNAME_TEXT_fw2,system_hostname_text:f8aaadadd9,system_hostname_text,"{'type': 'DEVICE', 'host': 'fw2'}",System_Inventory,L1,fw2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""fw2""",fw2,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""fw2""}}",,,,builder_core,pending,,db62dec,['fw2.cfg']
SYSTEM_HOSTNAME_TEXT_leaf15,system_hostname_text:f52655ad5e,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf15'}",System_Inventory,L1,leaf15 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf15""",leaf15,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf15""}}",,,,builder_core,pending,,db62dec,['leaf15.cfg']
SYSTEM_HOSTNAME_TEXT_pe5,system_hostname_text:cf50209904,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe5'}",System_Inventory,L1,pe5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe5""",pe5,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe5""}}",,,,builder_core,pending,,db62dec,['pe5.cfg']
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,system_hostname_text,"{'type': 'DEVICE', 'host': 'p3'}",System_Inventory,L1,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p3""",p3,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",,,,builder_core,pending,,db62dec,['p3.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,system_hostname_text,"{'type': 'DEVICE', 'host': 'p2'}",System_Inventory,L1,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p2""",p2,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",,,,builder_core,pending,,db62dec,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,system_hostname_text,"{'type': 'DEVICE', 'host': 'p8'}",System_Inventory,L1,p8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p8""",p8,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,builder_core,pending,,db62dec,['p8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf16,system_hostname_text:306bca46fe,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf16'}",System_Inventory,L1,leaf16 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf16""",leaf16,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf16""}}",,,,builder_core,pending,,db62dec,['leaf16.cfg']
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf1'}",System_Inventory,L1,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf1""",leaf1,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",,,,builder_core,pending,,db62dec,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe1'}",System_Inventory,L1,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe1""",pe1,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,builder_core,pending,,db62dec,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT_p10,system_hostname_text:34f07ac92d,system_hostname_text,"{'type': 'DEVICE', 'host': 'p10'}",System_Inventory,L1,p10 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p10""",p10,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p10""}}",,,,builder_core,pending,,db62dec,['p10.cfg']
SYSTEM_HOSTNAME_TEXT_p6,system_hostname_text:e05ff65dc3,system_hostname_text,"{'type': 'DEVICE', 'host': 'p6'}",System_Inventory,L1,p6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p6""",p6,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",,,,builder_core,pending,,db62dec,['p6.cfg']
SYSTEM_HOSTNAME_TEXT_p12,system_hostname_text:44a0a3a308,system_hostname_text,"{'type': 'DEVICE', 'host': 'p12'}",System_Inventory,L1,p12 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p12""",p12,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p12""}}",,,,builder_core,pending,,db62dec,['p12.cfg']
SYSTEM_HOSTNAME_TEXT_leaf8,system_hostname_text:a81bf37e92,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf8'}",System_Inventory,L1,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf8""",leaf8,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf8""}}",,,,builder_core,pending,,db62dec,['leaf8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf2'}",System_Inventory,L1,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf2""",leaf2,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,builder_core,pending,,db62dec,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe3'}",System_Inventory,L1,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe3""",pe3,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe3""}}",,,,builder_core,pending,,db62dec,['pe3.cfg']
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe4'}",System_Inventory,L1,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe4""",pe4,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,builder_core,pending,,db62dec,['pe4.cfg']
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,system_hostname_text,"{'type': 'DEVICE', 'host': 'p4'}",System_Inventory,L1,p4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p4""",p4,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",,,,builder_core,pending,,db62dec,['p4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf3'}",System_Inventory,L1,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf3""",leaf3,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",,,,builder_core,pending,,db62dec,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT_p11,system_hostname_text:7dd092c30f,system_hostname_text,"{'type': 'DEVICE', 'host': 'p11'}",System_Inventory,L1,p11 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p11""",p11,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p11""}}",,,,builder_core,pending,,db62dec,['p11.cfg']
SYSTEM_VERSION_TEXT_leaf4,system_version_text:45a2dbebe1,system_version_text,"{'type': 'DEVICE', 'host': 'leaf4'}",System_Inventory,L1,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",,,,builder_core,pending,,db62dec,['leaf4.cfg']
SYSTEM_VERSION_TEXT_leaf5,system_version_text:c889ccb7cb,system_version_text,"{'type': 'DEVICE', 'host': 'leaf5'}",System_Inventory,L1,leaf5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf5""}}",,,,builder_core,pending,,db62dec,['leaf5.cfg']
SYSTEM_VERSION_TEXT_leaf3,system_version_text:6a7c231d8b,system_version_text,"{'type': 'DEVICE', 'host': 'leaf3'}",System_Inventory,L1,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",,,,builder_core,pending,,db62dec,['leaf3.cfg']
SYSTEM_VERSION_TEXT_asbr1,system_version_text:1e9e9c7f7a,system_version_text,"{'type': 'DEVICE', 'host': 'asbr1'}",System_Inventory,L1,asbr1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""asbr1""}}",,,,builder_core,pending,,db62dec,['asbr1.cfg']
SYSTEM_VERSION_TEXT_pe1,system_version_text:4f36bb8808,system_version_text,"{'type': 'DEVICE', 'host': 'pe1'}",System_Inventory,L1,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,builder_core,pending,,db62dec,['pe1.cfg']
SYSTEM_VERSION_TEXT_leaf2,system_version_text:6e35c43dba,system_version_text,"{'type': 'DEVICE', 'host': 'leaf2'}",System_Inventory,L1,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,builder_core,pending,,db62dec,['leaf2.cfg']
SYSTEM_VERSION_TEXT_p5,system_version_text:5991ac5b4f,system_version_text,"{'type': 'DEVICE', 'host': 'p5'}",System_Inventory,L1,p5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",,,,builder_core,pending,,db62dec,['p5.cfg']
SYSTEM_VERSION_TEXT_leaf13,system_version_text:f2f15f10e2,system_version_text,"{'type': 'DEVICE', 'host': 'leaf13'}",System_Inventory,L1,leaf13 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf13""}}",,,,builder_core,pending,,db62dec,['leaf13.cfg']
SYSTEM_VERSION_TEXT_p3,system_version_text:40d255b5d8,system_version_text,"{'type': 'DEVICE', 'host': 'p3'}",System_Inventory,L1,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",,,,builder_core,pending,,db62dec,['p3.cfg']
SYSTEM_VERSION_TEXT_p8,system_version_text:d61ee73c24,system_version_text,"{'type': 'DEVICE', 'host': 'p8'}",System_Inventory,L1,p8 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,builder_core,pending,,db62dec,['p8.cfg']
SYSTEM_VERSION_TEXT_p9,system_version_text:4636d19a52,system_version_text,"{'type': 'DEVICE', 'host': 'p9'}",System_Inventory,L1,p9 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p9""}}",,,,builder_core,pending,,db62dec,['p9.cfg']
SYSTEM_VERSION_TEXT_leaf15,system_version_text:f52655ad5e,system_version_text,"{'type': 'DEVICE', 'host': 'leaf15'}",System_Inventory,L1,leaf15 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf15""}}",,,,builder_core,pending,,db62dec,['leaf15.cfg']
SYSTEM_VERSION_TEXT_pe6,system_version_text:7041bfb7a3,system_version_text,"{'type': 'DEVICE', 'host': 'pe6'}",System_Inventory,L1,pe6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe6""}}",,,,builder_core,pending,,db62dec,['pe6.cfg']
SYSTEM_VERSION_TEXT_leaf1,system_version_text:f3e677391b,system_version_text,"{'type': 'DEVICE', 'host': 'leaf1'}",System_Inventory,L1,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",,,,builder_core,pending,,db62dec,['leaf1.cfg']
SYSTEM_VERSION_TEXT_p12,system_version_text:44a0a3a308,system_version_text,"{'type': 'DEVICE', 'host': 'p12'}",System_Inventory,L1,p12 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p12""}}",,,,builder_core,pending,,db62dec,['p12.cfg']
SYSTEM_VERSION_TEXT_fw2,system_version_text:f8aaadadd9,system_version_text,"{'type': 'DEVICE', 'host': 'fw2'}",System_Inventory,L1,fw2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""fw2""}}",,,,builder_core,pending,,db62dec,['fw2.cfg']
SYSTEM_VERSION_TEXT_p6,system_version_text:e05ff65dc3,system_version_text,"{'type': 'DEVICE', 'host': 'p6'}",System_Inventory,L1,p6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",,,,builder_core,pending,,db62dec,['p6.cfg']
SYSTEM_VERSION_TEXT_p10,system_version_text:34f07ac92d,system_version_text,"{'type': 'DEVICE', 'host': 'p10'}",System_Inventory,L1,p10 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p10""}}",,,,builder_core,pending,,db62dec,['p10.cfg']
SYSTEM_VERSION_TEXT_pe4,system_version_text:a2fc790735,system_version_text,"{'type': 'DEVICE', 'host': 'pe4'}",System_Inventory,L1,pe4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,builder_core,pending,,db62dec,['pe4.cfg']
SYSTEM_VERSION_TEXT_pe2,system_version_text:3603999311,system_version_text,"{'type': 'DEVICE', 'host': 'pe2'}",System_Inventory,L1,pe2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",,,,builder_core,pending,,db62dec,['pe2.cfg']
SYSTEM_TIMEZONE_TEXT_p8,system_timezone_text:d61ee73c24,system_timezone_text,"{'type': 'DEVICE', 'host': 'p8'}",System_Inventory,L1,p8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,builder_core,pending,,db62dec,['p8.cfg']
SYSTEM_TIMEZONE_TEXT_leaf10,system_timezone_text:6c269c1b4e,system_timezone_text,"{'type': 'DEVICE', 'host': 'leaf10'}",System_Inventory,L1,leaf10 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf10""}}",,,,builder_core,pending,,db62dec,['leaf10.cfg']
SYSTEM_TIMEZONE_TEXT_asbr1,system_timezone_text:1e9e9c7f7a,system_timezone_text,"{'type': 'DEVICE', 'host': 'asbr1'}",System_Inventory,L1,asbr1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""asbr1""}}",,,,builder_core,pending,,db62dec,['asbr1.cfg']
