id,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf2""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe2""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf3""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p1""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['p1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe1""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p3""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['p3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p4""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['p4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf4""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['leaf4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf1""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p2""",,"{""snapshot"": ""configs"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['p2.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""15.0""",,"{""snapshot"": ""configs"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",d7bf622,['leaf4.cfg']
