문제,gt,ex
발견된 iBGP 누락 페어들(3개)의 라우터 쌍 목록을 나열하세요. (호스트네임 리스트),[],증거에 ibgp_missing_pairs가 '없음'으로 표시되어 있어 발견된 iBGP 누락 페어가 존재하지 않으므로 라우터 페어 목록은 비어 있습니다.
장비 PE1에서 'iBGP 세션 페어링 누락(ibgp_missing_pairs_count = 3)'이 보고되었습니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요? (정답: 세 개의 명령어 리스트),"[""Loopback0"", ""GigabitEthernet0/0/0/1"", ""GigabitEthernet0/0/0/0""]","첫째로 Loopback0를 확인해 iBGP 피어의 루프백 주소가 올바르게 구성되었는지 확인해야 한다. 둘째로 GigabitEthernet0/0/0/1 인터페이스를 점검해 해당 물리/서브인터페이스에서 피어링이 막히는지(접속, 서브넷 등) 확인한다. 셋째로 GigabitEthernet0/0/0/0 인터페이스도 확인해 다른 연결 경로나 이웃 CE/PE 인터페이스 문제로 인해 iBGP 페어링이 누락되었는지 진단한다."
장비 PE3에서 'L2VPN 단방향 VC(유니디렉셔널)가 감지되었습니다 (l2vpn_unidir_count > 0)'. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,2,"First, use 'show l2vpn xconnect detail' to inspect the configured VCs and their operational state on PE3 and to identify any asymmetries. Second, 'show l2vpn pw detail' provides per-pseudowire information including local/remote PW IDs, labels, and whether one direction is down or misconfigured. Third, 'show mpls l2transport vc' gives MPLS transport-level view of the PW status and statistics, helping correlate PW issues (such as PWID mismatches between sample7 and sample9) with MPLS forwarding problems."
장비 PE4에서 'L2VPN PWID 불일치(예: l2vpn_pwid_mismatch_pairs 존재)로 서비스 단절이 의심됩니다'. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,2,"First, 'show l2vpn pwid mismatch' lists existing PWID mismatch pairs (confirming the sample7<->sample9 entries and count). Second, 'show l2vpn pwid detail sample7' retrieves per-PWID details for sample7 to identify local configuration (PWIDs, VC-type, VLAN, encapsulation) that may differ from its peer. Third, 'show running-config interface GigabitEthernet0/0/0/1.100' checks the subinterface/service-instance configuration used by the PW on the local PE (interfaces or subinterfaces commonly carry the CE-facing VLANs) to find configuration mismatches causing the service disruption."
장비 R1에서 'OSPF area 0 인터페이스 수가 예상보다 적음(ospf_area0_if_count 감소)'으로 인한 인접성 문제 의심. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,"[""GigabitEthernet0/0/0/0"", ""GigabitEthernet0/0/0/1"", ""Loopback0""]","우선 물리/논리 인터페이스들(GigabitEthernet0/0/0/0, GigabitEthernet0/0/0/1)을 확인해 OSPF area 0에 포함되어 있는지와 인터페이스 상태를 점검하고, 마지막으로 Loopback0을 확인하여 루프백이 OSPF area 0에 등록되었는지 및 라우팅/인접성에 영향을 주는지 확인해야 합니다."
장비 P1에서 '인터페이스 상태 이상(인터페이스가 DOWN 또는 flap 추정)'이 보고되었습니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,0,"First, 'show interfaces Ethernet0/1' retrieves detailed interface counters, error and physical status to detect DOWN or flapping causes. Second, 'show ip interface brief | include Ethernet0/1' provides a concise operational and protocol status to confirm admin/up/down state quickly. Third, 'show logging | include Ethernet0/1' checks system logs for link up/down messages or flap events timestamped for correlation with the interface behavior."
장비 PE1의 특정 VRF에서 'Route-Target 미부여(vrf_without_rt_count > 0)'로 L3VPN 경로 누락이 의심됩니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,3,첫 번째로 'show vrf detail exam-l3vpn'을 실행하여 VRF의 Route-Target 바인딩 여부와 관련 속성(rt-import/rt-export)을 확인합니다. 두 번째로 'show running-config vrf exam-l3vpn'을 실행하여 구성에서 Route-Target이 누락되었는지(정책이나 수동 설정 여부 포함) 검증합니다. 세 번째로 'show bgp vpnv4 unicast vrf exam-l3vpn routes'를 실행하여 BGP L3VPN 경로가 수락되었는지와 Route-Target 기반 수입 여부를 실제 경로 테이블에서 확인합니다.
장비 PE2에서 'VRF가 생성되어 있으나 인터페이스 바인딩이 없음(vrf_interface_bind_count = 0)으로 서비스 경로 누락'이 의심됩니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,1,"1) 실행할 'show vrf' 명령은 장비에 생성된 VRF 목록과 기본 정보(이름, RD 등)를 확인하여 VRF가 실제로 존재하는지 검증하기 위함입니다. 2) 'show running-config | section interface' 명령은 모든 인터페이스 구성 섹션을 출력하여 어떤 인터페이스에 VRF가 바인딩되어 있거나 빠져 있는지를 빠르게 파악하기 위해 사용합니다. 3) 의심되는 서브인터페이스(Ethernet0/0.100)를 대상으로 'show running-config interface Ethernet0/0.100'을 실행하면 해당 인터페이스의 상세 구성(특히 vrf 또는 service-instance/encapsulation 설정)이 있는지 직접 확인할 수 있어 서비스 경로 누락 원인 진단에 필수적입니다."
장비 PE3에서 'BGP 이웃 수가 비정상적으로 적음(bgp_neighbor_count 감소) — BGP 세션 장애 의심'. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,"[""exam-l3vpn"", ""sample9"", ""sample10""]","첫째, exam-l3vpn VRF의 BGP 요약을 확인하여 전체 이웃 수 감소와 세션 상태를 파악합니다. 둘째, 문제되는 VRF(sample9)에서 BGP 이웃의 상세(neighbor detail)를 조회하여 세션 장애 원인(연결, 인증, 접속 시간 등)을 확인합니다. 셋째, sample10 VRF의 라우팅/피어 인터페이스 상태를 확인하여 물리적/인터페이스 문제나 라우팅 인지된 영향 여부를 검증합니다."
장비 PE4에서 '라우팅 테이블에 특정 VRF의 경로가 누락'이 관찰됩니다. 진단을 위해 순서대로 실행해야 할 3개의 CLI 명령어는 무엇인가요?,3,"First, verify the VRF exists and its import/export targets with 'show vrf detail exam-l3vpn' to ensure the VRF is configured on PE4. Second, check the RIB for that VRF using 'show ip route vrf exam-l3vpn' to confirm whether the missing prefix is present locally. Third, examine the BGP VPNv4/VPNv6 control plane with 'show bgp vpnv4 unicast all summary' to validate that route advertisement/peering for that VRF is established with CE/PE neighbors and to spot any BGP session or route advertisement issues."
