id,id_v2,metric,scope,category,level,question,answer_status,answer_type,answer,eval_answer,unknown_reason,evidence,scenario,query_contract,verification_contract,oracle_source,verification_status,quarantine_reason,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,system_hostname_text,"{'type': 'DEVICE', 'host': 'p4'}",System_Inventory,L1,p4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p4""",p4,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",,,,builder_core,pending,,db62dec,['p4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf4,system_hostname_text:45a2dbebe1,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf4'}",System_Inventory,L1,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf4""",leaf4,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",,,,builder_core,pending,,db62dec,['leaf4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf3'}",System_Inventory,L1,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf3""",leaf3,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",,,,builder_core,pending,,db62dec,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe1'}",System_Inventory,L1,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe1""",pe1,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,builder_core,pending,,db62dec,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,system_hostname_text,"{'type': 'DEVICE', 'host': 'p2'}",System_Inventory,L1,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p2""",p2,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",,,,builder_core,pending,,db62dec,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,system_hostname_text,"{'type': 'DEVICE', 'host': 'p3'}",System_Inventory,L1,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p3""",p3,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",,,,builder_core,pending,,db62dec,['p3.cfg']
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,system_hostname_text,"{'type': 'DEVICE', 'host': 'pe2'}",System_Inventory,L1,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe2""",pe2,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",,,,builder_core,pending,,db62dec,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,system_hostname_text,"{'type': 'DEVICE', 'host': 'p1'}",System_Inventory,L1,p1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p1""",p1,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",,,,builder_core,pending,,db62dec,['p1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf1'}",System_Inventory,L1,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf1""",leaf1,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",,,,builder_core,pending,,db62dec,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,system_hostname_text,"{'type': 'DEVICE', 'host': 'leaf2'}",System_Inventory,L1,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf2""",leaf2,,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,builder_core,pending,,db62dec,['leaf2.cfg']
