id,id_v2,metric,scope,category,level,question_type,question,answer_status,answer_type,answer,eval_answer,unknown_reason,evidence,scenario,query_contract,verification_contract,oracle_source,verification_status,quarantine_reason,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe4""}",System_Inventory,L1,unknown,What is the system hostname on pe4? [Answer format: plain string],OK,text,"""pe4""",pe4,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,parser,pending,,d6499bef,['pe4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf6,system_hostname_text:0f4017add8,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf6""}",System_Inventory,L1,unknown,What is the system hostname on leaf6? [Answer format: plain string],OK,text,"""leaf6""",leaf6,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf6""}}",,,,parser,pending,,d6499bef,['leaf6.cfg']
SYSTEM_HOSTNAME_TEXT_p7,system_hostname_text:51589f45e8,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p7""}",System_Inventory,L1,unknown,What is the system hostname on p7? [Answer format: plain string],OK,text,"""p7""",p7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p7""}}",,,,parser,pending,,d6499bef,['p7.cfg']
SYSTEM_HOSTNAME_TEXT_leaf5,system_hostname_text:c889ccb7cb,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf5""}",System_Inventory,L1,unknown,What is the system hostname on leaf5? [Answer format: plain string],OK,text,"""leaf5""",leaf5,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf5""}}",,,,parser,pending,,d6499bef,['leaf5.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p2""}",System_Inventory,L1,unknown,What is the system hostname on p2? [Answer format: plain string],OK,text,"""p2""",p2,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",,,,parser,pending,,d6499bef,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_p6,system_hostname_text:e05ff65dc3,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p6""}",System_Inventory,L1,unknown,What is the system hostname on p6? [Answer format: plain string],OK,text,"""p6""",p6,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",,,,parser,pending,,d6499bef,['p6.cfg']
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p8""}",System_Inventory,L1,unknown,What is the system hostname on p8? [Answer format: plain string],OK,text,"""p8""",p8,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,parser,pending,,d6499bef,['p8.cfg']
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe3""}",System_Inventory,L1,unknown,What is the system hostname on pe3? [Answer format: plain string],OK,text,"""pe3""",pe3,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe3""}}",,,,parser,pending,,d6499bef,['pe3.cfg']
SYSTEM_HOSTNAME_TEXT_leaf7,system_hostname_text:66e16ac9ac,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf7""}",System_Inventory,L1,unknown,What is the system hostname on leaf7? [Answer format: plain string],OK,text,"""leaf7""",leaf7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf7""}}",,,,parser,pending,,d6499bef,['leaf7.cfg']
SYSTEM_HOSTNAME_TEXT_p5,system_hostname_text:5991ac5b4f,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p5""}",System_Inventory,L1,unknown,What is the system hostname on p5? [Answer format: plain string],OK,text,"""p5""",p5,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",,,,parser,pending,,d6499bef,['p5.cfg']
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe2""}",System_Inventory,L1,unknown,What is the system hostname on pe2? [Answer format: plain string],OK,text,"""pe2""",pe2,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",,,,parser,pending,,d6499bef,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p3""}",System_Inventory,L1,unknown,What is the system hostname on p3? [Answer format: plain string],OK,text,"""p3""",p3,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",,,,parser,pending,,d6499bef,['p3.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf2""}",System_Inventory,L1,unknown,What is the system hostname on leaf2? [Answer format: plain string],OK,text,"""leaf2""",leaf2,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,parser,pending,,d6499bef,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p4""}",System_Inventory,L1,unknown,What is the system hostname on p4? [Answer format: plain string],OK,text,"""p4""",p4,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",,,,parser,pending,,d6499bef,['p4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf3""}",System_Inventory,L1,unknown,What is the system hostname on leaf3? [Answer format: plain string],OK,text,"""leaf3""",leaf3,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",,,,parser,pending,,d6499bef,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe1""}",System_Inventory,L1,unknown,What is the system hostname on pe1? [Answer format: plain string],OK,text,"""pe1""",pe1,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,parser,pending,,d6499bef,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf8,system_hostname_text:a81bf37e92,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf8""}",System_Inventory,L1,unknown,What is the system hostname on leaf8? [Answer format: plain string],OK,text,"""leaf8""",leaf8,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf8""}}",,,,parser,pending,,d6499bef,['leaf8.cfg']
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p1""}",System_Inventory,L1,unknown,What is the system hostname on p1? [Answer format: plain string],OK,text,"""p1""",p1,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",,,,parser,pending,,d6499bef,['p1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf1""}",System_Inventory,L1,unknown,What is the system hostname on leaf1? [Answer format: plain string],OK,text,"""leaf1""",leaf1,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",,,,parser,pending,,d6499bef,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf4,system_hostname_text:45a2dbebe1,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf4""}",System_Inventory,L1,unknown,What is the system hostname on leaf4? [Answer format: plain string],OK,text,"""leaf4""",leaf4,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",,,,parser,pending,,d6499bef,['leaf4.cfg']
SYSTEM_VERSION_TEXT_p7,system_version_text:51589f45e8,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p7""}",System_Inventory,L1,unknown,What is the system version on p7? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p7""}}",,,,parser,pending,,d6499bef,['p7.cfg']
SYSTEM_VERSION_TEXT_p1,system_version_text:980d4425bd,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p1""}",System_Inventory,L1,unknown,What is the system version on p1? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",,,,parser,pending,,d6499bef,['p1.cfg']
SYSTEM_VERSION_TEXT_leaf4,system_version_text:45a2dbebe1,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf4""}",System_Inventory,L1,unknown,What is the system version on leaf4? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",,,,parser,pending,,d6499bef,['leaf4.cfg']
SYSTEM_VERSION_TEXT_p4,system_version_text:8eb660897d,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p4""}",System_Inventory,L1,unknown,What is the system version on p4? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",,,,parser,pending,,d6499bef,['p4.cfg']
SYSTEM_VERSION_TEXT_p3,system_version_text:40d255b5d8,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p3""}",System_Inventory,L1,unknown,What is the system version on p3? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",,,,parser,pending,,d6499bef,['p3.cfg']
SYSTEM_VERSION_TEXT_pe1,system_version_text:4f36bb8808,system_version_text,"{""type"": ""DEVICE"", ""host"": ""pe1""}",System_Inventory,L1,unknown,What is the system version on pe1? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,parser,pending,,d6499bef,['pe1.cfg']
SYSTEM_VERSION_TEXT_leaf2,system_version_text:6e35c43dba,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf2""}",System_Inventory,L1,unknown,What is the system version on leaf2? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,parser,pending,,d6499bef,['leaf2.cfg']
SYSTEM_VERSION_TEXT_p5,system_version_text:5991ac5b4f,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p5""}",System_Inventory,L1,unknown,What is the system version on p5? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",,,,parser,pending,,d6499bef,['p5.cfg']
SYSTEM_VERSION_TEXT_leaf6,system_version_text:0f4017add8,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf6""}",System_Inventory,L1,unknown,What is the system version on leaf6? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf6""}}",,,,parser,pending,,d6499bef,['leaf6.cfg']
