id,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] ce01 장비의 호스트네임은 무엇입니까?,OK,text,"""ce01""",,{},02167d6,['ce01.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] p04 장비의 호스트네임은 무엇입니까?,OK,text,"""p04""",,{},02167d6,['p04.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] pe03 장비의 호스트네임은 무엇입니까?,OK,text,"""pe03""",,{},02167d6,['pe03.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] ce03 장비의 호스트네임은 무엇입니까?,OK,text,"""ce03""",,{},02167d6,['ce03.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] p01 장비의 호스트네임은 무엇입니까?,OK,text,"""p01""",,{},02167d6,['p01.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] pe02 장비의 호스트네임은 무엇입니까?,OK,text,"""pe02""",,{},02167d6,['pe02.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] ce04 장비의 호스트네임은 무엇입니까?,OK,text,"""ce04""",,{},02167d6,['ce04.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,[정상] ce02 장비의 호스트네임은 무엇입니까?,OK,text,"""ce02""",,{},02167d6,['ce02.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,[정상] pe02 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.4""",,{},02167d6,['pe02.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,[정상] p01 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.4""",,{},02167d6,['p01.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,[정상] pe03 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.4""",,{},02167d6,['pe03.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,[정상] ce03 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.4""",,{},02167d6,['ce03.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,[정상] ce01 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.4""",,{},02167d6,['ce01.cfg']
