#,qa_id,level,metric,answer_type,question,dataset_answer,my_result,verdict,memo
1,ACL_BLOCKING_leaf2_p6,L4,acl_blocking_point,text,172.16.2.2에서 10.0.12.1로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
2,ACL_BLOCKING_leaf7_p6,L4,acl_blocking_point,text,172.17.3.2에서 10.0.12.1로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
3,ACL_BLOCKING_p2_p7,L4,acl_blocking_point,text,10.0.2.1에서 10.0.15.1로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
4,ASYMMETRIC_leaf7_leaf1,L4,asymmetric_path_comparison,text,"leaf7과 leaf1 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: leaf7 -> pe4, Reverse: leaf1 -> pe1""",,,
5,ASYMMETRIC_p3_pe3,L4,asymmetric_path_comparison,text,"p3과 pe3 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: p3 -> p5 -> pe3, Reverse: pe3 -> p5 -> p3""",,,
6,ASYMMETRIC_pe3_leaf4,L4,asymmetric_path_comparison,text,"pe3과 leaf4 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: pe3, Reverse: leaf4 -> pe2""",,,
7,BLACKHOLE_DETECTION_GLOBAL,L4,blackhole_destination_list,set,"네트워크에서 블랙홀이 발생하는 목적지 prefix 목록을 알려주세요. [답변 형식: prefix 목록 (예: [""10.0.0.0/8"", ""192.168.1.0/24""]) 또는 빈 목록 []]",[],,,
8,BOUNDED_PATH_leaf2_p6,L4,bounded_path_length,number,leaf2에서 10.0.12.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],2,,,
9,BOUNDED_PATH_leaf2_pe1,L4,bounded_path_length,number,leaf2에서 10.0.1.0로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],2,,,
10,BOUNDED_PATH_p2_leaf7,L4,bounded_path_length,number,p2에서 172.17.3.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],1,,,
11,ISOLATION_VRF_EDU_VRF_GOV,L4,leaked_prefixes_list,set,"VRF_EDU와 VRF_GOV 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
12,ISOLATION_VRF_EDU_VRF_RND,L4,leaked_prefixes_list,set,"VRF_EDU와 VRF_RND 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
13,ISOLATION_VRF_EDU_default,L4,leaked_prefixes_list,set,"VRF_EDU와 default 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
14,LOOP_DETECTION_GLOBAL,L4,loop_detection,text,네트워크에 포워딩 루프가 존재합니까? [답변 형식: 'NONE' 또는 'Found: A→B→C→A'],"""NONE""",,,
15,REACH_leaf5_leaf3_ICMP,L4,reachability_status,text,"172.17.1.2에서 172.16.3.2(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""PATH: leaf5 -> pe3; REACHABLE: FALSE; REASON: NO_ROUTE""",,,
16,REACH_leaf5_pe4_ICMP,L4,reachability_status,text,"172.17.1.2에서 10.0.14.1(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""PATH: leaf5 -> pe3; REACHABLE: FALSE; REASON: NO_ROUTE""",,,
17,REACH_p8_leaf2_TCP,L4,reachability_status,text,"10.0.16.1에서 172.16.2.2(22/TCP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""PATH: p8; REACHABLE: FALSE; REASON: EXTERNAL""",,,
18,TRACEROUTE_leaf6_p3,L4,traceroute_path,text,172.17.2.2에서 10.0.3.1까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""leaf6 -> pe3""",,,
19,TRACEROUTE_leaf6_pe1,L4,traceroute_path,text,172.17.2.2에서 10.0.1.0까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""leaf6 -> pe3""",,,
20,TRACEROUTE_p3_p6,L4,traceroute_path,text,10.0.3.1에서 10.0.12.1까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""p3 -> p5 -> p6""",,,
21,WAYPOINT_leaf6_p7_leaf5,L4,waypoint_traversal_path,text,172.17.2.2에서 10.0.15.1로 가는 트래픽이 leaf5를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""NOT_TRAVERSED""",,,
22,WAYPOINT_leaf6_p7_leaf6,L4,waypoint_traversal_path,text,172.17.2.2에서 10.0.15.1로 가는 트래픽이 leaf6를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""leaf6 -> pe3""",,,
23,WAYPOINT_leaf6_p7_p2,L4,waypoint_traversal_path,text,172.17.2.2에서 10.0.15.1로 가는 트래픽이 p2를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""NOT_TRAVERSED""",,,
24,CONFIG_CHANGE_BASELINE,L5,config_change_impact,text,"설정 변경 후 leaf6에서 p7까지의 경로/도달성 변경 여부를 알려주세요. [답변 형식: 'NO_CHANGE' 또는 'CHANGED (N건: 흐름1, 흐름2, ...)']","""CHANGED (47 entries: 10.10.10.31 -> 10.10.10.35, 172.16.1.3 -> 10.10.10.35, 10.10.10.1 -> 10.10.10.35)""",,,
