#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
1,BGP_LOCAL_AS_NUMERIC_leaf4,L1,bgp_local_as_numeric,number,leaf4 장비의 BGP Local-AS 번호는 무엇입니까? [답변 형식: integer],0,,,,,
2,BGP_NEIGHBOR_COUNT_leaf7,L1,bgp_neighbor_count,number,leaf7 장비의 BGP 피어(이웃)는 총 몇 개입니까? [답변 형식: integer],0,,,,,
3,NEIGHBOR_LIST_IBGP_p8,L1,neighbor_list_ibgp,set_str,p8 장비와 iBGP로 연결된 피어들의 IP 주소 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
4,SNMP_COMMUNITY_LIST_leaf3,L1,snmp_community_list,set_str,leaf3 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
5,SUBINTERFACE_COUNT_p10,L1,subinterface_count,number,p10 장비에 설정된 서브인터페이스는 총 몇 개입니까? [답변 형식: integer],0,,,,,
6,AAA_ENABLED_DEVICES,L2,aaa_enabled_devices,set_str,AAA 기능이 활성화된 장비 목록을 알려주세요. [답변 형식: JSON array],"[""asbr1"", ""asbr2"", ""pe1"", ""pe2"", ""pe3"", ""pe4"", ""pe5"", ""pe6""]",,,,,
7,AAA_MISSING_DEVICES,L2,aaa_missing_devices,set_str,AAA 기능이 비활성화된 장비 목록을 알려주세요. [답변 형식: JSON array],"[""leaf1"", ""leaf10"", ""leaf11"", ""leaf12"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""leaf9"", ""p1"", ""p10"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""p9""]",,,,,
8,DEVICES_WITH_SAME_VRF_VRF_RND,L2,devices_with_same_vrf,set_str,VRF_RND VRF를 사용하는 장비 목록을 알려주세요. [답변 형식: JSON array],"[""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
9,L2VPN_PAIRS,L2,l2vpn_pairs,set_str,"구성된 L2VPN pseudowire 회선(장비쌍) 목록을 알려주세요. [답변 형식: ['A<->B', ...]]",[],,,,,
10,OSPF_AREA0_ROUTERS,L2,ospf_area0_routers,text,"OSPF Backbone Area(Area 0)에 속한 라우터 목록은 무엇입니까? [답변 형식: JSON array of router names (e.g., [""spine1"", ""spine2"", ""p1""])]",null,,,,,
11,OSPF_AREA_MEMBERSHIP_1,L2,ospf_area_membership,set_str,OSPF Area 1에 속한 장비 목록을 알려주세요. [답변 형식: JSON array],"[""asbr1"", ""asbr2"", ""p10"", ""p9"", ""pe5"", ""pe6""]",,,,,
12,OSPF_NEIGHBOR_COUNT_PER_AREA_1,L2,ospf_neighbor_count_per_area,number,OSPF Area 1의 이웃 관계는 총 몇 개입니까? [답변 형식: integer],0,,,,,
13,SSH_ENABLED_DEVICES,L2,ssh_enabled_devices,set_str,SSH 접속이 가능한 장비 목록을 알려주세요. [답변 형식: JSON array],"[""asbr1"", ""asbr2"", ""leaf1"", ""leaf10"", ""leaf11"", ""leaf12"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""leaf9"", ""p1"", ""p10"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""p9"", ""pe1"", ""pe2"", ""pe3"", ""pe4"", ""pe5"", ""pe6""]",,,,,
14,SSH_MISSING_COUNT,L2,ssh_missing_count,number,SSH 접속이 불가능한 장비는 총 몇 대입니까? [답변 형식: integer],0,,,,,
15,SSH_MISSING_DEVICES,L2,ssh_missing_devices,set_str,SSH 접속이 불가능한 장비 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
16,ALL_DEVICES_SAME_AS,L3,all_devices_same_as,text,"모든 장비의 BGP AS 번호를 나열해주세요. BGP가 미설정된 장비는 'AS None'으로 표시하세요. [답변 형식: ""host1: AS X, host2: AS None, ...""]","""asbr1: AS 65001, asbr2: AS 65001, leaf1: AS N/A, leaf10: AS N/A, leaf11: AS N/A, leaf12: AS N/A, leaf2: AS N/A, leaf3: AS N/A, leaf4: AS N/A, leaf5: AS N/A, leaf6: AS N/A, leaf7: AS N/A, leaf8: AS N/A, leaf9: AS N/A, p1: AS N/A, p10: AS N/A, p2: AS N/A, p3: AS N/A, p4: AS N/A, p5: AS N/A, p6: AS N/A, p7: AS 65000, p8: AS 65000, p9: AS N/A, pe1: AS 65000, pe2: AS 65000, pe3: AS 65000, pe4: AS 65000, pe5: AS 65001, pe6: AS 65001""",,,,,
17,BGP_AS_DISTRIBUTION,L3,bgp_as_distribution,text,"각 AS별 장비 수 분포를 알려주세요. [답변 형식: ""AS X: N, AS Y: M""]","""AS 65000: 6 devices, AS 65001: 4 devices""",,,,,
18,COMPARE_BGP_AS_leaf7_p7,L3,compare_bgp_as,text,"leaf7과 p7의 BGP Local AS 번호를 각각 알려주세요. [답변 형식: 'leaf7: AS X, p7: AS Y']","""leaf7: AS N/A, p7: AS 65000""",,,,,
19,COMPARE_BGP_NEIGHBOR_COUNT_p1_p4,L3,compare_bgp_neighbor_count,map_str_int,"p1과 p4의 BGP 피어 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",,,,,
