question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,leaf14 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf14""",Leaf14,1.0,1.0,1.0,0.996900200843811,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,fw2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""fw2""",FW2,1.0,1.0,1.0,0.895383894443512,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,leaf15 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf15""",Leaf15,1.0,1.0,1.0,0.9985464811325073,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe5""",PE5,1.0,1.0,1.0,0.9957302808761597,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p3""",P3,1.0,1.0,1.0,0.9959043264389038,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p2""",P2,1.0,1.0,1.0,0.9925470948219299,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,p8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p8""",P8,1.0,1.0,1.0,0.9873655438423157,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,leaf16 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf16""",Leaf16,1.0,1.0,1.0,0.9989197254180908,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968827962875366,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe1""",PE1,1.0,1.0,1.0,0.9950792789459229,1.0,1.0,0.0
11,L1,System_Inventory,text,OK,p10 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p10""",P10,1.0,1.0,1.0,0.9940621852874756,1.0,1.0,0.0
12,L1,System_Inventory,text,OK,p6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p6""",P6,1.0,1.0,1.0,0.9882622957229614,1.0,1.0,0.0
13,L1,System_Inventory,text,OK,p12 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p12""",P12,1.0,1.0,1.0,0.9905234575271606,1.0,1.0,0.0
14,L1,System_Inventory,text,OK,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf8""",Leaf8,1.0,1.0,1.0,0.9961609840393066,1.0,1.0,0.0
15,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf2""",Leaf2,1.0,1.0,1.0,0.9971694946289062,1.0,1.0,0.0
16,L1,System_Inventory,text,OK,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe3""",PE3,1.0,1.0,1.0,0.9952377080917358,1.0,1.0,0.0
17,L1,System_Inventory,text,OK,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe4""",PE4,1.0,1.0,1.0,0.995976448059082,1.0,1.0,0.0
18,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p4""",P4,1.0,1.0,1.0,0.9741384983062744,1.0,1.0,0.0
19,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796203374862671,1.0,1.0,0.0
20,L1,System_Inventory,text,OK,p11 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p11""",P11,1.0,1.0,1.0,0.9971421360969543,1.0,1.0,0.0
21,L1,System_Inventory,text,OK,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
22,L1,System_Inventory,text,OK,leaf5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
23,L1,System_Inventory,text,OK,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
24,L1,System_Inventory,text,OK,asbr1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
25,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
26,L1,System_Inventory,text,OK,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
27,L1,System_Inventory,text,OK,p5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
28,L1,System_Inventory,text,OK,leaf13 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
29,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
30,L1,System_Inventory,text,OK,p8 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
31,L1,System_Inventory,text,OK,p9 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
32,L1,System_Inventory,text,OK,leaf15 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
33,L1,System_Inventory,text,OK,pe6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
34,L1,System_Inventory,text,OK,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
35,L1,System_Inventory,text,OK,p12 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
36,L1,System_Inventory,text,OK,fw2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
37,L1,System_Inventory,text,OK,p6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
38,L1,System_Inventory,text,OK,p10 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
39,L1,System_Inventory,text,OK,pe4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
40,L1,System_Inventory,text,OK,pe2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
41,L1,System_Inventory,text,OK,p8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
42,L1,System_Inventory,text,OK,leaf10 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
43,L1,System_Inventory,text,OK,asbr1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
44,L1,System_Inventory,text,OK,p6 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
45,L1,System_Inventory,text,OK,leaf3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
46,L1,System_Inventory,text,OK,pe8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
47,L1,System_Inventory,text,OK,leaf14 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
48,L1,System_Inventory,text,OK,leaf9 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],"""KST 9""",KST 9 0,0.0,0.0,0.8,0.933716893196106,0.8,0.8,0.6666666666666666
