question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe4""",PE4,1.0,1.0,1.0,0.995976448059082,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,leaf6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf6""",Leaf6,1.0,1.0,1.0,0.9893209934234619,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,p7 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p7""",Leaf7,0.0,0.0,0.0,0.9954779744148254,0.0,0.0,0.0
4,L1,System_Inventory,text,OK,leaf5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf5""",Leaf5,1.0,1.0,1.0,0.9913218021392822,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p2""",P2,1.0,1.0,1.0,0.9925472736358643,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,p6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p6""",P6,1.0,1.0,1.0,0.9882621765136719,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,p8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p8""",P8,1.0,1.0,1.0,0.9873654246330261,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe3""",PE3,1.0,1.0,1.0,0.9952375888824463,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf7 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf7""",Leaf7,1.0,1.0,1.0,0.9868121147155762,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,p5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p5""",P5,1.0,1.0,1.0,0.9875400066375732,1.0,1.0,0.0
11,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe2""",PE2,1.0,1.0,1.0,0.9976427555084229,1.0,1.0,0.0
12,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p3""",P3,1.0,1.0,1.0,0.9959043264389038,1.0,1.0,0.0
13,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf2""",Leaf2,1.0,1.0,1.0,0.997169554233551,1.0,1.0,0.0
14,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p4""",P4,1.0,1.0,1.0,0.9741384983062744,1.0,1.0,0.0
15,L1,System_Inventory,text,OK,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf3""",Leaf3,1.0,1.0,1.0,0.9796204566955566,1.0,1.0,0.0
16,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe1""",PE1,1.0,1.0,1.0,0.9950792789459229,1.0,1.0,0.0
17,L1,System_Inventory,text,OK,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf8""",Leaf8,1.0,1.0,1.0,0.9961609840393066,1.0,1.0,0.0
18,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p1""",P1,1.0,1.0,1.0,0.991120457649231,1.0,1.0,0.0
19,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968827962875366,1.0,1.0,0.0
20,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf4""",Leaf4,1.0,1.0,1.0,0.9853184223175049,1.0,1.0,0.0
21,L1,System_Inventory,text,OK,p7 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
22,L1,System_Inventory,text,OK,p1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
