id,id_v2,level,metric,answer_type,status,reason,replay_answer,dataset_answer,match,score,detail
TRACEROUTE_leaf4_p4,traceroute_path:f7cfd4552b,L4,traceroute_path,text,MATCH,,leaf4 -> pe2,"""leaf4 -> pe2""",True,1.0,exact
TRACEROUTE_leaf4_leaf3,traceroute_path:85cf0a193c,L4,traceroute_path,text,MATCH,,leaf4 -> pe2,"""leaf4 -> pe2""",True,1.0,exact
TRACEROUTE_pe2_leaf3,traceroute_path:1e09853abb,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_leaf2_p1,traceroute_path:d622841e18,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_leaf4_p3,traceroute_path:aeabb6b8ee,L4,traceroute_path,text,MATCH,,leaf4 -> pe2,"""leaf4 -> pe2""",True,1.0,exact
TRACEROUTE_leaf2_leaf4,traceroute_path:206c768141,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_p1_p2,traceroute_path:820e23e546,L4,traceroute_path,text,MATCH,,p1 -> p2,"""p1 -> p2""",True,1.0,exact
TRACEROUTE_p4_leaf3,traceroute_path:3fa7c5cc3e,L4,traceroute_path,text,MATCH,,p4,"""p4""",True,1.0,exact
TRACEROUTE_leaf2_pe2,traceroute_path:375210ff44,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_leaf1_p4,traceroute_path:7286e34e9e,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_p4_p2,traceroute_path:671ab3f535,L4,traceroute_path,text,MATCH,,p4 -> p1 -> p2,"""p4 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_leaf1_pe2,traceroute_path:7964e34ebc,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_p2_p3,traceroute_path:30226e2aad,L4,traceroute_path,text,MATCH,,p2 -> p3,"""p2 -> p3""",True,1.0,exact
TRACEROUTE_p1_p4,traceroute_path:a4b3456479,L4,traceroute_path,text,MATCH,,p1 -> p4,"""p1 -> p4""",True,1.0,exact
TRACEROUTE_leaf2_p4,traceroute_path:005bb01dd2,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
