id,category,question,answer,type,level,files
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] p1 장비의 호스트네임은 무엇입니까?,p1,text,L1,['p1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] leaf3 장비의 호스트네임은 무엇입니까?,leaf3,text,L1,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] leaf4 장비의 호스트네임은 무엇입니까?,leaf4,text,L1,['leaf4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] pe2 장비의 호스트네임은 무엇입니까?,pe2,text,L1,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] p4 장비의 호스트네임은 무엇입니까?,p4,text,L1,['p4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] pe1 장비의 호스트네임은 무엇입니까?,pe1,text,L1,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] leaf2 장비의 호스트네임은 무엇입니까?,leaf2,text,L1,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] p3 장비의 호스트네임은 무엇입니까?,p3,text,L1,['p3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] leaf1 장비의 호스트네임은 무엇입니까?,leaf1,text,L1,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,[정상] p2 장비의 호스트네임은 무엇입니까?,p2,text,L1,['p2.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] p1 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['p1.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] leaf2 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['leaf2.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] p4 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['p4.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] p2 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['p2.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] leaf4 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['leaf4.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] leaf3 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['leaf3.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] pe1 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['pe1.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] pe2 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['pe2.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] p3 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['p3.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,[정상] leaf1 장비의 운영체제(OS) 버전은 무엇입니까?,15.7,text,L1,['leaf1.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] pe1 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['pe1.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] p2 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['p2.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] leaf2 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['leaf2.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] leaf1 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['leaf1.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] p1 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['p1.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] leaf3 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['leaf3.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] leaf4 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['leaf4.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] pe2 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['pe2.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] p4 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['p4.cfg']
SYSTEM_USER_LIST,System_Inventory,[정상] p3 장비에 등록된 로컬 사용자 목록을 알려주세요.,admin,set,L1,['p3.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] leaf1 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['leaf1.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] pe2 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['pe2.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] leaf2 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['leaf2.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] pe1 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['pe1.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] p3 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['p3.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] leaf3 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['leaf3.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] leaf4 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['leaf4.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] p1 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['p1.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] p2 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['p2.cfg']
SYSTEM_USER_COUNT,System_Inventory,[정상] p4 장비에 등록된 로컬 사용자는 총 몇 명입니까?,1,numeric,L1,['p4.cfg']
INTERFACE_STATUS_MAP,System_Inventory,[정상] pe2 장비의 각 인터페이스 상태를 알려주세요.,"{'GigabitEthernet0/0': 'up', 'GigabitEthernet0/1': 'up', 'GigabitEthernet0/2': 'up', 'GigabitEthernet0/3': 'up', 'Loopback0': 'up'}",map,L1,['pe2.cfg']
INTERFACE_STATUS_MAP,System_Inventory,[정상] leaf3 장비의 각 인터페이스 상태를 알려주세요.,"{'GigabitEthernet0/0': 'up', 'GigabitEthernet0/1': 'down', 'GigabitEthernet0/2': 'up', 'GigabitEthernet0/3': 'down'}",map,L1,['leaf3.cfg']
INTERFACE_STATUS_MAP,System_Inventory,[정상] p3 장비의 각 인터페이스 상태를 알려주세요.,"{'GigabitEthernet0/0': 'up', 'GigabitEthernet0/1': 'up', 'GigabitEthernet0/2': 'up', 'GigabitEthernet0/3': 'up', 'Loopback0': 'up'}",map,L1,['p3.cfg']
INTERFACE_STATUS_MAP,System_Inventory,[정상] p4 장비의 각 인터페이스 상태를 알려주세요.,"{'GigabitEthernet0/0': 'up', 'GigabitEthernet0/1': 'up', 'GigabitEthernet0/2': 'up', 'GigabitEthernet0/3': 'down', 'Loopback0': 'up'}",map,L1,['p4.cfg']
INTERFACE_STATUS_MAP,System_Inventory,[정상] leaf4 장비의 각 인터페이스 상태를 알려주세요.,"{'GigabitEthernet0/0': 'up', 'GigabitEthernet0/1': 'down', 'GigabitEthernet0/2': 'up', 'GigabitEthernet0/3': 'down'}",map,L1,['leaf4.cfg']
INTERFACE_STATUS_MAP,System_Inventory,[정상] leaf1 장비의 각 인터페이스 상태를 알려주세요.,"{'GigabitEthernet0/0': 'up', 'GigabitEthernet0/1': 'up', 'GigabitEthernet0/2': 'up', 'GigabitEthernet0/3': 'up'}",map,L1,['leaf1.cfg']
