question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
TRACEROUTE_leaf2_leaf3,L4,Reachability_Analysis,text,OK,leaf2에서 172.16.3.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""경로 없음""",,0.0,0.0,0.0,0.7300863265991211,0,0.0,0.0
VTY_TRANSPORT_INPUT_TEXT,L1,Security_Inventory,text,OK,p2 장비의 VTY transport input 설정은 무엇입니까? [답변 형식: 설정값 또는 null],"""ssh""",ssh,1.0,1.0,1.0,1.0,1.0,1.0,0.0
COMPARE_INTERFACE_COUNT,L3,Comparison_Analysis,text,OK,"p2과 pe1의 인터페이스 수는 각각 몇 개이며, 차이는 몇 개입니까? [답변 형식: 'p2: N개, pe1: M개, 차이: K개']","""p2: 5, pe1: 5, diff: 0""",,0.0,0.0,0.0,0.7849470376968384,0,0.0,0.0
TRACEROUTE_p1_p2,L4,Reachability_Analysis,text,OK,p1에서 10.0.0.1까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""p1 → p2""",p1→p2,0.0,0.0,0.0,0.9719286561012268,1.0,1.0,1.0
MPLS_LDP_ROUTER_ID,L1,Services_Inventory,text,OK,leaf1 장비의 MPLS LDP Router-ID는 무엇입니까? [답변 형식: IP 주소 (예: 10.255.0.1) 또는 '미설정'],"""미설정""",미설정,1.0,1.0,1.0,1.0,0,0.0,0.0
ROOT_CAUSE_leaf3_p3,L5,What_If_Analysis,text,OK,"leaf3에서 p3로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe2""",p3,0.0,0.0,0.0,0.953613817691803,0.0,0.0,0.0
TRACEROUTE_leaf1_p4,L4,Reachability_Analysis,text,OK,leaf1에서 10.0.0.5까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""경로 없음""",,0.0,0.0,0.0,0.7300863265991211,0,0.0,0.0
BGP_AS_DISTRIBUTION,L3,Comparison_Analysis,text,OK,"각 AS별 장비 수 분포를 알려주세요. [답변 형식: 'AS X: N대, AS Y: M대']","""AS 65000: 2 devices""",AS 65000: 2대,0.8,0.0,0.5714285714285715,0.8989551663398743,0.8571428571428571,0.8571428571428571,0.8
COMPARE_OSPF_AREAS,L3,Comparison_Analysis,text,OK,"leaf1과 p3가 참여하는 OSPF Area 목록을 각각 알려주세요. [답변 형식: 'leaf1: Area 0, 1, p3: Area 0, 2']","""leaf1: Area None, p3: Area 0""",,0.0,0.0,0.0,0.7919530868530273,0,0.0,0.0
COMPARE_VRF_COUNT,L3,Comparison_Analysis,text,OK,"p3과 pe1의 VRF 수는 각각 몇 개이며, 차이는 몇 개입니까? [답변 형식: 'p3: N개, pe1: M개, 차이: K개']","""p3: 0, pe1: 6, diff: 6""","p3: 0개, pe1: 2개, 차이: 2개",0.0,0.0,0.3333333333333333,0.8595287203788757,0.5454545454545454,0.5454545454545454,0.4444444444444445
REACH_p4_pe2_ICMP,L4,Reachability_Analysis,text,OK,"10.0.0.5에서 10.0.1.3(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""경로: p4 → p3 → pe2, 도달: 가능 (ACCEPTED)""",,0.0,0.0,0.0,0.7592077255249023,0,0.0,0.0
COMPARE_BGP_AS,L3,Comparison_Analysis,text,OK,"leaf2과 p1의 BGP Local AS 번호를 각각 알려주세요. [답변 형식: 'leaf2: AS X, p1: AS Y']","""leaf2: AS None, p1: AS None""","leaf2: AS ?, p1: AS ?",0.3333333333333333,0.0,0.6,0.9542505145072937,0.8,0.8,0.5
SYSTEM_VERSION_TEXT,L1,System_Inventory,text,OK,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
REACH_p1_leaf3_ICMP,L4,Reachability_Analysis,text,OK,"10.0.0.0에서 172.16.3.2(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""경로: p1, 도달: 불가 (원인: INSUFFICIENT_INFO)""",,0.0,0.0,0.0,0.7418050765991211,0,0.0,0.0
REACH_leaf2_p3_ICMP,L4,Reachability_Analysis,text,OK,"172.16.2.2에서 10.0.0.3(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""경로: leaf2 → pe1, 도달: 불가 (원인: NO_ROUTE)""",,0.0,0.0,0.0,0.7515395879745483,0,0.0,0.0
SYSTEM_HOSTNAME_TEXT,L1,System_Inventory,text,OK,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf4""",leaf4,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
SYSTEM_HOSTNAME_TEXT,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf2""",leaf2,1.0,1.0,1.0,0.9999997615814209,1.0,1.0,0.0
COMPARE_BGP_NEIGHBOR_COUNT,L3,Comparison_Analysis,text,OK,"p2과 pe2의 BGP 피어 수는 각각 몇 개이며, 차이는 몇 개입니까? [답변 형식: 'p2: N개, pe2: M개, 차이: K개']","""p2: 0, pe2: 1, diff: 1""","p2: 0개, pe2: 1개, 차이: 1개",1.0,0.0,0.3333333333333333,0.8565955758094788,0.9090909090909091,0.9090909090909091,0.6666666666666665
SYSTEM_VERSION_TEXT,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: 정확한 값만],"""15.7""",15.7,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
MULTI_FAIL_leaf1_p3_leaf2_pe2,L5,What_If_Analysis,text,OK,"(시나리오)'leaf1-p3' 링크와 'leaf2-pe2' 링크가 동시에 장애로 다운되었습니다.

**질문**: 이 상황에서 'leaf4'에서 'p2'로의 트래픽 전달이 가능합니까?

**답변 형식** (반드시 아래 형식 중 하나로만 답변):
- 가능한 경우: ""가능 (대체경로: 장비1→장비2→장비3)""
- 불가능한 경우: ""불가능 (원인: 차단장비에서 차단사유)""

**예시**:
- ""가능 (대체경로: p1→p2→p3)""
- ""불가능 (원인: leaf1에서 NO_ROUTE)""","""불가능 (원인: pe2에서 NO_ROUTE)""",가능 (대체경로: leaf4→p2),0.0,0.0,0.0,0.8826157450675964,0.0,0.0,0.0
REACH_leaf2_leaf4_TCP,L4,Reachability_Analysis,text,OK,"172.16.2.2에서 172.16.4.2(22/TCP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""경로: leaf2 → pe1, 도달: 불가 (원인: NO_ROUTE)""",,0.0,0.0,0.0,0.7515395879745483,0,0.0,0.0
TRACEROUTE_p4_leaf3,L4,Reachability_Analysis,text,OK,p4에서 172.16.3.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""p4""",,0.0,0.0,0.0,0.7961838841438293,0,0.0,0.0
COMPARE_OSPF_AREAS,L3,Comparison_Analysis,text,OK,"p2과 p3가 참여하는 OSPF Area 목록을 각각 알려주세요. [답변 형식: 'p2: Area 0, 1, p3: Area 0, 2']","""p2: Area 0, p3: Area 0""",,0.0,0.0,0.0,0.7924327850341797,0,0.0,0.0
ASYMMETRIC_p1_p4,L4,Routing_Analysis,text,OK,"p1과 p4 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: p1 → p4, Reverse: p4 → p1""",,0.0,0.0,0.0,0.7829728722572327,0,0.0,0.0
WAYPOINT_leaf1_p3_p4,L4,Reachability_Analysis,text,OK,172.16.1.2에서 10.0.0.3로 가는 트래픽이 p4를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""경유하지 않음""",,0.0,0.0,0.0,0.7148070335388184,0,0.0,0.0
SYSTEM_HOSTNAME_TEXT,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf1""",leaf1,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,0.0
ASYMMETRIC_pe1_p2,L4,Routing_Analysis,text,OK,"pe1과 p2 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: pe1 → p2, Reverse: p2 → pe1""",,0.0,0.0,0.0,0.7781170606613159,0,0.0,0.0
COMPARE_VRF_COUNT,L3,Comparison_Analysis,text,OK,"p3과 pe2의 VRF 수는 각각 몇 개이며, 차이는 몇 개입니까? [답변 형식: 'p3: N개, pe2: M개, 차이: K개']","""p3: 0, pe2: 6, diff: 6""","p3: 0개, pe2: 2개, 차이: 2개",0.0,0.0,0.3333333333333333,0.8602508902549744,0.5454545454545454,0.5454545454545454,0.4444444444444445
MULTI_FAIL_leaf1_leaf2_leaf3_p3,L5,What_If_Analysis,text,OK,"(시나리오)'leaf1-leaf2' 링크와 'leaf3-p3' 링크가 동시에 장애로 다운되었습니다.

**질문**: 이 상황에서 'leaf4'에서 'p2'로의 트래픽 전달이 가능합니까?

**답변 형식** (반드시 아래 형식 중 하나로만 답변):
- 가능한 경우: ""가능 (대체경로: 장비1→장비2→장비3)""
- 불가능한 경우: ""불가능 (원인: 차단장비에서 차단사유)""

**예시**:
- ""가능 (대체경로: p1→p2→p3)""
- ""불가능 (원인: leaf1에서 NO_ROUTE)""","""불가능 (원인: pe2에서 NO_ROUTE)""",,0.0,0.0,0.0,0.7405175566673279,0,0.0,0.0
COMPARE_VRF_COUNT,L3,Comparison_Analysis,text,OK,"leaf4과 pe2의 VRF 수는 각각 몇 개이며, 차이는 몇 개입니까? [답변 형식: 'leaf4: N개, pe2: M개, 차이: K개']","""leaf4: 0, pe2: 6, diff: 6""","leaf4: 0개, pe2: 2개, 차이: 2개",0.0,0.0,0.3333333333333333,0.8583551645278931,0.5454545454545454,0.5454545454545454,0.4444444444444445
BOUNDED_PATH_p1_leaf3,L4,Reachability_Analysis,number,OK,p1에서 172.16.3.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],1,,0.0,0.0,0.0,0.8124043345451355,0,0.0,0.0
ROUTING_TABLE_ENTRY_COUNT,L1,System_Inventory,number,OK,leaf2 장비의 라우팅 테이블 엔트리는 총 몇 개입니까? [답변 형식: 숫자],4,4,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
