question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
,,,text,,What is the operating system (OS) version of the leaf4 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,text,,What is the hostname of the leaf4 device? [Answer format: exact value only],leaf4,,1.0,1.0,1.0,0.9140824675559998,1.0,1.0,0.0
,,,text,,What is the hostname of the p4 device? [Answer format: exact value only],p4,,1.0,1.0,1.0,0.9747598767280579,1.0,1.0,0.0
,,,text,,What is the hostname of the p1 equipment? [Answer format: exact value only],p1,,1.0,1.0,1.0,0.9761627912521362,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the p3 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,set,,Please provide the list of local users registered on the leaf3 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p2 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,text,,What is the operating system (OS) version of the p4 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,text,,What is the hostname of the pe2 equipment? [Answer format: exact value only],pe2,,1.0,1.0,1.0,0.9514011740684509,1.0,1.0,0.0
,,,text,,What is the hostname of the p3 equipment? [Answer format: exact value only],p3,,1.0,1.0,1.0,0.9644356966018677,1.0,1.0,0.0
,,,text,,What is the hostname of the leaf2 device? [Answer format: exact value only],leaf2,,1.0,1.0,1.0,0.9003489017486572,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the pe2 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,text,,What is the hostname of the leaf3 device? [Answer format: exact value only],leaf3,,1.0,1.0,1.0,0.9126583337783813,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p1 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,text,,What is the timezone of the leaf4 device? [Response format: setting value or null],null,,0.0,0.0,0.0,0.7702219486236572,0,0.0,0.0
,,,text,,What is the hostname of the leaf1 device? [Answer format: exact value only],leaf1,,1.0,1.0,1.0,0.893597424030304,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the pe1 equipment? [Answer format: exact value only],15.7,,0.6666666666666666,0.0,0.6666666666666666,0.9367781281471252,0.8,0.8,0.6666666666666666
,,,set,,Please provide the list of local users registered on the p1 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the leaf1 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,set,,Please provide the list of local users registered on the pe1 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the hostname of the p2 equipment? [Answer format: exact value only],p2,,1.0,1.0,1.0,0.9765691757202148,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p3 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,set,,Please provide the list of local users registered on the leaf2 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the hostname of the pe1 device? [Answer format: exact value only],pe1,,1.0,1.0,1.0,0.9613978266716003,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the pe1 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,set,,Please provide the list of local users registered on the p2 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the p1 device? [Answer format: number],1,,0.0,0.0,0.0,0.8639907240867615,0.0,0.0,0.0
,,,set,,Please provide the list of local users registered on the p4 equipment. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the p2 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,set,,Please provide the list of local users registered on the p3 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the leaf3 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,text,,What is the timezone of the p1 equipment? [Response format: setting value or null],null,,0.0,0.0,0.0,0.9179665446281433,0,0.0,0.0
,,,set,,Please provide the list of NTP servers configured on the pe2 equipment. [Answer format: list],[],,0.0,0.0,0.0,0.8373405933380127,0,0.0,0.0
,,,numeric,,How many local users are registered on the leaf4 device? [Answer format: number],1,,0.0,0.0,0.0,0.8391743302345276,0.0,0.0,0.0
,,,text,,What is the timezone of the pe1 equipment? [Response format: setting value or null],null,,0.0,0.0,0.0,0.8528533577919006,0,0.0,0.0
,,,set,,Please provide the list of local users registered on the leaf1 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the leaf2 device? [Answer format: exact value only],15.7,,0.0,0.0,0.0,0.873619019985199,0,0.0,0.0
,,,set,,Please provide the list of NTP servers configured on the p4 equipment. [Answer format: list],[],,0.0,0.0,0.0,0.8373405933380127,0,0.0,0.0
,,,text,,What is the severity level of logging buffered on the leaf1 device? [Response format: setting value or null],null,,0.0,0.0,0.0,0.8528533577919006,0,0.0,0.0
,,,text,,What is the timezone of the leaf1 device? [Response format: setting value or null],null,,0.0,0.0,0.0,0.9179665446281433,0,0.0,0.0
,,,numeric,,How many local users are registered on the leaf1 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,set,,Please provide the list of NTP servers configured on the leaf2 device. [Answer format: list],[],,0.0,0.0,0.0,0.8373405933380127,0,0.0,0.0
,,,set,,Please provide the list of NTP servers configured on the pe1 equipment. [Answer format: list],[],,0.0,0.0,0.0,0.8373405933380127,0,0.0,0.0
,,,set,,Please provide the list of NTP servers set on the p2 equipment. [Answer format: list],[],,1.0,1.0,1.0,1.0000001192092896,0,0.0,0.0
,,,set,,Please provide the list of NTP servers configured on the leaf4 device. [Answer format: list],[],,0.0,0.0,0.0,0.8373405933380127,0,0.0,0.0
,,,text,,What is the timezone of the p3 equipment? [Response format: setting value or null],null,,0.0,0.0,0.0,0.8528533577919006,0,0.0,0.0
,,,set,,Please provide the list of SNMP community settings configured on the p1 device. [Response format: list],[],,0.0,0.0,0.0,0.8373405933380127,0,0.0,0.0
,,,set,,Please provide the list of SNMP community settings configured on the p4 device. [Answer format: list],[],,0.0,0.0,0.0,0.8373405933380127,0,0.0,0.0
,,,text,,What is the operating system (OS) version of the leaf3 device? [Answer format: exact value only],15.7,,0.6666666666666666,0.0,0.6666666666666666,0.9367781281471252,0.8,0.8,0.6666666666666666
