qa_id,metric,level,answer_type,dataset_answer,manual_answer,verdict,disagreement_type,rationale,hosts_inspected
BGP_LOCAL_AS_NUMERIC_leaf4,bgp_local_as_numeric,L1,number,0,0,AGREE,,No BGP configured in leaf4.cfg → 0,leaf4
BGP_NEIGHBOR_COUNT_leaf7,bgp_neighbor_count,L1,number,0,0,AGREE,,BGP neighbors in leaf7.cfg: 0,leaf7
NEIGHBOR_LIST_IBGP_p8,neighbor_list_ibgp,L1,set_str,[],[],AGREE,,neighbor_list_ibgp for p8: [] (local_as=65000),p8
SNMP_COMMUNITY_LIST_leaf3,snmp_community_list,L1,set_str,[],[],AGREE,,No SNMP communities in leaf3.cfg → [],leaf3
SUBINTERFACE_COUNT_p10,subinterface_count,L1,number,0,0,AGREE,,[Method1-crossref] subinterface_count(p10) = 0,p10
AAA_ENABLED_DEVICES,aaa_enabled_devices,L2,set_str,"[""asbr1"", ""asbr2"", ""pe1"", ""pe2"", ""pe3"", ""pe4"", ""pe5"", ""pe6""]","[""asbr1"", ""asbr2"", ""pe1"", ""pe2"", ""pe3"", ""pe4"", ""pe5"", ""pe6""]",AGREE,,"AAA enabled devices: ['asbr1', 'asbr2', 'pe1', 'pe2', 'pe3', 'pe4', 'pe5', 'pe6']","asbr1, asbr2, leaf1, leaf10, leaf11, leaf12, leaf2, leaf3, leaf4, leaf5, leaf6, leaf7, leaf8, leaf9, p1, p10, p2, p3, p4, p5, p6, p7, p8, p9, pe1, pe2, pe3, pe4, pe5, pe6"
AAA_MISSING_DEVICES,aaa_missing_devices,L2,set_str,"[""leaf1"", ""leaf10"", ""leaf11"", ""leaf12"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""leaf9"", ""p1"", ""p10"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""p9""]","[""leaf1"", ""leaf10"", ""leaf11"", ""leaf12"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""leaf9"", ""p1"", ""p10"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""p9""]",AGREE,,"AAA missing devices: ['leaf1', 'leaf10', 'leaf11', 'leaf12', 'leaf2', 'leaf3', 'leaf4', 'leaf5', 'leaf6', 'leaf7', 'leaf8', 'leaf9', 'p1', 'p10', 'p2', 'p3', 'p4', 'p5', 'p6', 'p7', 'p8', 'p9']","asbr1, asbr2, leaf1, leaf10, leaf11, leaf12, leaf2, leaf3, leaf4, leaf5, leaf6, leaf7, leaf8, leaf9, p1, p10, p2, p3, p4, p5, p6, p7, p8, p9, pe1, pe2, pe3, pe4, pe5, pe6"
DEVICES_WITH_SAME_VRF_VRF_RND,devices_with_same_vrf,L2,set_str,"[""pe1"", ""pe2"", ""pe3"", ""pe4""]","[""pe1"", ""pe2"", ""pe3"", ""pe4""]",AGREE,,"Devices with VRF 'VRF_RND': ['pe1', 'pe2', 'pe3', 'pe4']","asbr1, asbr2, leaf1, leaf10, leaf11, leaf12, leaf2, leaf3, leaf4, leaf5, leaf6, leaf7, leaf8, leaf9, p1, p10, p2, p3, p4, p5, p6, p7, p8, p9, pe1, pe2, pe3, pe4, pe5, pe6"
L2VPN_PAIRS,l2vpn_pairs,L2,set_str,[],[],AGREE,,[Method1-crossref] l2vpn_pairs({'type': 'GLOBAL'}) = [],"asbr1, asbr2, leaf1, leaf10, leaf11, leaf12, leaf2, leaf3, leaf4, leaf5, leaf6, leaf7, leaf8, leaf9, p1, p10, p2, p3, p4, p5, p6, p7, p8, p9, pe1, pe2, pe3, pe4, pe5, pe6"
OSPF_AREA0_ROUTERS,ospf_area0_routers,L2,text,null,,AGREE,,[Method1-crossref] ospf_area0_routers({'type': 'GLOBAL'}) = ,"asbr1, asbr2, leaf1, leaf10, leaf11, leaf12, leaf2, leaf3, leaf4, leaf5, leaf6, leaf7, leaf8, leaf9, p1, p10, p2, p3, p4, p5, p6, p7, p8, p9, pe1, pe2, pe3, pe4, pe5, pe6"
