id,origin,level,task_category,answer_type,complexity,persona,question,ground_truth,explanation,context,source_files
BASIC_DSL-SSH_ENABLED_DEVICES-48380,rule_based,1,보안 질의,short,basic,,SSH 접속이 가능한 장비 목록을 알려주세요.,"CE1, CE2, sample10, sample7, sample8, sample9",,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-SSH_MISSING_COUNT-32651,rule_based,2,보안 질의,short,basic,,SSH 접속이 불가능한 장비는 총 몇 대입니까?,0,The value for ssh_missing_count is 0.,"장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1
장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1
장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-NEIGHBOR_LIST_IBGP-43039,rule_based,1,단순 조회 업무,short,basic,,sample10 장비와 iBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,"1.1.1.1, 2.2.2.2, 3.3.3.3",,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-NEIGHBOR_LIST_IBGP-16411,rule_based,1,단순 조회 업무,short,basic,,sample7 장비와 iBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,"2.2.2.2, 3.3.3.3, 4.4.4.4",,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-NEIGHBOR_LIST_IBGP-19040,rule_based,1,단순 조회 업무,short,basic,,sample8 장비와 iBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,"1.1.1.1, 3.3.3.3, 4.4.4.4",,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-NEIGHBOR_LIST_IBGP-50941,rule_based,1,단순 조회 업무,short,basic,,sample9 장비와 iBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,"1.1.1.1, 2.2.2.2, 4.4.4.4",,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-48380,rule_based,1,단순 조회 업무,short,basic,,CE1 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,192.168.1.10,,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-23145,rule_based,1,단순 조회 업무,short,basic,,CE2 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,192.168.3.10,,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-43039,rule_based,1,단순 조회 업무,short,basic,,sample10 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,192.168.4.11,,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-16411,rule_based,1,단순 조회 업무,short,basic,,sample7 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,192.168.1.11,,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-19040,rule_based,1,단순 조회 업무,short,basic,,sample8 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,192.168.2.11,,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-50941,rule_based,1,단순 조회 업무,short,basic,,sample9 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.,192.168.3.11,,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
