id,category,answer_type,level,question,ground_truth,explanation,source_files
IBGP_FULLMESH_OK_0001,BGP_Consistency,boolean,2,"AS 65000의 iBGP Full-Mesh 구성은 완벽합니까? (true/false)
[답변 형식: true/false (소문자)]",true,"metric `ibgp_fullmesh_ok` on asn=65000, type=AS → true","sample10.xml, sample7.xml, sample8.xml, sample9.xml"
IBGP_FULLMESH_OK_0002,BGP_Consistency,boolean,2,"AS 65001의 iBGP Full-Mesh 구성은 완벽합니까? (true/false)
[답변 형식: true/false (소문자)]",true,"metric `ibgp_fullmesh_ok` on asn=65001, type=AS → true",ce1.xml
IBGP_FULLMESH_OK_0003,BGP_Consistency,boolean,2,"AS 65003의 iBGP Full-Mesh 구성은 완벽합니까? (true/false)
[답변 형식: true/false (소문자)]",true,"metric `ibgp_fullmesh_ok` on asn=65003, type=AS → true",ce2.xml
IBGP_MISSING_PAIRS_0001,BGP_Consistency,set,2,"AS 65000의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",없음,"metric `ibgp_missing_pairs` on asn=65000, type=AS → 없음","sample10.xml, sample7.xml, sample8.xml, sample9.xml"
IBGP_MISSING_PAIRS_0002,BGP_Consistency,set,2,"AS 65001의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",없음,"metric `ibgp_missing_pairs` on asn=65001, type=AS → 없음",ce1.xml
IBGP_MISSING_PAIRS_0003,BGP_Consistency,set,2,"AS 65003의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",없음,"metric `ibgp_missing_pairs` on asn=65003, type=AS → 없음",ce2.xml
IBGP_MISSING_PAIRS_COUNT_0001,BGP_Consistency,numeric,2,"AS 65000의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까?
[답변 형식: 정수 숫자]",0,"metric `ibgp_missing_pairs_count` on asn=65000, type=AS → 0","sample10.xml, sample7.xml, sample8.xml, sample9.xml"
IBGP_MISSING_PAIRS_COUNT_0002,BGP_Consistency,numeric,2,"AS 65001의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까?
[답변 형식: 정수 숫자]",0,"metric `ibgp_missing_pairs_count` on asn=65001, type=AS → 0",ce1.xml
IBGP_MISSING_PAIRS_COUNT_0003,BGP_Consistency,numeric,2,"AS 65003의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까?
[답변 형식: 정수 숫자]",0,"metric `ibgp_missing_pairs_count` on asn=65003, type=AS → 0",ce2.xml
IBGP_UNDER_PEERED_DEVICES_0001,BGP_Consistency,set,2,"AS 65000에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",없음,"metric `ibgp_under_peered_devices` on asn=65000, type=AS → 없음","sample10.xml, sample7.xml, sample8.xml, sample9.xml"
IBGP_UNDER_PEERED_DEVICES_0002,BGP_Consistency,set,2,"AS 65001에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",없음,"metric `ibgp_under_peered_devices` on asn=65001, type=AS → 없음",ce1.xml
IBGP_UNDER_PEERED_DEVICES_0003,BGP_Consistency,set,2,"AS 65003에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",없음,"metric `ibgp_under_peered_devices` on asn=65003, type=AS → 없음",ce2.xml
NEIGHBOR_LIST_EBGP_0001,BGP_Consistency,set,1,"CE1 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",192.168.1.10,"metric `neighbor_list_ebgp` on host=CE1, type=DEVICE → 192.168.1.10",ce1.xml
NEIGHBOR_LIST_EBGP_0002,BGP_Consistency,set,1,"CE2 장비와 eBGP로 연결된 피어들의 IP 주소 목록을 알려주세요.
[답변 형식: 쉼표로 구분된 항목 목록 (없으면 '없음')]",192.168.3.10,"metric `neighbor_list_ebgp` on host=CE2, type=DEVICE → 192.168.3.10",ce2.xml
