id,id_v2,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,System_Inventory,L1,p4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p4""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",bd1a393,['p4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf4,system_hostname_text:45a2dbebe1,System_Inventory,L1,leaf4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf4""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",bd1a393,['leaf4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,System_Inventory,L1,leaf3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf3""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",bd1a393,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,System_Inventory,L1,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe1""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",bd1a393,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,System_Inventory,L1,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p2""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",bd1a393,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,System_Inventory,L1,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p3""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",bd1a393,['p3.cfg']
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,System_Inventory,L1,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe2""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",bd1a393,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,System_Inventory,L1,p1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p1""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",bd1a393,['p1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,System_Inventory,L1,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf1""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",bd1a393,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,System_Inventory,L1,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf2""",,"{""snapshot"": ""LabA_Research_Institute_DC_10nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",bd1a393,['leaf2.cfg']
