question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
16,Unknown,Unknown,text,ACCEPT,What does the 3G_MSCA send if the necessary resources cannot be allocated or a failure occurs in 3G_MSC-A?,an IU-ENHANCED-RELOCATION-COMPLETE-FAILURE message to RNS-B,an IU-ENHANCED-RELOCATION-COMPLETE-FAILURE message to RNS-B,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Unknown,Unknown,text,ACCEPT,Does the RNC-B perform lu UP initialization?,if necessary,"perform Iu UP initialization, if necessary.",0.5,0.0,0.25,0.8766798973083496,0.5,0.5,0.33333333333333337
7,Unknown,Unknown,text,ACCEPT,"What message is prefixed by ""A""?",an AInterface message,AInterface message,1.0,0.0,0.8,0.9103927612304688,0.8,0.8,0.6666666666666666
12,Unknown,Unknown,text,ACCEPT,What is an example command for releasing resources?,IURELEASECOMMAND sequence,IURELEASECOMMAND,0.6666666666666666,0.0,0.6666666666666666,0.9694315195083618,0.6666666666666666,0.6666666666666666,0.0
22,Unknown,Unknown,text,ACCEPT,Who does RNS-B send an IU-ENHANCED-RELOCATION-COMPLETE-CONFIRM message to?,3G_MSC-A,3G_MSC-A,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Unknown,Unknown,text,ACCEPT,When does RNS-A terminate the procedure?,If the resources cannot be allocated,If the resources cannot be allocated,1.0,1.0,1.0,1.0000001192092896,1.0,1.0,1.0
39,Unknown,Unknown,text,ACCEPT,When does the (H)GMLC not perform a second location request to the serving AMF,If the location result is allowed by the geographic area restriction,If the location result is allowed by the geographic area restriction,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,Unknown,Unknown,text,ACCEPT,what is meant by MSP subscriber?,subscriber provisioned with the MSP service,the subscriber provisioned with the MSP service,1.0,0.0,1.0,0.9621196389198303,0.923076923076923,0.923076923076923,0.9090909090909091
42,Unknown,Unknown,text,ACCEPT,What components shall subscribe to notifications about changes to the UE LCS privacy?,(H)GMLC or NEF,(H)GMLC or NEF,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Unknown,Unknown,text,ACCEPT,When does the RNS-B return a message to RNC-A?,Once resource allocation has been completed,Once resource allocation has been completed by RNS-B,0.8571428571428571,0.0,0.8571428571428571,0.9585477709770203,0.8,0.8,0.7692307692307693
41,Unknown,Unknown,text,ACCEPT,What does the AMF indicate?,the type of deferred location request in the NAS Location Notification Invoke Request sent to the UE,the type of deferred location request,0.5882352941176471,0.0,0.631578947368421,0.927699089050293,0.5217391304347826,0.5217391304347826,0.47619047619047616
33,Unknown,Unknown,text,ACCEPT,What does the (H)GMLC do if the location result is not allowed by the geographic area restriction?,discards the location result without notifying the LCS client or AF,discards the location result without notifying the LCS client or AF,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,Unknown,Unknown,text,ACCEPT,What does the (H)GMLC include?,any request for notification or verification of the location request in the initial location request sent to the serving AMF,any request for notification or verification of the location request in the initial location request sent to the serving AMF,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,Unknown,Unknown,text,ACCEPT,What does AMF do upon receipt of initial location request to the serving AMF?,notifies the UE or verifies the location request with the UE,notifies the UE or verifies the location request with the UE,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,Unknown,Unknown,text,ACCEPT,When does the AMF notify the UE for an immediate location request?,when the UE first becomes reachable,when the UE first becomes reachable,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,Unknown,Unknown,text,ACCEPT,Is the location notification or verification repeated?,not repeated for each UE location in the case of a periodic or triggered 5GC-MT-LR,not repeated,0.2666666666666667,0.0,0.23529411764705882,0.8794687986373901,0.21052631578947367,0.21052631578947367,0.11764705882352941
19,Unknown,Unknown,text,ACCEPT,What will RNS-B return if resources cannot be allocated?,returns an IUR-ENHANCED-RELOCATION-FAILURE message to RNS-A,an IUR-ENHANCED-RELOCATION-FAILURE message to RNS-A,0.888888888888889,0.0,0.9090909090909091,0.9714751839637756,0.9473684210526316,0.9473684210526316,0.9411764705882353
45,Unknown,Unknown,text,ACCEPT,what does Profile Status specify?,if the profile is the registered profile and/or the default profile,if the profile is the registered profile and/or the default profile,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
48,Unknown,Unknown,text,ACCEPT,what profile is used for all MO calls if a profile has not been explicitly selected?,Registered Profile,Registered Profile,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Unknown,Unknown,text,ACCEPT,What does RNC-B do after receiving the IU-ENHANCED-RELOCATION-COMPLETE-RESPONSE message?,start to configure the Iu transport bearer for each Radio Access Bearer between the MSC-A and RNC-B and perform Iu UP initialization,"start to configure the Iu transport bearer for each Radio Access Bearer between the MSC-A and RNC-B and perform Iu UP initialization, if necessary.",0.9444444444444444,0.0,0.8947368421052632,0.9872674942016602,0.9600000000000001,0.9600000000000001,0.9583333333333334
24,Unknown,Unknown,text,ACCEPT,Who send an IUR-ENHANCED- RELOCATION-REQUEST message to the new RNS (RNSB)?,the Serving RNS (RNS-A),the Serving RNS (RNS-A),1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
27,Unknown,Unknown,text,ACCEPT,What does the RNS-B send after the completion of the Iu UP initialization?,an IU-ENHANCED-RELOCATION-COMPLETE-CONFIRM message to 3G_MSC-A,an IU-ENHANCED-RELOCATION-COMPLETE-CONFIRM message to 3G_MSC-A,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Unknown,Unknown,text,ACCEPT,What type of requests can be combined be a V GMLC?,concurrent 5GC-MT LR and 5GC-MO-LR related location requests,5GC-MT LR and 5GC-MO-LR related location requests,0.9333333333333333,0.0,0.9333333333333333,0.97857266664505,0.9523809523809523,0.9523809523809523,0.9473684210526316
9,Unknown,Unknown,text,ACCEPT,"What message is prefixed by ""I""?",an ISDN/PSTN message,ISDN/PSTN message,1.0,0.0,0.8,0.9774070978164673,0.8571428571428571,0.8571428571428571,0.8
43,Unknown,Unknown,text,ACCEPT,what specifies if the profile is the registered one and/or the default?,Profile Status,Profile Status,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
40,Unknown,Unknown,text,ACCEPT,How does the (H)GMLC determine whether a location result can be returned to the CLS client or AF?,based on whether the location result is or is not restricted by the geographic area restriction,based on whether the location result is or is not restricted by the geographic area restriction.,0.9166666666666666,0.0,0.8461538461538461,0.9635704159736633,0.9333333333333333,0.9333333333333333,0.9285714285714286
37,Unknown,Unknown,text,ACCEPT,When does the (H)GMLC discard the location result without notifying the LCS client or AF?,If the location result is not allowed by the geographic area restriction,If the location result is not allowed by the geographic area restriction,1.0,1.0,1.0,1.0000001192092896,1.0,1.0,1.0
47,Unknown,Unknown,text,ACCEPT,what profile is used for all MO calls and short messages if a profile has not been explicitly selected?,Registered Profile,Registered Profile,1.0,1.0,1.0,1.0,1.0,1.0,1.0
