#,qa_id,level,metric,answer_type,question,dataset_answer,my_result,verdict,memo
1,ACL_BLOCKING_fw2_leaf5,L4,acl_blocking_point,text,10.0.40.3에서 172.17.1.2로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
2,ACL_BLOCKING_p2_leaf9,L4,acl_blocking_point,text,10.0.2.1에서 172.18.1.2로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
3,ACL_BLOCKING_pe4_leaf13,L4,acl_blocking_point,text,10.0.14.1에서 172.19.1.2로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
4,ASYMMETRIC_p10_leaf15,L4,asymmetric_path_comparison,text,"p10과 leaf15 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: p10, Reverse: leaf15 -> pe8""",,,
5,ASYMMETRIC_p7_pe5,L4,asymmetric_path_comparison,text,"p7과 pe5 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: p7 -> asbr1 -> pe5, Reverse: pe5 -> asbr1 -> p7""",,,
6,ASYMMETRIC_pe4_p4,L4,asymmetric_path_comparison,text,"pe4와 p4 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: pe4 -> p6 -> p5 -> p3 -> p4, Reverse: p4 -> p3 -> p5 -> p6 -> pe4""",,,
7,BLACKHOLE_DETECTION_GLOBAL,L4,blackhole_destination_list,set,"네트워크에서 블랙홀이 발생하는 목적지 prefix 목록을 알려주세요. [답변 형식: prefix 목록 (예: [""10.0.0.0/8"", ""192.168.1.0/24""]) 또는 빈 목록 []]",[],,,
8,BOUNDED_PATH_fw2_pe2,L4,bounded_path_length,number,fw2에서 10.0.4.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],10,,,
9,BOUNDED_PATH_pe1_pe8,L4,bounded_path_length,number,pe1에서 10.0.42.3로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],10,,,
10,BOUNDED_PATH_pe6_pe2,L4,bounded_path_length,number,pe6에서 10.0.4.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],10,,,
11,ISOLATION_VRF_CDN_VRF_EDU,L4,leaked_prefixes_list,set,"VRF_CDN와 VRF_EDU 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
12,ISOLATION_VRF_CDN_VRF_GOV,L4,leaked_prefixes_list,set,"VRF_CDN와 VRF_GOV 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
13,ISOLATION_VRF_CDN_VRF_ISP,L4,leaked_prefixes_list,set,"VRF_CDN와 VRF_ISP 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
14,LOOP_DETECTION_GLOBAL,L4,loop_detection,text,네트워크에 포워딩 루프가 존재합니까? [답변 형식: 'NONE' 또는 'Found: A→B→C→A'],"""NONE""",,,
