id,id_v2,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,System_Inventory,L1,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe4""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",bd1a393,['pe4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf6,system_hostname_text:0f4017add8,System_Inventory,L1,leaf6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf6""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf6""}}",bd1a393,['leaf6.cfg']
SYSTEM_HOSTNAME_TEXT_p7,system_hostname_text:51589f45e8,System_Inventory,L1,p7 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p7""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p7""}}",bd1a393,['p7.cfg']
SYSTEM_HOSTNAME_TEXT_leaf5,system_hostname_text:c889ccb7cb,System_Inventory,L1,leaf5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf5""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf5""}}",bd1a393,['leaf5.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,System_Inventory,L1,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p2""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",bd1a393,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_p6,system_hostname_text:e05ff65dc3,System_Inventory,L1,p6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p6""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",bd1a393,['p6.cfg']
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,System_Inventory,L1,p8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p8""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",bd1a393,['p8.cfg']
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,System_Inventory,L1,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""pe3""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe3""}}",bd1a393,['pe3.cfg']
SYSTEM_HOSTNAME_TEXT_leaf7,system_hostname_text:66e16ac9ac,System_Inventory,L1,leaf7 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""leaf7""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf7""}}",bd1a393,['leaf7.cfg']
SYSTEM_HOSTNAME_TEXT_p5,system_hostname_text:5991ac5b4f,System_Inventory,L1,p5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],OK,text,"""p5""",,"{""snapshot"": ""LabB_NCN_Basic_SP_20nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",bd1a393,['p5.cfg']
