#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
1,BGP_LOCAL_AS_NUMERIC_p9,L1,bgp_local_as_numeric,number,p9 장비의 BGP Local-AS 번호는 무엇입니까? [답변 형식: 숫자],0,,,,,
2,BGP_NEIGHBOR_COUNT_p1,L1,bgp_neighbor_count,number,p1 장비의 BGP 피어(이웃)는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
3,INTERFACE_STATUS_MAP_leaf2,L1,interface_status_map,map,leaf2 장비의 각 인터페이스 상태를 알려주세요. [답변 형식: {{'인터페이스명': '상태'}}],"{""GigabitEthernet0/0"": ""up"", ""GigabitEthernet0/7"": ""up""}",,,,,
4,LOGGING_BUFFERED_SEVERITY_TEXT_leaf10,L1,logging_buffered_severity_text,text,leaf10 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
5,LOGGING_BUFFERED_SEVERITY_TEXT_leaf14,L1,logging_buffered_severity_text,text,leaf14 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
6,LOGGING_BUFFERED_SEVERITY_TEXT_leaf16,L1,logging_buffered_severity_text,text,leaf16 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
7,LOGGING_BUFFERED_SEVERITY_TEXT_leaf3,L1,logging_buffered_severity_text,text,leaf3 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
8,LOGGING_BUFFERED_SEVERITY_TEXT_leaf9,L1,logging_buffered_severity_text,text,leaf9 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
9,LOGGING_BUFFERED_SEVERITY_TEXT_p12,L1,logging_buffered_severity_text,text,p12 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
10,LOGGING_BUFFERED_SEVERITY_TEXT_p2,L1,logging_buffered_severity_text,text,p2 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
11,LOGGING_BUFFERED_SEVERITY_TEXT_p7,L1,logging_buffered_severity_text,text,p7 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
12,LOGGING_BUFFERED_SEVERITY_TEXT_p9,L1,logging_buffered_severity_text,text,p9 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
13,LOGGING_BUFFERED_SEVERITY_TEXT_pe4,L1,logging_buffered_severity_text,text,pe4 장비에서 logging buffered의 severity-level은 무엇입니까? [답변 형식: 설정값 또는 null],null,,,,,
14,NEIGHBOR_LIST_IBGP_p8,L1,neighbor_list_ibgp,set,p8 장비와 iBGP로 연결된 피어들의 IP 주소 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
15,SNMP_COMMUNITY_LIST_p11,L1,snmp_community_list,set,p11 장비에 설정된 SNMP 커뮤니티 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
16,SUBINTERFACE_COUNT_p9,L1,subinterface_count,number,p9 장비에 설정된 서브인터페이스는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
17,SYSTEM_TIMEZONE_TEXT_asbr1,L1,system_timezone_text,text,asbr1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
18,SYSTEM_TIMEZONE_TEXT_leaf1,L1,system_timezone_text,text,leaf1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
19,SYSTEM_TIMEZONE_TEXT_leaf10,L1,system_timezone_text,text,leaf10 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
20,SYSTEM_TIMEZONE_TEXT_leaf14,L1,system_timezone_text,text,leaf14 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
21,SYSTEM_TIMEZONE_TEXT_leaf16,L1,system_timezone_text,text,leaf16 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
22,SYSTEM_TIMEZONE_TEXT_leaf3,L1,system_timezone_text,text,leaf3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
23,SYSTEM_TIMEZONE_TEXT_leaf6,L1,system_timezone_text,text,leaf6 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
24,SYSTEM_TIMEZONE_TEXT_leaf9,L1,system_timezone_text,text,leaf9 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
25,SYSTEM_TIMEZONE_TEXT_p10,L1,system_timezone_text,text,p10 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
26,SYSTEM_TIMEZONE_TEXT_p11,L1,system_timezone_text,text,p11 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
27,SYSTEM_TIMEZONE_TEXT_p12,L1,system_timezone_text,text,p12 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
28,SYSTEM_TIMEZONE_TEXT_p5,L1,system_timezone_text,text,p5 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
29,SYSTEM_TIMEZONE_TEXT_p6,L1,system_timezone_text,text,p6 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
30,SYSTEM_TIMEZONE_TEXT_p8,L1,system_timezone_text,text,p8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
31,SYSTEM_TIMEZONE_TEXT_p9,L1,system_timezone_text,text,p9 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
32,SYSTEM_TIMEZONE_TEXT_pe1,L1,system_timezone_text,text,pe1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
