qa_id,metric,level,answer_type,dataset_answer,manual_answer,verdict,disagreement_type,rationale,hosts_inspected
BGP_LOCAL_AS_NUMERIC_p2,bgp_local_as_numeric,L1,number,0,0,AGREE,,No BGP configured in p2.cfg → 0,p2
NTP_SERVER_LIST_p2,ntp_server_list,L1,set_str,[],[],AGREE,,No NTP servers in p2.cfg → [],p2
SNMP_COMMUNITY_LIST_leaf1,snmp_community_list,L1,set_str,[],[],AGREE,,No SNMP communities in leaf1.cfg → [],leaf1
SUBINTERFACE_COUNT_p1,subinterface_count,L1,number,0,0,AGREE,,[Method1-crossref] subinterface_count(p1) = 0,p1
SYSLOG_SERVER_LIST_p3,syslog_server_list,L1,set_str,[],[],AGREE,,No syslog servers in p3.cfg → [],p3
AAA_ENABLED_DEVICES,aaa_enabled_devices,L2,set_str,[],[],AGREE,,AAA enabled devices: [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
AAA_MISSING_DEVICES,aaa_missing_devices,L2,set_str,"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]","[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",AGREE,,"AAA missing devices: ['leaf1', 'leaf2', 'leaf3', 'leaf4', 'p1', 'p2', 'p3', 'p4', 'pe1', 'pe2']","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
DEVICES_WITH_SAME_VRF_VRF_BIO,devices_with_same_vrf,L2,set_str,"[""pe1"", ""pe2""]","[""pe1"", ""pe2""]",AGREE,,"Devices with VRF 'VRF_BIO': ['pe1', 'pe2']","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
L2VPN_PAIRS,l2vpn_pairs,L2,set_str,[],[],AGREE,,[Method1-crossref] l2vpn_pairs({'type': 'GLOBAL'}) = [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
OSPF_AREA0_ROUTERS,ospf_area0_routers,L2,text,null,,AGREE,,[Method1-crossref] ospf_area0_routers({'type': 'GLOBAL'}) = ,"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
