입력 쿼리,정답,업무 분류,참고 파일이름
새로운 데이터센터 추가 시 BGP/OSPF의 재구성이 필요한지 평가하려면 어떠한 요소들을 고려해야 합니까?,"{""eval_targets"": {""exact_match"": true, ""f1_score"": null}, ""explanation"": ""BGP의 iBGP 풀 메쉬가 정상적으로 작동하고 있어 새로운 데이터센터 추가 시 BGP/OSPF의 재구성이 필요하지 않다고 판단했습니다.""}",네트워크 토폴로지 구성 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
sample8의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for vrf_interface_bind_count is 0.""}",단순 조회 업무,sample8.xml
CE2의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for vrf_interface_bind_count is 0.""}",단순 조회 업무,ce2.xml
"네트워크 내 BGP 설정의 일관성과 보안 정책 준수 여부를 평가하고, 발견된 이상 징후가 비즈니스에 미치는 영향을 분석하시오.","{""eval_targets"": {""exact_match"": true, ""f1_score"": null}, ""explanation"": ""BGP 설정의 일관성이 유지되고 있으며, iBGP 풀 메쉬가 정상적으로 작동하고 있어 보안 정책 준수에 문제가 없다고 판단됩니다.""}",보안 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
AS 65000에 속하면서 BGP 피어 수가 2개 미만인 장비는 총 몇 개인가?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": null}, ""explanation"": ""수집된 증거에서 BGP 피어 수에 대한 정보가 없으므로, AS 65000에 속하면서 BGP 피어 수가 2개 미만인 장비의 수를 알 수 없습니다. 따라서 0으로 평가했습니다.""}",기술적 오류 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
AS 65003 iBGP 풀메시에서 누락된 링크 개수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for ibgp_missing_pairs_count is 0.""}",단순 조회 업무,ce2.xml
AS 65001 iBGP 풀메시에서 누락된 링크 개수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for ibgp_missing_pairs_count is 0.""}",단순 조회 업무,ce1.xml
sample10의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for vrf_interface_bind_count is 0.""}",단순 조회 업무,sample10.xml
AS 65000 소속 피어 하나가 장애 발생 시 전체 네트워크에 미치는 파급효과를 분석하시오.,"{""eval_targets"": {""exact_match"": 5, ""f1_score"": null}, ""explanation"": ""AS 65000 소속 피어 하나의 장애 발생 시, 5개의 인터페이스가 영향을 받을 수 있으며, 이는 전체 네트워크의 연결성에 중대한 영향을 미칠 수 있음을 나타냅니다.""}",네트워크 토폴로지 구성 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
네트워크 장비의 접근 제어 정책이 AAA 및 패스워드 정책에 따라 일관되게 설정되어 있는가?,"{""eval_targets"": {""exact_match"": false, ""f1_score"": null}, ""explanation"": ""수집된 증거에서 AAA가 활성화된 장비에 대한 정보가 없으므로, 접근 제어 정책이 일관되게 설정되어 있다고 판단할 수 없습니다.""}",기술적 오류 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
sample7의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for vrf_interface_bind_count is 0.""}",단순 조회 업무,sample7.xml
데이터센터 확장이 기존 L2/L3VPN 서비스에 미치는 영향을 최소화하기 위한 보안 정책 수립 방법은 무엇입니까?,"{""eval_targets"": {""exact_match"": true, ""f1_score"": null}, ""explanation"": ""수집된 증거에서 L2VPN과 VRF 설정이 모두 정상적이며, AAA가 활성화된 장치가 없다는 점에서 보안 정책 수립이 필요하지 않음을 나타냅니다.""}",네트워크 토폴로지 구성 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
AS 65000 도메인의 iBGP 풀메시 구성이 완전한가,"{""eval_targets"": {""exact_match"": true, ""f1_score"": []}, ""explanation"": ""The value for ibgp_fullmesh_ok is True.""}",단순 조회 업무,"sample10.xml, sample7.xml, sample8.xml, sample9.xml"
AS 65001 내 iBGP 풀메시 누락이 전체 네트워크 경로 수렴성에 미치는 영향을 평가하시오.,"{""eval_targets"": {""exact_match"": true, ""f1_score"": null}, ""explanation"": ""iBGP 풀메시가 정상적으로 작동하고 있으며, 누락된 쌍이 없기 때문에 전체 네트워크 경로 수렴성에 부정적인 영향을 미치지 않습니다.""}",네트워크 토폴로지 구성 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
SSH 설정이 최신 보안 가이드를 따르고 있는가?,"{""eval_targets"": {""exact_match"": true, ""f1_score"": null}, ""explanation"": ""모든 SSH가 활성화된 장치에서 SSH 설정이 누락된 항목이 없고, 모든 장치에서 SSH가 활성화되어 있으므로 최신 보안 가이드를 따르고 있다고 판단할 수 있습니다.""}",기술적 오류 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
sample9의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for vrf_interface_bind_count is 0.""}",단순 조회 업무,sample9.xml
AS 65001 도메인의 iBGP 풀메시 구성이 완전한가,"{""eval_targets"": {""exact_match"": true, ""f1_score"": []}, ""explanation"": ""The value for ibgp_fullmesh_ok is True.""}",단순 조회 업무,ce1.xml
"AS 65001 내에서 발생한 L2VPN 및 L3VPN 서비스 장애가 전체 네트워크에 미칠 수 있는 영향도를 평가하고, 비즈니스에 중요한 서비스에 대한 우선 복구 방안을 마련해야 한다. 이때 어떤 장비와 설정을 우선적으로 점검해야 할까?","{""eval_targets"": {""exact_match"": ""L2VPN 및 L3VPN 장비 점검"", ""f1_score"": null}, ""explanation"": ""수집된 증거에서 L2VPN 관련 이슈가 없고, iBGP 풀 메쉬가 정상인 것으로 보아 L2VPN 및 L3VPN 장비의 점검이 우선적으로 필요합니다.""}",네트워크 토폴로지 구성 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
AS 65000 iBGP 풀메시에서 누락된 링크 개수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for ibgp_missing_pairs_count is 0.""}",단순 조회 업무,"sample10.xml, sample7.xml, sample8.xml, sample9.xml"
"현재 네트워크에서 잠재적인 서비스 위험 요소를 식별하여, 문제 발생 시 신속한 대응이 가능하도록 어떤 예방적 모니터링 체계를 구축해야 할까?","{""eval_targets"": {""exact_match"": true, ""f1_score"": null}, ""explanation"": ""현재 수집된 증거에 따르면, SSH 결함이나 VRF 문제, BGP 쌍의 결함이 없으므로, 예방적 모니터링 체계는 효과적으로 구축되어 있다고 판단할 수 있습니다.""}",네트워크 토폴로지 구성 질의,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
route-target이 없는 VRF (장비/VRF) 개수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for vrf_without_rt_count is 0.""}",단순 조회 업무,"ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
CE1의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,"{""eval_targets"": {""exact_match"": 0, ""f1_score"": []}, ""explanation"": ""The value for vrf_interface_bind_count is 0.""}",단순 조회 업무,ce1.xml
