id,origin,level,task_category,answer_type,complexity,persona,question,ground_truth,explanation,context,source_files
BASIC_DSL-SSH_ENABLED_DEVICES-24609,rule_based,1,보안 질의,short,basic,,현재 SSH가 활성화된 장비의 이름은?,"[""CE1"", ""CE2"", ""sample10"", ""sample7"", ""sample8"", ""sample9""]","The list of devices for ssh_enabled_devices is ['CE1', 'CE2', 'sample10', 'sample7', 'sample8', 'sample9'].",장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-SSH_ENABLED_DEVICES-32362,rule_based,1,보안 질의,short,basic,,SSH가 활성화된 장비 목록은?,"[""CE1"", ""CE2"", ""sample10"", ""sample7"", ""sample8"", ""sample9""]","The list of devices for ssh_enabled_devices is ['CE1', 'CE2', 'sample10', 'sample7', 'sample8', 'sample9'].",장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-SSH_ENABLED_DEVICES-1597,rule_based,1,보안 질의,short,basic,,SSH가 활성화된 장비 목록은?,"[""CE1"", ""CE2"", ""sample10"", ""sample7"", ""sample8"", ""sample9""]","The list of devices for ssh_enabled_devices is ['CE1', 'CE2', 'sample10', 'sample7', 'sample8', 'sample9'].",장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-SSH_ENABLED_DEVICES-25299,rule_based,1,보안 질의,short,basic,,SSH가 활성화된 장비 목록은?,"[""CE1"", ""CE2"", ""sample10"", ""sample7"", ""sample8"", ""sample9""]","The list of devices for ssh_enabled_devices is ['CE1', 'CE2', 'sample10', 'sample7', 'sample8', 'sample9'].",장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-SSH_ENABLED_DEVICES-36080,rule_based,1,보안 질의,short,basic,,SSH가 활성화된 장비 목록은?,"[""CE1"", ""CE2"", ""sample10"", ""sample7"", ""sample8"", ""sample9""]","The list of devices for ssh_enabled_devices is ['CE1', 'CE2', 'sample10', 'sample7', 'sample8', 'sample9'].",장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-SSH_ENABLED_DEVICES-13781,rule_based,1,보안 질의,short,basic,,SSH가 활성화된 장비 목록은?,"[""CE1"", ""CE2"", ""sample10"", ""sample7"", ""sample8"", ""sample9""]","The list of devices for ssh_enabled_devices is ['CE1', 'CE2', 'sample10', 'sample7', 'sample8', 'sample9'].",장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-SSH_MISSING_COUNT-64521,rule_based,2,보안 질의,short,basic,,SSH가 비활성화(또는 설정 없음)인 장비 수는?,0,The value for ssh_missing_count is 0.,"장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1
장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1
장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-NEIGHBOR_LIST_IBGP-1597,rule_based,1,단순 조회 업무,short,basic,,sample10 장비의 iBGP 피어 목록은?,"[""1.1.1.1"", ""2.2.2.2"", ""3.3.3.3""]","The list of devices for neighbor_list_ibgp is ['1.1.1.1', '2.2.2.2', '3.3.3.3'].",장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-NEIGHBOR_LIST_IBGP-25299,rule_based,1,단순 조회 업무,short,basic,,sample7 장비의 iBGP 피어 목록은?,"[""2.2.2.2"", ""3.3.3.3"", ""4.4.4.4""]","The list of devices for neighbor_list_ibgp is ['2.2.2.2', '3.3.3.3', '4.4.4.4'].",장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-NEIGHBOR_LIST_IBGP-36080,rule_based,1,단순 조회 업무,short,basic,,sample8 장비의 iBGP 피어 목록은?,"[""1.1.1.1"", ""3.3.3.3"", ""4.4.4.4""]","The list of devices for neighbor_list_ibgp is ['1.1.1.1', '3.3.3.3', '4.4.4.4'].",장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-NEIGHBOR_LIST_IBGP-13781,rule_based,1,단순 조회 업무,short,basic,,sample9 장비의 iBGP 피어 목록은?,"[""1.1.1.1"", ""2.2.2.2"", ""4.4.4.4""]","The list of devices for neighbor_list_ibgp is ['1.1.1.1', '2.2.2.2', '4.4.4.4'].",장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-24609,rule_based,1,단순 조회 업무,short,basic,,CE1 장비의 eBGP 피어 목록은?,"[""192.168.1.10""]",The list of devices for neighbor_list_ebgp is ['192.168.1.10'].,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-32362,rule_based,1,단순 조회 업무,short,basic,,CE2 장비의 eBGP 피어 목록은?,"[""192.168.3.10""]",The list of devices for neighbor_list_ebgp is ['192.168.3.10'].,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-1597,rule_based,1,단순 조회 업무,short,basic,,sample10 장비의 eBGP 피어 목록은?,"[""192.168.4.11""]",The list of devices for neighbor_list_ebgp is ['192.168.4.11'].,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-25299,rule_based,1,단순 조회 업무,short,basic,,sample7 장비의 eBGP 피어 목록은?,"[""192.168.1.11""]",The list of devices for neighbor_list_ebgp is ['192.168.1.11'].,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-36080,rule_based,1,단순 조회 업무,short,basic,,sample8 장비의 eBGP 피어 목록은?,"[""192.168.2.11""]",The list of devices for neighbor_list_ebgp is ['192.168.2.11'].,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-NEIGHBOR_LIST_EBGP-13781,rule_based,1,단순 조회 업무,short,basic,,sample9 장비의 eBGP 피어 목록은?,"[""192.168.3.11""]",The list of devices for neighbor_list_ebgp is ['192.168.3.11'].,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-IBGP_FULLMESH_OK-35314,rule_based,2,단순 조회 업무,short,basic,,AS 65000 도메인의 iBGP 풀메시 구성이 완전한가,True,The value for ibgp_fullmesh_ok is True.,"장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-IBGP_FULLMESH_OK-59930,rule_based,2,단순 조회 업무,short,basic,,AS 65001 도메인의 iBGP 풀메시 구성이 완전한가,True,The value for ibgp_fullmesh_ok is True.,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-IBGP_FULLMESH_OK-49279,rule_based,2,단순 조회 업무,short,basic,,AS 65003 도메인의 iBGP 풀메시 구성이 완전한가,True,The value for ibgp_fullmesh_ok is True.,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-IBGP_MISSING_PAIRS_COUNT-35314,rule_based,2,단순 조회 업무,short,basic,,AS 65000 iBGP 풀메시에서 누락된 링크 개수는?,0,The value for ibgp_missing_pairs_count is 0.,"장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-IBGP_MISSING_PAIRS_COUNT-59930,rule_based,2,단순 조회 업무,short,basic,,AS 65001 iBGP 풀메시에서 누락된 링크 개수는?,0,The value for ibgp_missing_pairs_count is 0.,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-IBGP_MISSING_PAIRS_COUNT-49279,rule_based,2,단순 조회 업무,short,basic,,AS 65003 iBGP 풀메시에서 누락된 링크 개수는?,0,The value for ibgp_missing_pairs_count is 0.,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
