id,id_v2,metric,scope,category,level,question_type,question,answer_status,answer_type,answer,eval_answer,unknown_reason,evidence,scenario,query_contract,verification_contract,oracle_source,verification_status,quarantine_reason,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_p5,system_hostname_text:5991ac5b4f,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p5""}",System_Inventory,L1,unknown,What is the system hostname on p5? [Answer format: plain string],OK,text,"""p5""",p5,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",,,,parser,pending,,d6499bef,['p5.cfg']
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p1""}",System_Inventory,L1,unknown,What is the system hostname on p1? [Answer format: plain string],OK,text,"""p1""",p1,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",,,,parser,pending,,d6499bef,['p1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf6,system_hostname_text:0f4017add8,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf6""}",System_Inventory,L1,unknown,What is the system hostname on leaf6? [Answer format: plain string],OK,text,"""leaf6""",leaf6,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf6""}}",,,,parser,pending,,d6499bef,['leaf6.cfg']
SYSTEM_HOSTNAME_TEXT_pe3,system_hostname_text:6ad90347c4,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe3""}",System_Inventory,L1,unknown,What is the system hostname on pe3? [Answer format: plain string],OK,text,"""pe3""",pe3,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe3""}}",,,,parser,pending,,d6499bef,['pe3.cfg']
SYSTEM_HOSTNAME_TEXT_p8,system_hostname_text:d61ee73c24,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p8""}",System_Inventory,L1,unknown,What is the system hostname on p8? [Answer format: plain string],OK,text,"""p8""",p8,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,parser,pending,,d6499bef,['p8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf2""}",System_Inventory,L1,unknown,What is the system hostname on leaf2? [Answer format: plain string],OK,text,"""leaf2""",leaf2,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,parser,pending,,d6499bef,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT_leaf12,system_hostname_text:5e0abb2272,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf12""}",System_Inventory,L1,unknown,What is the system hostname on leaf12? [Answer format: plain string],OK,text,"""leaf12""",leaf12,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf12""}}",,,,parser,pending,,d6499bef,['leaf12.cfg']
SYSTEM_HOSTNAME_TEXT_leaf8,system_hostname_text:a81bf37e92,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf8""}",System_Inventory,L1,unknown,What is the system hostname on leaf8? [Answer format: plain string],OK,text,"""leaf8""",leaf8,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf8""}}",,,,parser,pending,,d6499bef,['leaf8.cfg']
SYSTEM_HOSTNAME_TEXT_leaf7,system_hostname_text:66e16ac9ac,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf7""}",System_Inventory,L1,unknown,What is the system hostname on leaf7? [Answer format: plain string],OK,text,"""leaf7""",leaf7,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf7""}}",,,,parser,pending,,d6499bef,['leaf7.cfg']
SYSTEM_HOSTNAME_TEXT_p10,system_hostname_text:34f07ac92d,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p10""}",System_Inventory,L1,unknown,What is the system hostname on p10? [Answer format: plain string],OK,text,"""p10""",p10,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p10""}}",,,,parser,pending,,d6499bef,['p10.cfg']
SYSTEM_HOSTNAME_TEXT_leaf5,system_hostname_text:c889ccb7cb,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf5""}",System_Inventory,L1,unknown,What is the system hostname on leaf5? [Answer format: plain string],OK,text,"""leaf5""",leaf5,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf5""}}",,,,parser,pending,,d6499bef,['leaf5.cfg']
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe2""}",System_Inventory,L1,unknown,What is the system hostname on pe2? [Answer format: plain string],OK,text,"""pe2""",pe2,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",,,,parser,pending,,d6499bef,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT_pe6,system_hostname_text:7041bfb7a3,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe6""}",System_Inventory,L1,unknown,What is the system hostname on pe6? [Answer format: plain string],OK,text,"""pe6""",pe6,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe6""}}",,,,parser,pending,,d6499bef,['pe6.cfg']
SYSTEM_HOSTNAME_TEXT_p7,system_hostname_text:51589f45e8,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p7""}",System_Inventory,L1,unknown,What is the system hostname on p7? [Answer format: plain string],OK,text,"""p7""",p7,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p7""}}",,,,parser,pending,,d6499bef,['p7.cfg']
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p2""}",System_Inventory,L1,unknown,What is the system hostname on p2? [Answer format: plain string],OK,text,"""p2""",p2,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",,,,parser,pending,,d6499bef,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_pe4,system_hostname_text:a2fc790735,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""pe4""}",System_Inventory,L1,unknown,What is the system hostname on pe4? [Answer format: plain string],OK,text,"""pe4""",pe4,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,parser,pending,,d6499bef,['pe4.cfg']
SYSTEM_HOSTNAME_TEXT_asbr2,system_hostname_text:43e487a8cc,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""asbr2""}",System_Inventory,L1,unknown,What is the system hostname on asbr2? [Answer format: plain string],OK,text,"""asbr2""",asbr2,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""asbr2""}}",,,,parser,pending,,d6499bef,['asbr2.cfg']
SYSTEM_HOSTNAME_TEXT_leaf9,system_hostname_text:a49fad1930,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf9""}",System_Inventory,L1,unknown,What is the system hostname on leaf9? [Answer format: plain string],OK,text,"""leaf9""",leaf9,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf9""}}",,,,parser,pending,,d6499bef,['leaf9.cfg']
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p4""}",System_Inventory,L1,unknown,What is the system hostname on p4? [Answer format: plain string],OK,text,"""p4""",p4,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",,,,parser,pending,,d6499bef,['p4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""leaf1""}",System_Inventory,L1,unknown,What is the system hostname on leaf1? [Answer format: plain string],OK,text,"""leaf1""",leaf1,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",,,,parser,pending,,d6499bef,['leaf1.cfg']
SYSTEM_VERSION_TEXT_p1,system_version_text:980d4425bd,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p1""}",System_Inventory,L1,unknown,What is the system version on p1? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",,,,parser,pending,,d6499bef,['p1.cfg']
SYSTEM_VERSION_TEXT_p9,system_version_text:4636d19a52,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p9""}",System_Inventory,L1,unknown,What is the system version on p9? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p9""}}",,,,parser,pending,,d6499bef,['p9.cfg']
SYSTEM_VERSION_TEXT_p10,system_version_text:34f07ac92d,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p10""}",System_Inventory,L1,unknown,What is the system version on p10? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p10""}}",,,,parser,pending,,d6499bef,['p10.cfg']
SYSTEM_VERSION_TEXT_leaf7,system_version_text:66e16ac9ac,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf7""}",System_Inventory,L1,unknown,What is the system version on leaf7? [Answer format: plain string],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabC_NCN_Security_L2VPN_30nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf7""}}",,,,parser,pending,,d6499bef,['leaf7.cfg']
