#,qa_id,level,metric,answer_type,question,dataset_answer,my_result,verdict,memo
1,ACL_BLOCKING_leaf7_leaf3,L4,acl_blocking_point,text,172.17.3.2에서 172.16.3.2로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
2,ACL_BLOCKING_p10_asbr2,L4,acl_blocking_point,text,10.0.32.1에서 10.0.30.3로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
3,ACL_BLOCKING_pe6_leaf11,L4,acl_blocking_point,text,10.0.32.3에서 172.18.3.2로 트래픽이 차단된다면 차단 지점을 알려주세요. [답변 형식: 차단 장비명 또는 'ALLOWED'],"""ALLOWED""",,,
4,ASYMMETRIC_leaf11_asbr2,L4,asymmetric_path_comparison,text,"leaf11과 asbr2 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: leaf11 -> pe6, Reverse: asbr2""",,,
5,ASYMMETRIC_leaf12_leaf9,L4,asymmetric_path_comparison,text,"leaf12와 leaf9 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: leaf12 -> pe6, Reverse: leaf9 -> pe5""",,,
6,ASYMMETRIC_leaf1_p1,L4,asymmetric_path_comparison,text,"leaf1과 p1 사이의 Forward/Reverse 경로를 비교해주세요. [답변 형식: 'Forward: A→B→C, Reverse: C→D→A' 형식]","""Forward: leaf1 -> pe1, Reverse: p1""",,,
7,BLACKHOLE_DETECTION_GLOBAL,L4,blackhole_destination_list,set,"네트워크에서 블랙홀이 발생하는 목적지 prefix 목록을 알려주세요. [답변 형식: prefix 목록 (예: [""10.0.0.0/8"", ""192.168.1.0/24""]) 또는 빈 목록 []]",[],,,
8,BOUNDED_PATH_leaf10_leaf8,L4,bounded_path_length,number,leaf10에서 172.17.4.2로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],2,,,
9,BOUNDED_PATH_p10_pe2,L4,bounded_path_length,number,p10에서 10.0.4.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],10,,,
10,BOUNDED_PATH_pe6_pe2,L4,bounded_path_length,number,pe6에서 10.0.4.1로 가는 경로의 홉 수는 몇 개입니까? [답변 형식: 숫자],10,,,
11,ISOLATION_VRF_EDU_VRF_GOV,L4,leaked_prefixes_list,set,"VRF_EDU와 VRF_GOV 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
12,ISOLATION_VRF_EDU_VRF_MIL,L4,leaked_prefixes_list,set,"VRF_EDU와 VRF_MIL 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
13,ISOLATION_VRF_EDU_VRF_RND,L4,leaked_prefixes_list,set,"VRF_EDU와 VRF_RND 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
14,LOOP_DETECTION_GLOBAL,L4,loop_detection,text,네트워크에 포워딩 루프가 존재합니까? [답변 형식: 'NONE' 또는 'Found: A→B→C→A'],"""NONE""",,,
